"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"
"3:00:02::"	"some"	"shielding"	"provide"	"from"	"provide_some"	"some_shielding"	"shielding_from"	"basement_provide_some"	"provide_some_shielding"	"some_shielding_from"	"shielding_from_fallout"	"NN"	"VB"	"JJ"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"family"	"dwelling"	"a"	"basement"	"provide"	"some"	"natural"	"shielding"	"from"	"fallout"	"radiation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"better"	"shelter"	"provide"	"than"	"provide_better"	"better_shelter"	"shelter_than"	"concrete_provide_better"	"provide_better_shelter"	"better_shelter_than"	"shelter_than_the"	"NN"	"VB"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"large"	"apartment_building"	"of"	"or"	"concrete"	"provide"	"better"	"natural"	"shelter"	"than"	"the"	"usual"	"family"	"dwelling"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"a"	"death"	"for"	"''"	"for_a"	"a_death"	"death_''"	"pass_for_a"	"for_a_death"	"a_death_''"	"death_''_,"	"VB"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"n't"	"forget"	"there"	"be"	"the"	"it"	"would"	"pass"	"for"	"a"	"natural"	"death"	"person"	"remind"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"this"	"instrument"	"of"	"of"	"of_this"	"this_instrument"	"instrument_of"	"efficiency_of_this"	"of_this_instrument"	"this_instrument_of"	"instrument_of_free"	"NN"	"RB"	"RB"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"of"	"efficiency"	"of"	"this"	"natural"	"instrument"	"of"	"free"	"discussion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:normal:01"	"under"	"condition"	"observation"	"."	"observation_under"	"under_condition"	"condition_."	"permit_observation_under"	"observation_under_condition"	"under_condition_."	"condition_._∅"	"VB"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"0"	"one"	"of"	"the"	"advantage"	"of_this"	"method"	"be"	"that"	"the"	"pill"	"can"	"remain"	"in"	"the"	"patient"	"for"	"several"	"day"	"permit"	"observation"	"under"	"condition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"the"	"termination"	"than"	"of"	"than_the"	"the_termination"	"termination_of"	"more_than_the"	"than_the_termination"	"the_termination_of"	"termination_of_temporal"	"NN"	"RB"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on_the_other_hand"	"christian"	"faith"	"know"	"that"	"be"	"more"	"than"	"the"	"natural"	"termination"	"of"	"temporal"	"existence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"the"	"community"	"of"	"of"	"of_the"	"the_community"	"community_of"	"conception_of_the"	"of_the_community"	"the_community_of"	"community_of_all"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"finally"	"the"	"of"	"the"	"natural"	"community"	"of"	"all"	"possession"	"originate"	"with"	"the"	"stoic"	"was"	"firmly"	"fix"	"in"	"a"	"tradition"	"by"	"person"	"time"	"although"	"it"	"was"	"not"	"accept"	"by"	"all"	"the"	"theologian"	"philosopher"	"of"	"the"	"middle_ages"	
"3:00:01::"	"rather_than"	"might"	"political"	"in"	"political_rather_than"	"rather_than_might"	"might_in"	"be_political_rather_than"	"political_rather_than_might"	"rather_than_might_in"	"might_in_a"	"VB"	"JJ"	"RB"	"JJ"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"and"	"person"	"talk"	"to"	"each"	"quietly"	"as"	"ally"	"who"	"be"	"political"	"rather_than"	"natural"	"might"	"in"	"a"	"war"	"atmosphere"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:normal:01"	"the"	"portal"	"by"	"of"	"by_the"	"the_portal"	"portal_of"	"rather_than_by_the"	"by_the_portal"	"the_portal_of"	"portal_of_entry"	"RB"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"of"	"unique"	"medical"	"problem"	"might"	"be"	"create"	"when"	"man"	"is"	"expose"	"to"	"an"	"infectious"	"agent"	"through"	"the"	"respiratory"	"route"	"rather_than"	"by"	"the"	"portal"	"of"	"entry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"other"	"feature"	"∅"	"which"	"∅_other"	"other_feature"	"feature_which"	"∅_∅_other"	"∅_other_feature"	"other_feature_which"	"feature_which_can"	"ε"	"ε"	"JJ"	"JJ"	"NN"	"WDT"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"natural"	"feature"	"which"	"can"	"be"	"of"	"high"	"interest"	"be"	"the"	"forest"	"canyon"	"mountain"	"desert"	"seacoast"	"beach"	"sand_dune"	"waterfall"	"spring"	"etcetera"	"with"	"which"	"the"	"area"	"is"	"bless"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
