"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"
"2:41:00::"	"was"	"by"	"rule"	"demand"	"rule_was"	"was_by"	"by_demand"	"the_rule_was"	"rule_was_by"	"was_by_demand"	"by_demand_of"	"DT"	"NN"	"VBD"	"VB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"was"	"enforce"	"by"	"demand"	"of"	"sen._wayne_morse"	"d."	"ore"	"in"	"connection"	"with"	"president_eisenhower"	"cabinet"	"selections"	"in"	"and"	"president_kennedy"	"in"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"the_blue"	"duty"	"laws"	"duty_to"	"to_the_blue"	"the_blue_laws"	"their_duty_to"	"duty_to_the_blue"	"to_the_blue_laws"	"the_blue_laws_."	"PRP$"	"NN"	"TO"	"VB"	"NN"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"attorney_general"	"has"	"advise"	"local"	"that"	"it"	"be"	"their"	"duty"	"to"	"enforce"	"the_blue"	"laws"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"effectively"	"."	"be"	"∅"	"be_effectively"	"effectively_."	"._∅"	"may_be_effectively"	"be_effectively_."	"effectively_._∅"	"._∅_∅"	"MD"	"VB"	"RB"	"VB"	"ε"	"ε"	"ε"	"sins"	"of"	"omission"	"as_well"	"as"	"commission"	"the"	"attitude"	"adopt"	"by"	"realtors"	"and"	"their"	"associations"	"either"	"negative"	"or"	"play"	"a"	"large"	"part"	"in"	"the"	"public"	"acceptance"	"of"	"such"	"measures"	"and"	"the"	"degree"	"to_which"	"they"	"be"	"effectively"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"not"	"and"	"are"	"i"	"are_not"	"not_and"	"and_i"	"ordinances_are_not"	"are_not_and"	"not_and_i"	"and_i_have"	"NNS"	"VBP"	"RB"	"VB"	"CC"	"PRP"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"our"	"litterbug"	"are"	"not"	"enforce"	"and"	"i"	"have"	"yet"	"to"	"read"	"of"	"a"	"conviction"	"in"	"a"	"littering"	"case"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"strictly"	"''"	"``"	"."	"``_strictly"	"strictly_''"	"''_."	"be_``_strictly"	"``_strictly_''"	"strictly_''_."	"''_._∅"	"VB"	"ε"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._schaefer"	"also"	"recommend"	"that"	"the"	"snow"	"emergency"	"route"	"plan"	"under"	"which"	"parking"	"is"	"ban"	"on"	"key"	"streets"	"and"	"cars"	"are"	"require"	"to"	"use"	"snow_tires"	"or"	"chains"	"them"	"should"	"be"	"strictly"	"enforce"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"not"	"this"	"could"	"."	"could_not"	"not_this"	"this_."	"we_could_not"	"could_not_this"	"not_this_."	"this_._∅"	"PRP"	"MD"	"RB"	"VB"	"DT"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"my"	"desire"	"to"	"advise"	"the"	"membership"	"of"	"the"	"legion"	"the"	"majority"	"of"	"polling_places"	"be"	"on"	"private_property"	"and"	"without"	"amendment"	"to"	"the"	"law"	"we"	"could"	"not"	"enforce"	"this"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"in"	"its"	"cruel"	"canons"	"cruel_in"	"in_its"	"its_canons"	"exquisitely_cruel_in"	"cruel_in_its"	"in_its_canons"	"its_canons_of"	"RB"	"JJ"	"IN"	"VB"	"PRP$"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"can"	"be"	"no_doubt"	"the"	"boston"	"era"	"could"	"be"	"exquisitely"	"cruel"	"in"	"enforce"	"its"	"canons"	"of"	"behavior"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"were"	"throughout"	"procedures"	"the"	"procedures_were"	"were_throughout"	"throughout_the"	"and_procedures_were"	"procedures_were_throughout"	"were_throughout_the"	"throughout_the_whole"	"CC"	"NNS"	"VBD"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"uniform"	"questions"	"definitions"	"procedures"	"were"	"enforce"	"throughout"	"the"	"whole"	"country"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"it"	"enough"	";"	"enough_to"	"to_it"	"it_;"	"powerful_enough_to"	"enough_to_it"	"to_it_;"	"it_;_and"	"JJ"	"RB"	"TO"	"VB"	"PRP"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"three"	"requirement"	"go_with"	"a"	"blockade"	"it"	"must"	"be"	"proclaim"	"blockading"	"force"	"must"	"be"	"powerful"	"enough"	"to"	"enforce"	"it"	"and"	"it"	"must"	"be"	"enforce"	"without"	"discrimination"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"be"	"without"	"must"	"discrimination"	"must_be"	"be_without"	"without_discrimination"	"it_must_be"	"must_be_without"	"be_without_discrimination"	"without_discrimination_."	"PRP"	"MD"	"VB"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"three"	"requirement"	"go_with"	"a"	"blockade"	"it"	"must"	"be"	"proclaim"	"the"	"blockading"	"force"	"be"	"powerful"	"enough"	"to"	"enforce"	"it"	"and"	"it"	"must"	"be"	"enforce"	"without"	"discrimination"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"be"	"when"	"cannot"	"it"	"cannot_be"	"be_when"	"when_it"	"judgment_cannot_be"	"cannot_be_when"	"be_when_it"	"when_it_have"	"NN"	"MD"	"VB"	"VB"	"WRB"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"tumultuous"	"painful"	"and"	"costly"	"experience"	"show"	"clearly"	"a"	"law"	"express"	"a"	"moral"	"judgment"	"cannot"	"be"	"enforce"	"when"	"it"	"have"	"little"	"correspondence"	"with"	"the"	"general"	"view"	"of"	"society"	"0"	"0"	"0"	
"2:41:01::"	"automatically"	"by"	"is"	"the"	"is_automatically"	"automatically_by"	"by_the"	"monitor_is_automatically"	"is_automatically_by"	"automatically_by_the"	"by_the_line"	"VB"	"VB"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"troops"	"disperse"	"on"	"field_of_battle"	"rather"	"than"	"on"	"the"	"parade_ground"	"may"	"seem"	"that"	"a"	"certain"	"amount"	"of"	"monitor"	"is"	"automatically"	"enforce"	"by"	"the"	"line"	"of"	"communication"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"of"	"the"	"means"	"escheat"	"means_of"	"of_the"	"the_escheat"	"provide_means_of"	"means_of_the"	"of_the_escheat"	"the_escheat_law"	"VB"	"NN"	"IN"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"tell"	"the"	"committee"	"the"	"would"	"merely"	"provide"	"means"	"of"	"enforce"	"the"	"escheat"	"law"	"which"	"has"	"be"	"on_the_books"	"since"	"texas"	"be"	"a"	"republic"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"ever"	","	"are"	"the"	"are_ever"	"ever_,"	",_the"	"profess_are_ever"	"are_ever_,"	"ever_,_the"	",_the_educator"	"VB"	"VBP"	"RB"	"VB"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"seem"	"somewhat"	"shortsighted"	"since"	"if"	"the"	"absolute"	"qualification"	"for"	"membership"	"which"	"the"	"organization"	"profess"	"are"	"ever"	"enforce"	"the"	"educator"	"will"	"have"	"the"	"molding"	"of"	"the"	"entire"	"profession"	"in"	"his"	"hands"	
