"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"
"1:18:00::"	","	","	"also"	"two"	"also_,"	",_,"	",_two"	"and_also_,"	"also_,_,"	",_,_two"	",_two_article"	"CC"	"RB"	"ε"	"NN"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"and"	"sir"	"two"	"article"	"which"	"were"	"consider"	"souvenir"	"now"	"must"	"be"	"regard"	"in"	"another"	"light"	"entirely"	
"1:18:00::"	","	"."	"yes"	"∅"	"yes_,"	",_."	"._∅"	"``_yes_,"	"yes_,_."	",_._∅"	"._∅_∅"	"ε"	"UH"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"yes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	","	","	"speak_for"	"but"	"speak_for_,"	",_,"	",_but"	"cannot_speak_for_,"	"speak_for_,_,"	",_,_but"	",_but_i"	"MD"	"VB"	"ε"	"NN"	"ε"	"CC"	"PRP"	"0"	"0"	"i"	"cannot"	"sir"	"but"	"i"	"be"	"innocent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"yes"	"''"	"``"	"."	"``_yes"	"yes_''"	"''_."	"∅_``_yes"	"``_yes_''"	"yes_''_."	"''_._∅"	"ε"	"ε"	"UH"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"sir"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	","	"''"	"no"	"."	"no_,"	",_''"	"''_."	"``_no_,"	"no_,_''"	",_''_."	"''_._∅"	"ε"	"DT"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"no"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	","	"''"	"no"	"."	"no_,"	",_''"	"''_."	"``_no_,"	"no_,_''"	",_''_."	"''_._∅"	"ε"	"DT"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"no"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	","	"''"	"person"	"."	"person_,"	",_''"	"''_."	"``_person_,"	"person_,_''"	",_''_."	"''_._∅"	"ε"	"NNP"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"``"	","	"∅"	"person"	"∅_``"	"``_,"	",_person"	"∅_∅_``"	"∅_``_,"	"``_,_person"	",_person_know"	"ε"	"ε"	"ε"	"NN"	"ε"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"person"	"know"	"better"	"than"	"to"	"leave"	"the"	"station"	"without"	"a"	"relief"	"0"	"0"	"0"	"0"	
"1:18:00::"	","	"''"	"no"	"."	"no_,"	",_''"	"''_."	"``_no_,"	"no_,_''"	",_''_."	"''_._∅"	"ε"	"NN"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"no"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	","	"''"	"district"	"."	"district_,"	",_''"	"''_."	"the_district_,"	"district_,_''"	",_''_."	"''_._∅"	"DT"	"NN"	"ε"	"NN"	"ε"	"ε"	"ε"	"out"	"in"	"the"	"district"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
