"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"
"2:40:00::"	"to"	"them"	"vote"	"at"	"vote_to"	"to_them"	"them_at"	"council_vote_to"	"vote_to_them"	"to_them_at"	"them_at_the"	"NN"	"VB"	"TO"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"william_a._martinelli"	"chairman"	"of"	"the"	"citizens"	"group"	"of"	"johnston"	"transfer"	"the"	"petitions"	"his"	"left_hand"	"to"	"his"	"right_hand"	"after"	"the"	"council"	"vote"	"to"	"accept"	"them"	"at"	"the"	"suggestion"	"of"	"council_president_raymond_fortin_sr."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"widely"	"that"	"too"	"because"	"too_widely"	"widely_that"	"that_because"	"been_too_widely"	"too_widely_that"	"widely_that_because"	"that_because_the"	"VBN"	"RB"	"RB"	"VB"	"IN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"inference"	"been"	"too"	"widely"	"accept"	"that"	"because"	"the"	"communists"	"have"	"succeed"	"in"	"build"	"barricades"	"across"	"berlin"	"the"	"free_world"	"must"	"acquiesce"	"in"	"dismemberment"	"of_that"	"living"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"been"	"by"	"not"	"the"	"not_been"	"been_by"	"by_the"	"have_not_been"	"not_been_by"	"been_by_the"	"by_the_western"	"VBP"	"RB"	"VBN"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"this"	"and"	"the"	"closing"	"the"	"east_berlin-west_berlin"	"border"	"have"	"not"	"been"	"accept"	"by"	"the"	"western"	"governments"	"appear"	"in"	"notes"	"which"	"britain"	"france"	"and"	"the"	"united_states"	"send"	"to"	"moscow"	"after"	"the"	"latter"	"gratuitous"	"protest"	"over"	"a"	"visit"	"of"	"chancellor_adenauer"	"and"	"west"	"german"	"officials"	"to"	"west_berlin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"not"	"divorce"	"does"	"."	"does_not"	"not_divorce"	"divorce_."	"she_does_not"	"does_not_divorce"	"not_divorce_."	"divorce_._∅"	"PRP"	"VBZ"	"RB"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"linguistic"	"and"	"paralinguistic"	"signals"	"of"	"misery"	"be"	"all"	"present"	"in"	"the"	"chart"	"for"	"this"	"sentence"	"so"	"be"	"certain"	"signals"	"that"	"she"	"does"	"not"	"accept"	"divorce"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"lt._gov._byrd"	"the"	"and"	"invitations"	"and_lt._gov._byrd"	"lt._gov._byrd_the"	"the_invitations"	"gov._marvin_griffin_and_lt._gov._byrd"	"and_lt._gov._byrd_the"	"lt._gov._byrd_the_invitations"	"the_invitations_of"	"NNP"	"CC"	"NNP"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"when"	"gov._marvin_griffin"	"and"	"lt._gov._byrd"	"accept"	"the"	"invitations"	"of"	"the"	"georgia_state"	"chamber_of_commerce"	"to"	"join"	"the"	"tour"	"next"	"november"	"the"	"situation"	"was"	"aggravate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	"the"	"choice"	"invitation"	"choice_to"	"to_the"	"the_invitation"	"a_choice_to"	"choice_to_the"	"to_the_invitation"	"the_invitation_."	"DT"	"NN"	"TO"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"neither"	"have"	"choice"	"to"	"accept"	"the"	"invitation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"was"	"immediately"	"it"	"and"	"it_was"	"was_immediately"	"immediately_and"	"and_it_was"	"it_was_immediately"	"was_immediately_and"	"immediately_and_include"	"CC"	"PRP"	"VBD"	"VB"	"RB"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"suggest"	"this"	"class"	"in"	"horse"	"world"	"and"	"it"	"was"	"accept"	"immediately"	"and"	"include"	"in"	"the"	"programs"	"of"	"horse_shows"	"at"	"the"	"recent"	"horse_show"	"convention"	"in"	"new_york"	"it"	"was"	"state"	"that"	"this"	"intermediate_judging_class"	"is"	"meeting_with"	"great"	"success"	"and"	"will"	"be"	"a"	"great"	"help"	"to"	"future"	"judges"	"in"	"the"	"horse"	"world"	"0"	"0"	"0"	"0"	
"2:40:03::"	"he"	"pets"	"if"	"."	"if_he"	"he_pets"	"pets_."	"proprieter_if_he"	"if_he_pets"	"he_pets_."	"pets_._∅"	"NN"	"IN"	"PRP"	"VB"	"NNS"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"husband"	"enter"	"the"	"motel"	"office"	"sign_up"	"for"	"a"	"and"	"them"	"solemnly"	"ask"	"the"	"proprieter"	"if"	"he"	"accept"	"pets"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	"a"	"is"	"de_facto"	"is_to"	"to_a"	"a_de_facto"	"here_is_to"	"is_to_a"	"to_a_de_facto"	"a_de_facto_cease-fire"	"RB"	"VBZ"	"TO"	"VB"	"DT"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"inclination"	"is"	"to"	"accept"	"a"	"de_facto"	"cease-fire"	"in"	"laos"	"rather_than"	"continue"	"to"	"insist"	"on"	"a"	"verification"	"of"	"the"	"cease-fire"	"by"	"the"	"international"	"control"	"commission"	"before"	"participating"	"in"	"the"	"geneva"	"conference"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"was"	"here"	"profession"	"as"	"profession_was"	"was_here"	"here_as"	"this_profession_was"	"profession_was_here"	"was_here_as"	"here_as_evidence"	"DT"	"NN"	"VBD"	"VB"	"RB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"until"	"the"	"last"	"year"	"or_so"	"the"	"profession"	"of"	"friendship"	"with"	"the"	"united_states"	"had"	"be"	"an"	"article"	"faith"	"with"	"trujillo"	"and"	"altogether"	"too"	"often"	"this"	"profession"	"was"	"accept"	"here"	"as"	"evidence"	"of"	"his"	"good"	"character"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
