"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"
"4:02:00::"	","	"then"	"well"	"''"	"well_,"	",_then"	"then_''"	"``_well_,"	"well_,_then"	",_then_''"	"then_''_."	"ε"	"UH"	"ε"	"RB"	"RB"	"ε"	"ε"	"0"	"0"	"well"	"then"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	","	"''"	"him"	"."	"him_,"	",_''"	"''_."	"to_him_,"	"him_,_''"	",_''_."	"''_._∅"	"TO"	"PRP"	"ε"	"RB"	"ε"	"ε"	"ε"	"i"	"talk"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"``"	"''"	"∅"	","	"∅_``"	"``_''"	"''_,"	"∅_∅_``"	"∅_``_''"	"``_''_,"	"''_,_person"	"ε"	"ε"	"ε"	"RB"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"person"	"say"	"his"	"voice"	"still"	"quiet"	"0"	
"4:02:00::"	"``"	"''"	"∅"	","	"∅_``"	"``_''"	"''_,"	"∅_∅_``"	"∅_``_''"	"``_''_,"	"''_,_person"	"ε"	"ε"	"ε"	"RB"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"person"	"say"	"rise"	"0"	"0"	"0"	"0"	
"4:02:00::"	"``"	"."	","	"∅"	",_``"	"``_."	"._∅"	"say_,_``"	",_``_."	"``_._∅"	"._∅_∅"	"VB"	"ε"	"ε"	"RB"	"ε"	"ε"	"ε"	"swear"	"and"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"``"	","	"∅"	"crouch"	"∅_``"	"``_,"	",_crouch"	"∅_∅_``"	"∅_``_,"	"``_,_crouch"	",_crouch_;"	"ε"	"ε"	"ε"	"RB"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"crouch"	"we"	"be"	"on"	"even"	"terms"	"0"	
"4:02:00::"	"'s"	","	"that"	"buddy"	"that_'s"	"'s_,"	",_buddy"	",_that_'s"	"that_'s_,"	"'s_,_buddy"	",_buddy_''"	"ε"	"IN"	"VBZ"	"RB"	"ε"	"NN"	"ε"	"0"	"hell"	"that"	"buddy"	"the"	"indian"	"i"	"now"	"guess"	"say"	
"4:02:00::"	"``"	"."	"∅"	"∅"	"∅_``"	"``_."	"._∅"	"∅_∅_``"	"∅_``_."	"``_._∅"	"._∅_∅"	"ε"	"ε"	"ε"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"``"	"''"	"∅"	","	"∅_``"	"``_''"	"''_,"	"∅_∅_``"	"∅_``_''"	"``_''_,"	"''_,_person"	"ε"	"ε"	"ε"	"RB"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"``"	"''"	"∅"	"."	"∅_``"	"``_''"	"''_."	"∅_∅_``"	"∅_``_''"	"``_''_."	"''_._∅"	"ε"	"ε"	"ε"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"cold"	"."	"be"	"∅"	"be_cold"	"cold_."	"._∅"	"he_be_cold"	"be_cold_."	"cold_._∅"	"._∅_∅"	"PRP"	"VB"	"JJ"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"he"	"cold"	"all_right"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"cold"	","	"be"	"and"	"be_cold"	"cold_,"	",_and"	"he_be_cold"	"be_cold_,"	"cold_,_and"	",_and_wet"	"PRP"	"VB"	"JJ"	"RB"	"ε"	"CC"	"JJ"	"0"	"0"	"he"	"cold"	"all_right"	"and"	"wet"	"0"	"0"	"0"	
"4:02:00::"	"psychologist"	"."	"a"	"∅"	"a_psychologist"	"psychologist_."	"._∅"	"be_a_psychologist"	"a_psychologist_."	"psychologist_._∅"	"._∅_∅"	"VB"	"DT"	"NN"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"person"	"a"	"psychologist"	"all_right"	"0"	"0"	"0"	"0"	
"5:00:00:well:01"	"he's"	","	"``"	"person"	"``_he's"	"he's_,"	",_person"	"∅_``_he's"	"``_he's_,"	"he's_,_person"	",_person_''"	"ε"	"ε"	"PRP"	"JJ"	"ε"	"NNP"	"ε"	"0"	"0"	"0"	"all_right"	"person"	"person"	"say"	"0"	"0"	"0"	
"5:00:00:satisfactory:00"	"'s"	"."	"that"	"∅"	"that_'s"	"'s_."	"._∅"	"``_that_'s"	"that_'s_."	"'s_._∅"	"._∅_∅"	"ε"	"DT"	"VBZ"	"JJ"	"ε"	"ε"	"ε"	"person"	"say"	"that"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:satisfactory:00"	"``"	"."	"∅"	"∅"	"∅_``"	"``_."	"._∅"	"∅_∅_``"	"∅_``_."	"``_._∅"	"._∅_∅"	"ε"	"ε"	"ε"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"``"	"''"	"∅"	","	"∅_``"	"``_''"	"''_,"	"∅_∅_``"	"∅_``_''"	"``_''_,"	"''_,_person"	"ε"	"ε"	"ε"	"RB"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"person"	"say"	"quickly"	"0"	"0"	"0"	"0"	
