"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"
"1:15:01::"	"few"	","	"∅"	"if"	"∅_few"	"few_,"	",_if"	"∅_∅_few"	"∅_few_,"	"few_,_if"	",_if_any"	"ε"	"ε"	"JJ"	"NN"	"ε"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"area"	"if"	"any"	"be"	"as_good_as"	"prepared"	"shelter"	"but"	"they"	"be"	"worth"	"know"	"about"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"central"	"of"	"the"	"the"	"the_central"	"central_of"	"of_the"	"∅_the_central"	"the_central_of"	"central_of_the"	"of_the_ground_floor"	"ε"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"central"	"area"	"of"	"the"	"ground_floor"	"of"	"a"	"heavily"	"construct"	"apartment_building"	"with"	"concrete"	"floor"	"should"	"provide"	"more"	"fallout"	"protection"	"than"	"the"	"ordinary"	"basement"	"of"	"a"	"family"	"dwelling"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"of"	"vocational_school"	"development"	"."	"development_of"	"of_vocational_school"	"vocational_school_."	"the_development_of"	"development_of_vocational_school"	"of_vocational_school_."	"vocational_school_._∅"	"DT"	"NN"	"IN"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"important"	"recent"	"be"	"the"	"development"	"of"	"area"	"vocational_school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"toward"	"school"	"trend"	"."	"trend_toward"	"toward_school"	"school_."	"this_trend_toward"	"trend_toward_school"	"toward_school_."	"school_._∅"	"DT"	"NN"	"IN"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"title"	"program"	"of"	"the"	"national_defense_education_act"	"of"	"be"	"great"	"spur"	"to"	"this"	"trend"	"toward"	"area"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"toward"	"vocational_school"	"trend"	"has"	"trend_toward"	"toward_vocational_school"	"vocational_school_has"	"this_trend_toward"	"trend_toward_vocational_school"	"toward_vocational_school_has"	"vocational_school_has_be"	"RB"	"NN"	"IN"	"NN"	"NN"	"VBZ"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"of"	"trend"	"toward"	"area"	"vocational_school"	"has"	"be"	"related"	"to"	"the"	"problem"	"of"	"persistent"	"labor"	"surplus"	"area"	"and"	"their"	"desire"	"to"	"attract"	"new"	"industry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"surplus"	"and"	"labor"	"their"	"labor_surplus"	"surplus_and"	"and_their"	"persistent_labor_surplus"	"labor_surplus_and"	"surplus_and_their"	"and_their_desire"	"JJ"	"NN"	"NN"	"NN"	"CC"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"of"	"this"	"trend"	"toward"	"area"	"vocational_school"	"has"	"related"	"to"	"the"	"problem"	"of"	"persistent"	"labor"	"surplus"	"area"	"and"	"their"	"desire"	"to"	"attract"	"new"	"industry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"surplus"	"be"	"labor"	"their"	"labor_surplus"	"surplus_be"	"be_their"	"in_labor_surplus"	"labor_surplus_be"	"surplus_be_their"	"be_their_focus"	"JJ"	"NN"	"NN"	"NN"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"major"	"weakness"	"of"	"training_program"	"in"	"labor"	"surplus"	"area"	"be"	"their"	"focus"	"on"	"serve"	"solely"	"local"	"job"	"demand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"surplus"	"with"	"labor"	"a"	"labor_surplus"	"surplus_with"	"with_a"	"chronic_labor_surplus"	"labor_surplus_with"	"surplus_with_a"	"with_a_long"	"JJ"	"NN"	"NN"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"procedure"	"be"	"extremely"	"in"	"chronic"	"labor"	"surplus"	"area"	"with"	"a"	"long"	"history"	"of"	"declining"	"employment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"depressed"	"may"	"a"	"have"	"a_depressed"	"depressed_may"	"may_have"	"in_a_depressed"	"a_depressed_may"	"depressed_may_have"	"may_have_few"	"IN"	"DT"	"JJ"	"NN"	"MD"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"training_program"	"a"	"depressed"	"area"	"may"	"have"	"few"	"enrollee"	"unless"	"there"	"be"	"some"	"apparent"	"prospect"	"for"	"better"	"employment"	"opportunity"	"afterwards"	"and"	"the"	"prospect"	"may"	"be"	"poor"	"if"	"the"	"training"	"is"	"aim"	"solely"	"at"	"job"	"in"	"the"	"local"	"community"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"the"	"in"	"acquainted_with"	"which"	"acquainted_with_the"	"the_in"	"in_which"	"well_acquainted_with_the"	"acquainted_with_the_in"	"the_in_which"	"in_which_you"	"RB"	"JJ"	"DT"	"NN"	"RB"	"RB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"be"	"well"	"acquainted_with"	"the"	"area"	"in"	"which"	"you"	"wish_to"	"locate"	"or"	"if"	"you"	"be"	"not"	"sure"	"that"	"you"	"and"	"your"	"family"	"will"	"like"	"and"	"make"	"a"	"success"	"of"	"farming"	"usually"	"you"	"would"	"do"	"better"	"to"	"rent"	"a"	"place"	"for"	"a"	"year"	"or"	"two"	"before"	"you"	"buy"	
