"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"
"2:42:00::"	"matter"	"from"	"in_this"	"the"	"in_this_matter"	"matter_from"	"from_the"	"urgency_in_this_matter"	"in_this_matter_from"	"matter_from_the"	"from_the_fact"	"NN"	"RB"	"NN"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"sense"	"urgency"	"in_this"	"matter"	"stem"	"from"	"the"	"fact"	"that"	"court"	"cases"	"ond"	"juvenile"	"arrests"	"have"	"more_than"	"double"	"since"	"each_year"	"show"	"an"	"increase"	"in"	"offenders"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"a"	"from"	"law"	"the"	"law_a"	"a_from"	"from_the"	"of_this_law_a"	"law_a_from"	"a_from_the"	"from_the_disrepute"	"RB"	"NN"	"DT"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"public"	"atmosphere"	"that"	"has"	"been"	"which"	"make"	"acceptance"	"of_this"	"law"	"a"	"stem"	"from"	"the"	"disrepute"	"into"	"which"	"the"	"labor_movement"	"has"	"fall"	"as"	"a"	"result"	"of"	"mr._mcclellan"	"hearings"	"into"	"corruption"	"in"	"labor-management"	"relations"	"and"	"later"	"into"	"the"	"jurisdictional"	"squabbles"	"that"	"plague"	"industrial"	"relations"	"at"	"the"	"missile"	"sites"	
"2:42:00::"	"expressway"	"from"	"the"	"the"	"the_expressway"	"expressway_from"	"from_the"	"with_the_expressway"	"the_expressway_from"	"expressway_from_the"	"from_the_basic"	"VB"	"DT"	"NN"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"associated"	"with"	"the"	"expressway"	"stem"	"from"	"the"	"basic"	"idea"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"usually"	"from"	","	"the"	",_usually"	"usually_from"	"from_the"	"exist_,_usually"	",_usually_from"	"usually_from_the"	"from_the_adoption"	"VB"	"ε"	"RB"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"financial"	"problem"	"where"	"exist"	"usually"	"stem"	"from"	"the"	"adoption"	"of"	"a"	"budget"	"for"	"the"	"transitional"	"or"	"adjustment"	"period"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"strength"	"from"	"its"	"the"	"its_strength"	"strength_from"	"from_the"	"of_its_strength"	"its_strength_from"	"strength_from_the"	"from_the_comfortable"	"IN"	"PRP$"	"NN"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"much"	"its"	"strength"	"stem"	"from"	"the"	"comfortable"	"knowledge"	"that"	"every"	"volunteer"	"democratic"	"organization"	"of"	"any"	"consequence"	"belong_to"	"the"	"cdc"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"business"	"from"	"toward"	"the"	"toward_business"	"business_from"	"from_the"	"attitude_toward_business"	"toward_business_from"	"business_from_the"	"from_the_fact"	"NN"	"IN"	"NN"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perhaps"	"the"	"public"	"attitude"	"toward"	"business"	"stem"	"from"	"the"	"fact"	"that"	"the"	"rugged"	"capitalist"	"entrepreneur"	"no_more"	"exist"	"in"	"america"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	","	","	"prefix"	"suffix"	"prefix_,"	",_,"	",_suffix"	"around_prefix_,"	"prefix_,_,"	",_,_suffix"	",_suffix_,"	"IN"	"NN"	"ε"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"many"	"linguistic"	"technique"	"for"	"reduce"	"the"	"amount"	"of"	"dictionary"	"information"	"have"	"been"	"propose"	"all"	"organize"	"the"	"dictionary"	"content"	"around"	"prefix"	"stem"	"suffix"	"etc."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"more"	"per"	"be"	"item"	"be_more"	"more_per"	"per_item"	"there_be_more"	"be_more_per"	"more_per_item"	"per_item_in"	"EX"	"VB"	"JJ"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"more"	"stem"	"per"	"item"	"in"	"athabascan"	"which"	"express"	"the"	"fact"	"that"	"the"	"athabascan"	"language"	"have"	"undergo"	"somewhat"	"more"	"change"	"in"	"diverge"	"from"	"proto"	"athabascan"	"than"	"the"	"yokuts"	"language"	"from"	"proto"	"yokuts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"to"	"replacement"	"liability"	"within"	"liability_to"	"to_replacement"	"replacement_within"	"or_liability_to"	"liability_to_replacement"	"to_replacement_within"	"replacement_within_meaning"	"CC"	"NN"	"TO"	"NN"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"word_class"	"differ"	"in"	"resistance"	"or"	"liability"	"to"	"stem"	"replacement"	"within"	"meaning"	"slot"	"it"	"be"	"conceivable"	"that"	"individual"	"meaning"	"also"	"differ"	"with"	"fair"	"consistence"	"trans"	"lingually"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"of"	"("	"number"	"'"	"number_of"	"of_("	"(_'"	"the_number_of"	"number_of_("	"of_(_'"	"(_'_root"	"DT"	"NN"	"IN"	"NN"	"ε"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"also"	"present"	"a"	"simple"	"equation"	"for"	"derive"	"an"	"of"	"persistence"	"which"	"weight"	"not_only"	"the"	"number"	"of"	"stem"	"root"	"per"	"meaning"	"but"	"their"	"relative_frequency"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
