"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"2:32:00::"	"officially"	"``"	"they"	"the"	"they_officially"	"officially_``"	"``_the"	"what_they_officially"	"they_officially_``"	"officially_``_the"	"``_the_confederate_states_of_america"	"WP"	"PRP"	"RB"	"VB"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"southern"	"states"	"exercise"	"their"	"right"	"to"	"they"	"form"	"what"	"they"	"officially"	"style"	"the"	"confederate_states_of_america"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"and"	"in"	"quality"	"private"	"quality_and"	"and_in"	"in_private"	"same_quality_and"	"quality_and_in"	"and_in_private"	"in_private_brand"	"JJ"	"NN"	"CC"	"NN"	"RB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"average"	"manufacturer"	"frequently"	"has"	"help"	"build"	"private"	"business"	"deliver"	"largely"	"the"	"same"	"quality"	"and"	"style"	"in"	"private"	"brand"	"merchandise"	"as"	"in"	"branded"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"the"	"of"	"to"	"association"	"to_the"	"the_of"	"of_association"	"chapter_to_the"	"to_the_of"	"the_of_association"	"of_association_in"	"NN"	"TO"	"DT"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"attention"	"will"	"be"	"give"	"the"	"next"	"chapter"	"to"	"the"	"style"	"of"	"association"	"in"	"the"	"denominational"	"church"	"this"	"style"	"be"	"characteristically"	"an"	"expression"	"of"	"the"	"communal"	"style"	"of"	"the"	"middle_class"	
"1:07:00::"	"this"	"be"	";"	"characteristically"	";_this"	"this_be"	"be_characteristically"	"church_;_this"	";_this_be"	"this_be_characteristically"	"be_characteristically_an"	"NN"	"ε"	"DT"	"NN"	"VB"	"RB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"attention"	"will"	"be"	"give"	"in"	"the"	"next"	"chapter"	"to"	"style"	"of"	"association"	"in"	"the"	"denominational"	"church"	"this"	"style"	"be"	"characteristically"	"an"	"expression"	"of"	"the"	"communal"	"style"	"of"	"the"	"middle_class"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"communal"	"of"	"the"	"the"	"the_communal"	"communal_of"	"of_the"	"of_the_communal"	"the_communal_of"	"communal_of_the"	"of_the_middle_class"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"attention"	"will"	"be"	"give"	"in"	"the"	"next"	"chapter"	"to"	"the"	"style"	"of"	"association"	"the"	"denominational"	"church"	"this"	"style"	"be"	"characteristically"	"an"	"expression"	"of"	"the"	"communal"	"style"	"of"	"the"	"middle_class"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"whose"	"and"	"painter"	"direction"	"painter_whose"	"whose_and"	"and_direction"	"landscape_painter_whose"	"painter_whose_and"	"whose_and_direction"	"and_direction_have"	"NN"	"NN"	"WP$"	"NN"	"CC"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"essentially"	"landscape"	"painter"	"whose"	"style"	"and"	"direction"	"have"	"a"	"kinship"	"with"	"the"	"english"	"watercolorist"	"of"	"the"	"early"	"nineteenth"	"century"	"especially"	"the"	"beautifully"	"pattern"	"art"	"of"	"person"	
"1:10:00::"	"many"	","	"of"	"determine"	"of_many"	"many_,"	",_determine"	"stylist_of_many"	"of_many_,"	"many_,_determine"	",_determine_by"	"NN"	"IN"	"JJ"	"NN"	"ε"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"stravinsky"	"shape"	"his"	"purpose"	"to"	"the"	"shifting"	"scene"	"of"	"many"	"culture"	"many"	"salon"	"many"	"dialectic"	"many"	"personality"	"he"	"try"	"refashion"	"himself"	"into"	"a"	"stylist"	"of"	"many"	"style"	"determine"	"by"	"many"	"disparate"	"culture"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"geometric"	"of"	"the"	"pottery"	"the_geometric"	"geometric_of"	"of_pottery"	"accept_the_geometric"	"the_geometric_of"	"geometric_of_pottery"	"of_pottery_."	"VB"	"DT"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"focus"	"of"	"novelty"	"in"	"this"	"world"	"now"	"lie_in"	"the"	"southeastern"	"district"	"of"	"the"	"greek"	"mainland"	"and"	"by"	"virtually"	"the"	"entire"	"aegean"	"always"	"except"	"its"	"shore"	"had"	"accept"	"the"	"geometric"	"style"	"of"	"pottery"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"pottery"	"on"	"in"	"broad"	"in_pottery"	"pottery_on"	"on_broad"	"change_in_pottery"	"in_pottery_on"	"pottery_on_broad"	"on_broad_line"	"NN"	"IN"	"NN"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"beyond"	"the"	"aesthetic"	"and"	"technical"	"aspect"	"of"	"expansion"	"we"	"must"	"consider"	"the"	"change"	"in"	"pottery"	"style"	"on"	"broad"	"line"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"common"	"become"	"a"	"more"	"a_common"	"common_become"	"become_more"	"within_a_common"	"a_common_become"	"common_become_more"	"become_more_evident"	"IN"	"DT"	"JJ"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"material"	"at"	"the"	"command"	"of"	"the"	"potter"	"grow"	"and"	"volume"	"of"	"their"	"production"	"increase"	"the"	"local"	"variation"	"within"	"a"	"common"	"style"	"become"	"more"	"evident"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"chicago"	"jazz"	"of"	"in"	"of_chicago"	"chicago_jazz"	"jazz_in"	"hour_of_chicago"	"of_chicago_jazz"	"chicago_jazz_in"	"jazz_in_prime_time"	"NN"	"IN"	"NN"	"NN"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"seem"	"to"	"be"	"an"	"assumption"	"that"	"an"	"hour"	"of"	"chicago"	"style"	"jazz"	"in"	"prime_time"	"evening"	"time"	"for_example"	"could"	"not"	"be"	"justify"	"without"	"the"	"trimming"	"of"	"a"	"portentous"	"documentary"	"0"	
