"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"
"1:14:03::"	"a"	"of"	"where"	"apprentice"	"where_a"	"a_of"	"of_apprentice"	",_where_a"	"where_a_of"	"a_of_apprentice"	"of_apprentice_await"	"ε"	"WRB"	"DT"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"was"	"fantastic"	"to"	"turn"	"from"	"the"	"seven"	"in"	"shackle"	"to"	"the"	"wardroom"	"where"	"a"	"class"	"of"	"apprentice"	"await"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"oil"	"in"	"the"	"1931"	"the_oil"	"oil_in"	"in_1931"	"in_the_oil"	"the_oil_in"	"oil_in_1931"	"in_1931_("	"IN"	"DT"	"NN"	"NN"	"IN"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"was"	"elect"	"to"	"the"	"as"	"an"	"associate"	"in"	"the"	"oil"	"class"	"in"	"after"	"receive"	"his"	"first"	"ranger_fund_purchase_prize"	"at"	"the"	"group"	"in"	"and"	"elevate"	"to"	"academicianship"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"other"	"are"	"∅"	"include"	"∅_other"	"other_are"	"are_include"	"∅_∅_other"	"∅_other_are"	"other_are_include"	"are_include_only"	"ε"	"ε"	"JJ"	"NN"	"VBP"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"class"	"are"	"include"	"only"	"by"	"myself"	"interrogative"	"adverb"	"or"	"only"	"by"	"person"	"and"	"person"	"pronoun"	"demonstrative"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"four"	":"	"be"	"("	"be_four"	"four_:"	":_("	"comparable_be_four"	"be_four_:"	"four_:_("	":_(_1"	"JJ"	"VB"	"JJ"	"NN"	"ε"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"we"	"have"	"left"	"reasonably"	"comparable"	"be"	"four"	"class"	"body_part"	"and"	"product"	"which"	"with"	"a"	"proportionally"	"nearly"	"even"	"representation"	"term"	"out"	"of"	"out"	"of"	"come_out"	"with"	"nearly"	"even"	"ratio"	"and"	"nature"	"term"	"against"	"ratio"	"versus"	"adjective"	"term"	"ratio"	"versus"	"verb"	"term"	"ratio"	"versus"	
"1:14:00::"	"two"	"of"	"by"	"alkaline"	"by_two"	"two_of"	"of_alkaline"	"represent_by_two"	"by_two_of"	"two_of_alkaline"	"of_alkaline_product"	"VB"	"IN"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hard"	"surface"	"cleaning"	"in"	"application"	"is"	"represent"	"by"	"two"	"class"	"of"	"alkaline"	"product"	"the"	"formulation"	"make"	"expressly"	"for"	"machine"	"dishwasher"	"and"	"the"	"general-purpose"	"cleaner"	"use"	"for"	"wall"	"and"	"woodwork"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"chemical"	"consist_of"	"the"	"moderately"	"the_chemical"	"chemical_consist_of"	"consist_of_moderately"	"belong_to_the_chemical"	"the_chemical_consist_of"	"chemical_consist_of_moderately"	"consist_of_moderately_high"	"VB"	"DT"	"JJ"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as_is"	"well_known"	"detergent"	"belong_to"	"the"	"chemical"	"class"	"consist_of"	"moderately"	"high"	"molecular_weight"	"and"	"highly"	"polar"	"molecule"	"which"	"exhibit"	"the"	"property"	"of"	"form"	"micelle"	"in"	"solution"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"distinct"	"of"	"three"	"loan"	"three_distinct"	"distinct_of"	"of_loan"	"∅_three_distinct"	"three_distinct_of"	"distinct_of_loan"	"of_loan_are"	"ε"	"JJ"	"JJ"	"NN"	"IN"	"NN"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"distinct"	"class"	"of"	"loan"	"are"	"make"	"available"	"to"	"farmer"	"cooperative"	"by"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:03::"	"of"	"problem"	"development"	"just"	"development_of"	"of_problem"	"problem_just"	"proper_development_of"	"development_of_problem"	"of_problem_just"	"problem_just_as"	"JJ"	"NN"	"IN"	"NN"	"NN"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"consultation"	"with"	"architect"	"client"	"real_estate"	"man"	"fabric"	"house"	"and"	"furniture"	"company"	"be"	"essential"	"the"	"proper"	"development"	"of"	"class"	"problem"	"just"	"as"	"in"	"actual"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:05::"	"the"	"-"	"of"	"d"	"of_the"	"the_-"	"-_d"	"farm_club_of_the"	"of_the_-"	"the_-_d"	"-_d_group"	"NN"	"IN"	"DT"	"NN"	"ε"	"NN"	"NNP"	"person"	"a"	"rookie"	"right-hander"	"who"	"post"	"record"	"last"	"year"	"for"	"the"	"yanks"	"location"	"location"	"farm_club"	"of"	"the"	"class"	"group"	"be"	"the"	"probable"	"rival"	"pitcher"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"extensive"	"of"	"an"	"comedy"	"an_extensive"	"extensive_of"	"of_comedy"	"comprise_an_extensive"	"an_extensive_of"	"extensive_of_comedy"	"of_comedy_."	"VB"	"DT"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"comic"	"comprise"	"an"	"extensive"	"class"	"of"	"comedy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
