"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"
"2:32:01::"	"who"	"the"	"groups"	"system"	"groups_who"	"who_the"	"the_system"	"and_groups_who"	"groups_who_the"	"who_the_system"	"the_system_in_force"	"CC"	"NNS"	"WP"	"VB"	"DT"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"arguments"	"advance"	"by"	"individuals"	"and"	"groups"	"who"	"oppose"	"the"	"system"	"in_force"	"and"	"who"	"would"	"drastically"	"curtail"	"or"	"do_away"	"entirely"	"with"	"hospital_care"	"for"	"the"	"non-service-connected"	"case"	"seem"	"to"	"be"	"coldly"	"impractical"	"and"	"out-of-step"	"with"	"the"	"wishes"	"of"	"the"	"general"	"public"	
"2:32:01::"	"kennedy"	"any"	"∅"	"widespread"	"∅_kennedy"	"kennedy_any"	"any_widespread"	"∅_∅_kennedy"	"∅_kennedy_any"	"kennedy_any_widespread"	"any_widespread_relief"	"ε"	"ε"	"NNP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"oppose"	"any"	"widespread"	"relief"	"from"	"a"	"high_court"	"depletion"	"ruling"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"is"	"by"	"and"	"donald_huffman"	"and_is"	"is_by"	"by_donald_huffman"	"re-election_and_is"	"and_is_by"	"is_by_donald_huffman"	"by_donald_huffman_for"	"NN"	"CC"	"VB"	"VB"	"IN"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"incumbent_richard_salter"	"seek"	"and"	"is"	"oppose"	"by"	"donald_huffman"	"for"	"the"	"five-year"	"term"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"would"	"intervention"	","	"in"	",_would"	"would_intervention"	"intervention_in"	"part_,_would"	",_would_intervention"	"would_intervention_in"	"intervention_in_cuba"	"NN"	"ε"	"MD"	"VB"	"NN"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._nixon"	"for"	"his"	"would"	"oppose"	"intervention"	"in"	"cuba"	"without"	"specific"	"provocation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"who"	"trade_unions"	"individuals"	"and"	"individuals_who"	"who_trade_unions"	"trade_unions_and"	",_individuals_who"	"individuals_who_trade_unions"	"who_trade_unions_and"	"trade_unions_and_collective_bargaining"	"ε"	"NNS"	"WP"	"VB"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"before"	"individuals"	"oppose"	"trade_unions"	"and"	"collective_bargaining"	"say"	"so"	"in"	"plain"	"english"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"doctrine"	"the"	"zen"	"rampant"	"zen_doctrine"	"doctrine_the"	"the_rampant"	"early_zen_doctrine"	"zen_doctrine_the"	"doctrine_the_rampant"	"the_rampant_supernaturalism"	"JJ"	"NNP"	"NN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"exponents"	"of"	"zen"	"often"	"that"	"very"	"early"	"zen"	"doctrine"	"oppose"	"the"	"rampant"	"supernaturalism"	"of"	"china"	"and"	"propose"	"instead"	"a"	"more"	"mature"	"less"	"credulous"	"view"	"of"	"the"	"universe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:01::"	"to"	"mr._wagner"	"brooklyn"	"for"	"brooklyn_to"	"to_mr._wagner"	"mr._wagner_for"	"of_brooklyn_to"	"brooklyn_to_mr._wagner"	"to_mr._wagner_for"	"mr._wagner_for_the"	"IN"	"NNP"	"TO"	"VB"	"NNP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"democratic"	"district"	"and"	"county"	"leaders"	"are"	"try"	"to"	"induce"	"state_controller_arthur_levitt"	"of"	"brooklyn"	"to"	"oppose"	"mr._wagner"	"for"	"the"	"mayoral"	"nomination"	"in"	"the"	"sept."	"democratic"	"primary"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"was"	"by"	"also"	"leonard_kaplan"	"also_was"	"was_by"	"by_leonard_kaplan"	"increase_also_was"	"also_was_by"	"was_by_leonard_kaplan"	"by_leonard_kaplan_,"	"NN"	"RB"	"VBD"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"also"	"was"	"oppose"	"by"	"leonard_kaplan"	"spokesman"	"for"	"the"	"home"	"builders"	"association"	"of"	"philadelphia"	"on"	"behalf"	"of"	"association"	"members"	"who"	"operate"	"apartment"	"houses"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"as"	"to"	"("	"fully"	"(_as"	"as_to"	"to_fully"	"contribute_(_as"	"(_as_to"	"as_to_fully"	"to_fully_company"	"VB"	"ε"	"TO"	"VB"	"TO"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"you"	"try"	"to"	"maintain"	"principle"	"of"	"employee"	"contribute"	"as"	"oppose"	"to"	"fully"	"company"	"paid"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"party"	"in"	"the"	"its"	"the_party"	"party_in"	"in_its"	"which_the_party"	"the_party_in"	"party_in_its"	"in_its_platform"	"WDT"	"DT"	"NN"	"VB"	"IN"	"PRP$"	"NN"	"of"	"the"	"voter"	"in"	"each"	"county"	"must"	"sign"	"petition"	"request"	"that"	"the"	"republican"	"be"	"allow"	"to"	"place"	"name"	"of"	"candidate"	"on"	"the"	"general_election"	"ballot"	"or"	"the"	"republican"	"must"	"hold"	"a"	"primary"	"under"	"the"	"county"	"unit"	"system"	"a"	"system"	"which"	"party"	"in"	"its"	"platform"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
