"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"
"2:35:07::"	"has"	"the"	"''"	"fancy"	"''_has"	"has_the"	"the_fancy"	"industry_''_has"	"''_has_the"	"has_the_fancy"	"the_fancy_of"	"NN"	"ε"	"VBZ"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"second"	"the"	"potato_chip"	"has"	"catch"	"the"	"fancy"	"of"	"investors"	"lately"	"and"	"until"	"morton"	"foods"	"come_along"	"there"	"be"	"only"	"two"	"potato_chip"	"stocks"	"frito"	"and"	"h._w._lay"	"on"	"the"	"market"	"0"	"0"	"0"	
"2:41:13::"	"he"	"himself"	"before"	"."	"before_he"	"he_himself"	"himself_."	"heatedly_before_he"	"before_he_himself"	"he_himself_."	"himself_._∅"	"RB"	"IN"	"PRP"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"god"	"does"	"n't"	"have"	"any"	"appliance"	"or"	"he"	"say"	"heatedly"	"before"	"he"	"catch"	"himself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:03::"	"are"	"in"	"manufacturers"	"a"	"manufacturers_are"	"are_in"	"in_a"	"but_manufacturers_are"	"manufacturers_are_in"	"are_in_a"	"in_a_profit"	"CC"	"NNS"	"VBP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"say"	"he"	"favor"	"wage"	"increases"	"workers"	"but"	"manufacturers"	"are"	"catch"	"in"	"a"	"profit"	"squeeze"	"and"	"raises"	"should"	"only"	"come"	"when"	"the"	"public"	"is"	"condition"	"to"	"higher"	"prices"	"he"	"add"	"0"	"0"	"0"	
"2:38:00::"	"to"	"a"	"members"	"plane"	"members_to"	"to_a"	"a_plane"	"out-of-town_members_to"	"members_to_a"	"to_a_plane"	"a_plane_."	"JJ"	"NNS"	"TO"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"no"	"casualties"	"but"	"the"	"guerrillas"	"admit"	"to"	"be"	"a_little"	"tired"	"when"	"the"	"leaders"	"call"	"a"	"halt"	"at"	"a._m."	"to"	"out-of-town"	"members"	"to"	"catch"	"a"	"plane"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"barton"	"the"	"∅"	"lighter"	"∅_barton"	"barton_the"	"the_lighter"	"∅_∅_barton"	"∅_barton_the"	"barton_the_lighter"	"the_lighter_man"	"ε"	"ε"	"NNP"	"VB"	"DT"	"JJR"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"catch"	"the"	"lighter"	"man"	"shoulder"	"and"	"swing"	"him"	"around"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:10::"	"and"	"the"	"courthouse"	"sheriff"	"courthouse_and"	"and_the"	"the_sheriff"	"the_courthouse_and"	"courthouse_and_the"	"and_the_sheriff"	"the_sheriff_just_as"	"DT"	"NN"	"CC"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"hurry"	"across"	"the"	"courthouse"	"and"	"catch"	"the"	"sheriff"	"just_as"	"he"	"was"	"leave"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"fellini"	"the"	"apparently"	"crowd"	"apparently_fellini"	"fellini_the"	"the_crowd"	"∅_apparently_fellini"	"apparently_fellini_the"	"fellini_the_crowd"	"the_crowd_when"	"ε"	"RB"	"NNP"	"VB"	"DT"	"NN"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fellini"	"catch"	"the"	"crowd"	"when"	"its"	"parties"	"had"	"begin"	"to"	"pall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"and"	"a"	"up"	"fascinating"	"up_and"	"and_a"	"a_fascinating"	"''_up_and"	"up_and_a"	"and_a_fascinating"	"a_fascinating_panorama"	"ε"	"RB"	"CC"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"helva"	"look"	"and"	"catch"	"a"	"fascinating"	"panorama"	"of"	"regular"	"dirty"	"craters"	"on"	"a"	"flaky"	"pink"	"surface"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:02::"	"'ll"	"some"	"you"	"memorial"	"you_'ll"	"'ll_some"	"some_memorial"	",_you_'ll"	"you_'ll_some"	"'ll_some_memorial"	"some_memorial_re-enactments"	"ε"	"PRP"	"MD"	"VB"	"DT"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"special"	"interest"	"this"	"anniversary"	"year"	"of"	"the"	"war_between_the_states"	"be"	"many"	"civil_war"	"battlefields"	"where"	"likely"	"as"	"not"	"you"	"catch"	"some"	"memorial"	"re-enactments"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"to"	"the"	"stoop"	"words"	"stoop_to"	"to_the"	"the_words"	"to_stoop_to"	"stoop_to_the"	"to_the_words"	"the_words_."	"VB"	"VB"	"VB"	"VB"	"DT"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gavin"	"lips"	"move"	"so_that"	"have"	"to"	"stoop"	"to"	"catch"	"the"	"words"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
