"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"
"4:02:00::"	"stay"	"longer"	"to"	"."	"to_stay"	"stay_longer"	"longer_."	"me_to_stay"	"to_stay_longer"	"stay_longer_."	"longer_._∅"	"PRP"	"TO"	"VB"	"RB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"go_on"	"when"	"we"	"finish"	"person"	"person"	"ask"	"to"	"stay"	"a_little"	"longer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"squirm"	"on"	"person"	"the"	"person_squirm"	"squirm_on"	"on_the"	"∅_person_squirm"	"person_squirm_on"	"squirm_on_the"	"on_the_divan"	"ε"	"NNP"	"VB"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"squirm"	"a_little"	"on"	"the"	"divan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"it"	"later"	"get_around_to"	"''"	"get_around_to_it"	"it_later"	"later_''"	"'ll_get_around_to_it"	"get_around_to_it_later"	"it_later_''"	"later_''_,"	"MD"	"VB"	"PRP"	"RB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"get_around_to"	"a_little"	"later"	"he"	"mumble"	"desperately"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"be"	"fussy"	"person"	"when"	"person_be"	"be_fussy"	"fussy_when"	"circumstance_person_be"	"person_be_fussy"	"be_fussy_when"	"fussy_when_people"	"NN"	"NNP"	"VB"	"RB"	"JJ"	"WRB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"under"	"normal"	"person"	"be"	"a_little"	"fussy"	"when"	"people"	"tell"	"him"	"what"	"to"	"do"	"with"	"picture"	"he"	"had"	"take"	"0"	"0"	"0"	
"4:02:00::"	"be"	"sick"	"have"	"with"	"have_be"	"be_sick"	"sick_with"	"i_have_be"	"have_be_sick"	"be_sick_with"	"sick_with_diarrhea"	"PRP"	"VBP"	"VB"	"RB"	"JJ"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"georgia"	"soldier"	"give"	"his"	"wife"	"the"	"following"	"description"	"of"	"the"	"cause"	"consequence"	"of"	"diarrhoea"	"i"	"have"	"be"	"a_little"	"sick"	"with"	"diarrhea"	"two"	"or"	"three"	"day"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	"far"	"location"	"along"	"location_,"	",_far"	"far_along"	"the_location_,"	"location_,_far"	",_far_along"	"far_along_the"	"DT"	"NNP"	"ε"	"RB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"ride"	"the"	"location"	"a_little"	"far"	"along"	"the"	"opposite"	"side"	"of"	"the"	"street"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"suddenly"	"fixed"	"be"	"and"	"be_suddenly"	"suddenly_fixed"	"fixed_and"	"face_be_suddenly"	"be_suddenly_fixed"	"suddenly_fixed_and"	"fixed_and_questioning"	"NN"	"VB"	"RB"	"RB"	"JJ"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"face"	"suddenly"	"a_little"	"fixed"	"and"	"questioning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"be"	"reckless"	"to"	","	"to_be"	"be_reckless"	"reckless_,"	"enough_to_be"	"to_be_reckless"	"be_reckless_,"	"reckless_,_raise"	"RB"	"TO"	"VB"	"RB"	"JJ"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"angry"	"to"	"be"	"a_little"	"reckless"	"raise"	"his"	"hand"	"shoulder"	"high"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"be"	"too"	"person"	"honest"	"person_be"	"be_too"	"too_honest"	":_person_be"	"person_be_too"	"be_too_honest"	"too_honest_."	"ε"	"NNP"	"VB"	"RB"	"RB"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"be"	"honest_as_the_day"	"person"	"say"	"and"	"add"	"person"	"i"	"can"	"say"	"this"	"to"	"you"	"be"	"a_little"	"too"	"honest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"be"	"late"	"they"	"in"	"they_be"	"be_late"	"late_in"	"∅_they_be"	"they_be_late"	"be_late_in"	"late_in_get"	"ε"	"PRP"	"VB"	"RB"	"RB"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"a_little"	"late"	"in"	"get"	"home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
