"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"
"1:18:00::"	"of"	"'s"	"importance"	"twist"	"importance_of"	"of_'s"	"'s_twist"	"the_importance_of"	"importance_of_'s"	"of_'s_twist"	"'s_twist_has"	"DT"	"NN"	"IN"	"NN"	"POS"	"NN"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"rousseau"	"twist"	"has"	"not"	"always"	"be"	"clear"	"to"	"us"	"however"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"∅"	"be"	"∅"	"so"	"∅_∅"	"∅_be"	"be_so"	"∅_∅_∅"	"∅_∅_be"	"∅_be_so"	"be_so_persuasive"	"ε"	"ε"	"ε"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"so"	"persuasive"	"that"	"voltaire"	"is"	"almost"	"convinced"	"that"	"he"	"should"	"burn"	"his"	"book"	"too"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	","	"ask"	"however"	"for"	"however_,"	",_ask"	"ask_for"	",_however_,"	"however_,_ask"	",_ask_for"	"ask_for_still"	"ε"	"RB"	"ε"	"NN"	"VB"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"immediately"	"after"	"however"	"rousseau"	"ask"	"for"	"still"	"another"	"favor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"of"	"."	"that"	"∅"	"that_of"	"of_."	"._∅"	"for_that_of"	"that_of_."	"of_._∅"	"._∅_∅"	"VB"	"IN"	"IN"	"NN"	"ε"	"ε"	"ε"	"the"	"impromptu"	"that"	"voltaire"	"give"	"to"	"howl"	"of"	"laughter"	"at"	"location"	"and"	"that"	"was"	"soon"	"circulate"	"in"	"manuscript"	"throughout"	"the"	"literary"	"circle"	"of"	"europe"	"to"	"be"	"print"	"sometime"	"later"	"but"	"with"	"the"	"name"	"of"	"person"	"the"	"famous"	"misanthrope"	"substitute"	"for"	"that"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"a"	"would"	"which"	"find"	"which_a"	"a_would"	"would_find"	"in_which_a"	"which_a_would"	"a_would_find"	"would_find_himself"	"RB"	"RB"	"DT"	"NN"	"VB"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"for_example"	"could"	"a"	"voltaire"	"understand"	"strange"	"predicament"	"in"	"which"	"a"	"rousseau"	"would"	"find"	"himself"	"when"	"soon"	"after"	"the"	"furor"	"of"	"his"	"first"	"discourse"	"he"	"acquire"	"still"	"another"	"title"	"to"	"fame"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	","	"had"	"it"	"dream"	"it_,"	",_had"	"had_dream"	"teach_it_,"	"it_,_had"	",_had_dream"	"had_dream_of"	"VB"	"PRP"	"ε"	"NN"	"VBD"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ever"	"since"	"he"	"had"	"first"	"begin"	"study"	"music"	"and"	"to"	"teach"	"it"	"rousseau"	"had"	"dream"	"of"	"pierce"	"through"	"to"	"fame"	"as"	"the"	"result"	"of"	"a"	"successful"	"opera"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	","	"amuse"	"jeweler"	"the"	"jeweler_,"	",_amuse"	"amuse_the"	"swiss_jeweler_,"	"jeweler_,_amuse"	",_amuse_the"	"amuse_the_company"	"JJ"	"NN"	"ε"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"then"	"one"	"day"	"while"	"on"	"a"	"week"	"visit"	"to"	"country"	"home"	"of"	"a"	"retired"	"swiss"	"jeweler"	"rousseau"	"amuse"	"the"	"company"	"with"	"a_few"	"little"	"melody"	"he"	"had"	"write"	"to"	"which"	"he"	"attach"	"no"	"great"	"importance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"∅"	"agree"	"∅"	"."	"∅_∅"	"∅_agree"	"agree_."	"∅_∅_∅"	"∅_∅_agree"	"∅_agree_."	"agree_._∅"	"ε"	"ε"	"ε"	"NN"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"agree"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"bother"	":"	"was"	"that"	"was_bother"	"bother_:"	":_that"	"what_was_bother"	"was_bother_:"	"bother_:_that"	":_that_the"	"WP"	"VBD"	"VB"	"NN"	"ε"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"understand"	"was"	"bother"	"rousseau"	"that"	"the"	"writer"	"of"	"the"	"prosopopoeia_of_fabricius"	"should"	"now"	"become"	"known"	"as"	"the"	"writer"	"of"	"an"	"amusing"	"little"	"operetta"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"to_that"	"could"	"∅"	"agree"	"∅_to_that"	"to_that_could"	"could_agree"	"∅_∅_to_that"	"∅_to_that_could"	"to_that_could_agree"	"could_agree_."	"ε"	"ε"	"RB"	"NN"	"VB"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rousseau"	"could"	"agree"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
