"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"
"3:00:00::"	","	"for"	"line"	"combat"	"line_,"	",_for"	"for_combat"	"the_line_,"	"line_,_for"	",_for_combat"	"for_combat_."	"DT"	"NN"	"ε"	"JJ"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"just"	"a"	"month"	"after"	"the"	"korean_war"	"break_out"	"group"	"was"	"move_into"	"the"	"line"	"ready"	"for"	"combat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"next"	"'ll"	"time"	"'ll_be"	"be_next"	"next_time"	"i_'ll_be"	"'ll_be_next"	"be_next_time"	"next_time_''"	"PRP"	"MD"	"VB"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"ready"	"next"	"time"	"he"	"rage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"with"	"come"	"additional"	"come_be"	"be_with"	"with_additional"	"winter_come_be"	"come_be_with"	"be_with_additional"	"with_additional_mulch"	"NN"	"VB"	"VB"	"JJ"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"come"	"be"	"ready"	"with"	"additional"	"mulch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"at"	"."	"rifle"	"∅"	"rifle_at"	"at_."	"._∅"	"their_rifle_at"	"rifle_at_."	"at_._∅"	"._∅_∅"	"PRP$"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"three"	"union"	"guard"	"appear"	"their"	"rifle"	"at"	"ready"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"egg"	"for"	"six"	"the"	"six_egg"	"egg_for"	"for_the"	",_six_egg"	"six_egg_for"	"egg_for_the"	"for_the_hen"	"ε"	"JJ"	"NN"	"JJ"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"enter"	"his"	"room"	"the"	"doctor"	"was"	"already"	"prepare"	"nest"	"in"	"the"	"straw"	"case"	"six"	"egg"	"ready"	"for"	"the"	"hen"	"attention"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	","	"to"	"information"	"impart"	"information_,"	",_to"	"to_impart"	"with_information_,"	"information_,_to"	",_to_impart"	"to_impart_it"	"VB"	"NN"	"ε"	"JJ"	"JJ"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"have"	"no"	"doubt"	"that"	"person"	"would"	"from"	"the"	"village"	"burst"	"with"	"information"	"ready"	"to"	"impart"	"it"	"with"	"his"	"customary"	"gusto"	"liberally"	"embellish"	"with"	"his"	"active"	"imagination"	
"3:00:00::"	"get"	"for"	"girl"	"her"	"girl_get"	"get_for"	"for_her"	"little_girl_get"	"girl_get_for"	"get_for_her"	"for_her_first"	"JJ"	"NN"	"VB"	"JJ"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all"	"evening"	"person"	"had"	"be"	"demure"	"as"	"a"	"little"	"girl"	"get"	"ready"	"for"	"her"	"first"	"communion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"to"	"near"	"issue"	"near_be"	"be_to"	"to_issue"	"very_near_be"	"near_be_to"	"be_to_issue"	"to_issue_the"	"RB"	"RB"	"VB"	"JJ"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"meanwhile"	"it"	"was"	"learn"	"the"	"be"	"very"	"near"	"be"	"ready"	"to"	"issue"	"the"	"first"	"million"	"worth"	"of"	"highway"	"reconstruction"	"bond"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"basket"	"in"	"straw"	"the"	"straw_basket"	"basket_in"	"in_the"	"big_straw_basket"	"straw_basket_in"	"basket_in_the"	"in_the_hall"	"JJ"	"NN"	"NN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"big"	"straw"	"basket"	"ready"	"in"	"the"	"hall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"to"	"he"	"go"	"he_be"	"be_to"	"to_go"	"soon_he_be"	"he_be_to"	"be_to_go"	"to_go_into"	"RB"	"PRP"	"VB"	"JJ"	"TO"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"soon"	"be"	"ready"	"to"	"go"	"into"	"a"	"three-dimensional_figure"	"in"	"clay"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
