"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"
"2:31:01::"	"could"	"his"	"they"	"intention"	"they_could"	"could_his"	"his_intention"	"before_they_could"	"they_could_his"	"could_his_intention"	"his_intention_rankin"	"IN"	"PRP"	"MD"	"VB"	"PRP$"	"NN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"before"	"could"	"guess"	"his"	"intention"	"rankin"	"step"	"forward"	"and"	"swing"	"the"	"guard"	"own"	"gun"	"against"	"the"	"uncovered"	"head"	"hard"	"0"	"0"	"0"	"0"	
"2:31:02::"	"easily"	"we"	"could"	"did"	"could_easily"	"easily_we"	"we_did"	"russia_could_easily"	"could_easily_we"	"easily_we_did"	"we_did_not"	"NNP"	"MD"	"RB"	"VB"	"PRP"	"VBD"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"also"	"weaken"	"our"	"diplomatic"	"because"	"russia"	"could"	"easily"	"guess"	"we"	"did"	"not"	"desire"	"a"	"nuclear"	"war"	"except"	"in"	"the"	"ultimate"	"extremity"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"been"	"wrong"	"has"	"on"	"has_been"	"been_wrong"	"wrong_on"	"also_has_been"	"has_been_wrong"	"been_wrong_on"	"wrong_on_a"	"RB"	"VBZ"	"VBN"	"VB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"successor"	"secretary_goldberg"	"has"	"been"	"guess"	"wrong"	"on"	"a"	"drop"	"in"	"the"	"unemployment"	"rate"	"which"	"has"	"been"	"hold"	"just"	"under"	"per_cent"	"for"	"the"	"last"	"months"	
"2:32:00::"	"foes"	"but"	"his"	"his"	"his_foes"	"foes_but"	"but_his"	"keep_his_foes"	"his_foes_but"	"foes_but_his"	"but_his_friends"	"VB"	"PRP$"	"NNS"	"VB"	"CC"	"PRP$"	"NNS"	"0"	"0"	"0"	"barnett"	"who"	"come"	"into"	"office"	"with"	"no"	"previous"	"experience"	"in_public"	"administration"	"has"	"surround"	"himself"	"with"	"confusion"	"not_only"	"keep"	"his"	"foes"	"guess"	"but"	"his"	"friends"	"as_well"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"i"	"you"	"``"	"think"	"``_i"	"i_you"	"you_think"	",_``_i"	"``_i_you"	"i_you_think"	"you_think_i"	"ε"	"ε"	"PRP"	"VB"	"PRP"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pete"	"turn_around"	"and"	"say"	"marty"	"i"	"guess"	"you"	"think"	"i"	"be"	"a"	"yellow-bellied"	"hound"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"i"	"so"	"``"	"''"	"``_i"	"i_so"	"so_''"	"∅_``_i"	"``_i_so"	"i_so_''"	"so_''_,"	"ε"	"ε"	"PRP"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"guess"	"so"	"she"	"say"	"take"	"a"	"kleenex"	"from"	"her"	"purse"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"these"	"about"	","	"the"	",_these"	"these_about"	"about_the"	"still_,_these"	",_these_about"	"these_about_the"	"about_the_outcome"	"RB"	"ε"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"still"	"guess"	"about"	"the"	"outcome"	"of"	"the"	"struggle"	"cannot"	"be"	"as"	"important"	"as"	"the"	"actual"	"power"	"relationship"	"between"	"the"	"soviet_union"	"and"	"ourselves"	"0"	
"2:31:00::"	"i"	"we"	"'"	"be"	"'_i"	"i_we"	"we_be"	"an_'_i"	"'_i_we"	"i_we_be"	"we_be_about"	"DT"	"ε"	"PRP"	"VB"	"PRP"	"VB"	"IN"	"say"	"we"	"got"	"to"	"put_in"	"some"	"outlet"	"for"	"them"	"power_tool"	"then"	"a_couple_of"	"fluorescent"	"lamp"	"the"	"workbench"	"an"	"i"	"guess"	"be"	"about"	"through"	"down"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"you"	"''"	"n't"	"?"	"n't_you"	"you_''"	"''_?"	"ca_n't_you"	"n't_you_''"	"you_''_?"	"''_?_∅"	"MD"	"RB"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ca"	"you"	"guess"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"now"	")"	"i"	"say"	"i_now"	"now_)"	")_say"	"(_i_now"	"i_now_)"	"now_)_say"	")_say_."	"ε"	"PRP"	"RB"	"VB"	"ε"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hell"	"that"	"all_right"	"buddy"	"the"	"indian"	"i"	"guess"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
