"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"2:32:00::"	"altogether"	"the"	"molotov"	"line"	"molotov_altogether"	"altogether_the"	"the_line"	"``_molotov_altogether"	"molotov_altogether_the"	"altogether_the_line"	"the_line_of"	"ε"	"NNP"	"RB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"molotov"	"reject"	"the"	"line"	"of"	"peaceful"	"coexistence"	"reduce"	"this"	"concept"	"merely"	"to"	"the"	"state"	"of"	"peace"	"or"	"rather"	"the"	"absence"	"of"	"war"	"at"	"a"	"given"	"moment"	"and"	"to"	"a"	"denial"	"of"	"the"	"of"	"avert"	"a"	"world_war"	
"2:40:00::"	"or"	"on"	"admit"	"the"	"admit_or"	"or_on"	"on_the"	"be_admit_or"	"admit_or_on"	"or_on_the"	"on_the_basis"	"VBP"	"VB"	"CC"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"not"	"now"	"nor"	"has"	"there"	"ever"	"be"	"in"	"emory_university"	"or"	"by-laws"	"any"	"requirement"	"that"	"students"	"be"	"admit"	"or"	"reject"	"on"	"the"	"basis"	"of"	"race"	"color"	"or"	"creed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"claudio"	"hero"	"insipid"	"at"	"insipid_claudio"	"claudio_hero"	"hero_at"	"the_insipid_claudio"	"insipid_claudio_hero"	"claudio_hero_at"	"hero_at_the"	"DT"	"JJ"	"NNP"	"VB"	"NNP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"much"	"ado"	"turn"	"serious"	"the"	"insipid"	"claudio"	"reject"	"hero"	"at"	"the"	"altar"	"a"	"sprinkle"	"begin"	"to"	"fall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"for"	"all"	"new_england"	"complicity"	"new_england_for"	"for_all"	"all_complicity"	"forgive_new_england_for"	"new_england_for_all"	"for_all_complicity"	"all_complicity_''"	"VB"	"NN"	"IN"	"VB"	"DT"	"NN"	"ε"	"respected"	"friend"	"of"	"mine"	"who"	"like"	"myself"	"grow_up"	"in"	"the"	"south"	"and"	"has"	"spend"	"many"	"year"	"in"	"new_england"	"say"	"to"	"me"	"not_long"	"ago"	"i"	"n't"	"forgive"	"new_england"	"for"	"all"	"complicity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"private_eye"	"the"	"american"	"social"	"american_private_eye"	"private_eye_the"	"the_social"	"the_american_private_eye"	"american_private_eye_the"	"private_eye_the_social"	"the_social_convention"	"DT"	"JJ"	"NN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"like"	"holmes"	"american"	"private_eye"	"reject"	"the"	"social"	"convention"	"of"	"his"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"he"	"accept"	"one_by_one"	"them"	"one_by_one_he"	"he_accept"	"accept_them"	"and_one_by_one_he"	"one_by_one_he_accept"	"he_accept_them"	"accept_them_as"	"CC"	"RB"	"PRP"	"VB"	"VB"	"PRP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one_by_one"	"these"	"error"	"were"	"and"	"one_by_one"	"he"	"reject"	"accept"	"them"	"as"	"error"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"was"	"because"	"but"	"he"	"but_was"	"was_because"	"because_he"	"physics_but_was"	"but_was_because"	"was_because_he"	"because_he_was"	"NN"	"CC"	"VBD"	"VB"	"IN"	"PRP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"person"	"return"	"to"	"copenhagen"	"and"	"apply"	"for"	"university"	"chair"	"in"	"physics"	"but"	"was"	"reject"	"because"	"he"	"was"	"probably"	"consider"	"more"	"a"	"philosopher"	"than"	"a"	"physicist"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	"it"	"appear"	"!"	"appear_to"	"to_it"	"it_!"	"at_least_appear_to"	"appear_to_it"	"to_it_!"	"it_!_∅"	"RB"	"VB"	"TO"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"or"	"appear"	"to"	"reject"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"be"	"."	"should"	"∅"	"should_be"	"be_."	"._∅"	"amendment_should_be"	"should_be_."	"be_._∅"	"._∅_∅"	"NN"	"MD"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"details"	"are"	"still"	"be"	"to"	"work_out"	"person"	"say"	"he"	"expect"	"to"	"tell"	"home_folks"	"in"	"dallas"	"why"	"think"	"person"	"proposed"	"constitutional"	"amendment"	"should"	"be"	"reject"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"november"	"a"	"last"	"constitutional"	"last_november"	"november_a"	"a_constitutional"	"voter_last_november"	"last_november_a"	"november_a_constitutional"	"a_constitutional_amendment"	"NN"	"RB"	"NN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"point_out"	"that"	"voter"	"last"	"november"	"reject"	"a"	"constitutional"	"amendment"	"to"	"allow"	"legislator"	"to"	"vote"	"on"	"pay"	"raise"	"for"	"future"	"legislature"	"session"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
