"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"
"3:00:01::"	"be"	"."	"sun"	"∅"	"sun_be"	"be_."	"._∅"	"the_sun_be"	"sun_be_."	"be_._∅"	"._∅_∅"	"DT"	"NN"	"VB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"a"	"crowd"	"in"	"the"	"for"	"a"	"change"	"and"	"the"	"sun"	"be"	"hot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"and"	","	"cold"	"sticky"	"cold_and"	"and_,"	",_sticky"	"feel_cold_and"	"cold_and_,"	"and_,_sticky"	",_sticky_and"	"VB"	"JJ"	"CC"	"JJ"	"ε"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"cold"	"and"	"hot"	"sticky"	"and"	"chilly"	"at_the_same_time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"the"	"water"	"that"	"in"	"that_the"	"the_water"	"water_in"	"person_that_the"	"that_the_water"	"the_water_in"	"water_in_the"	"NNP"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"had"	"come"	"as"	"no"	"surprise"	"to"	"person"	"that"	"the"	"hot"	"water"	"in"	"the"	"shower"	"did"	"n't"	"work"	"that"	"person"	"had"	"throw_up"	"all_over"	"the"	"stairs"	"or"	"that"	"some"	"thieving"	"bastard"	"of"	"a"	"cop"	"had"	"walk_off"	"with"	"his"	"cigarette"	
"5:00:00:fast:01"	"a"	"start"	"to"	"and"	"to_a"	"a_start"	"start_and"	"get_off_the_ground_to_a"	"to_a_start"	"a_start_and"	"start_and_make"	"VB"	"TO"	"DT"	"JJ"	"NN"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"the"	"only"	"group"	"club"	"get_off_the_ground"	"to"	"a"	"hot"	"start"	"and"	"make"	"a"	"runaway"	"of"	"the"	"race"	"be"	"the"	"group"	"team"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"the"	"fury"	"before"	","	"before_the"	"the_fury"	"fury_,"	"shrink_before_the"	"before_the_fury"	"the_fury_,"	"fury_,_search"	"VB"	"IN"	"DT"	"JJ"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"man"	"before"	"the"	"hot"	"fury"	"search"	"frantically"	"for"	"the"	"answer"	"h"	"person"	"wake_up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	","	"controversy"	"long"	","	"long_,"	",_controversy"	"controversy_,"	"a_long_,"	"long_,_controversy"	",_controversy_,"	"controversy_,_location"	"DT"	"JJ"	"ε"	"JJ"	"NN"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"long"	"hot"	"controversy"	"location"	"have"	"a"	"new"	"school_superintendent"	"elect"	"as"	"a"	"policeman"	"put"	"it"	"in"	"the"	"cool"	"election"	"i"	"ever"	"see"	"in_this"	"county"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"a"	"gas_jet"	"by"	"flow"	"by_a"	"a_gas_jet"	"gas_jet_flow"	"enhance_by_a"	"by_a_gas_jet"	"a_gas_jet_flow"	"gas_jet_flow_from"	"VB"	"IN"	"DT"	"JJ"	"NN"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"heat"	"transfer"	"to"	"the"	"anode"	"free_burning"	"arc"	"is"	"enhance"	"by"	"a"	"hot"	"gas_jet"	"flow"	"from"	"the"	"cathode"	"towards"	"the"	"anode"	"with"	"velocity"	"up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	":"	"and"	"prescription"	"cold"	"prescription_:"	":_and"	"and_cold"	"his_prescription_:"	"prescription_:_and"	":_and_cold"	"and_cold_compress"	"PRP$"	"NN"	"ε"	"JJ"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"hot"	"and"	"cold"	"compress"	"to"	"increase"	"her"	"absorption"	"of"	"water"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"a"	"duel"	"in"	"in"	"in_a"	"a_duel"	"duel_in"	"person_in_a"	"in_a_duel"	"a_duel_in"	"duel_in_1.10.1"	"NNP"	"IN"	"DT"	"JJ"	"NN"	"IN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"swift"	"stride"	"jamaican"	"set"	"a"	"meet"	"record"	"in"	"the"	"yard"	"run"	"in"	"the"	"group"	"tonight"	"beat"	"group"	"person"	"in"	"a"	"hot"	"duel"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"and"	"summer"	"temperature"	"pavement"	"temperature_and"	"and_summer"	"summer_pavement"	"sizzling_temperature_and"	"temperature_and_summer"	"and_summer_pavement"	"summer_pavement_be"	"JJ"	"NN"	"CC"	"JJ"	"NN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sizzling"	"and"	"hot"	"summer"	"pavement"	"be"	"anything"	"but"	"kind"	"to"	"the"	"foot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
