"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"
"1:11:00::"	"the"	"of"	"at"	"each"	"at_the"	"the_of"	"of_each"	"congress_at_the"	"at_the_of"	"the_of_each"	"of_each_regular"	"NN"	"IN"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"secretary_of_the_interior"	"shall"	"make"	"report"	"to"	"president"	"and"	"the"	"congress"	"at"	"the"	"beginning"	"of"	"each"	"regular"	"session"	"of"	"the"	"action"	"taken"	"or"	"institute"	"by"	"him"	"under"	"the"	"provision"	"of_this"	"act"	"and"	"of"	"prospective"	"action"	"during"	"the"	"ensuing"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:early:02"	"of"	"camper"	"thousand"	"on"	"thousand_of"	"of_camper"	"camper_on"	"those_thousand_of"	"thousand_of_camper"	"of_camper_on"	"camper_on_the"	"DT"	"NN"	"IN"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"would"	"be"	"a"	"to"	"sell"	"those"	"thousand"	"of"	"beginning"	"camper"	"on"	"the"	"idea"	"they"	"buy"	"the"	"comforts"	"of"	"home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"real"	"of"	"the"	"person"	"the_real"	"real_of"	"of_person"	"mark_the_real"	"the_real_of"	"real_of_person"	"of_person_'s"	"VB"	"DT"	"JJ"	"NN"	"IN"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"person"	"association"	"bring"	"him"	"into"	"contact"	"with"	"person"	"whose"	"snowball"	"person"	"relyric"	"as"	"lazybones"	"in"	"which"	"form"	"it"	"become"	"hit"	"and"	"mark"	"the"	"real"	"beginning"	"of"	"person"	"song"	"write"	"career"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:elementary(a):00"	"in"	"reading"	"use"	"compare"	"use_in"	"in_reading"	"reading_compare"	"is_use_in"	"use_in_reading"	"in_reading_compare"	"reading_compare_favorably"	"VBZ"	"VB"	"IN"	"JJ"	"NN"	"VB"	"RB"	"had"	"expect"	"that"	"compulsive"	"child"	"in"	"the"	"unstructured"	"school"	"setting"	"would"	"have"	"difficulty"	"when"	"compare"	"to"	"those"	"in"	"the"	"structured"	"we"	"were"	"surprise"	"to"	"find"	"that"	"the"	"achievement"	"of"	"the"	"high"	"compulsive"	"within"	"the"	"school"	"where"	"the"	"whole-word_method"	"is"	"use"	"reading"	"compare"	"favorably"	"with"	"that"	"of"	"the"	"low"	"compulsive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"the"	"of"	"since"	"the"	"since_the"	"the_of"	"of_the"	",_since_the"	"since_the_of"	"the_of_the"	"of_the_distinctively"	"ε"	"IN"	"DT"	"NN"	"IN"	"DT"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"say"	"of_course"	"be"	"to"	"take_up"	"a"	"position"	"one"	"side"	"of"	"a"	"controversy"	"go_on"	"now"	"some"	"two"	"hundred"	"year"	"or"	"at_any_rate"	"since"	"the"	"beginning"	"of"	"the"	"distinctively"	"modern"	"period"	"in"	"theological"	"thought"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"be"	","	"these"	"but"	"these_be"	"be_,"	",_but"	"∅_these_be"	"these_be_,"	"be_,_but"	",_but_correctly"	"ε"	"DT"	"VB"	"NN"	"ε"	"CC"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"beginning"	"but"	"correctly"	"learn"	"they"	"prepare"	"for"	"satisfying"	"and"	"exciting"	"stunt"	"that"	"can"	"be"	"perform"	"by"	"a"	"strong"	"flexible"	"body"	"we"	"are"	"not"	"talk"	"of"	"eccentric"	"extreme"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"the"	"of"	"at"	"the"	"at_the"	"the_of"	"of_the"	"enter_at_the"	"at_the_of"	"the_of_the"	"of_the_play"	"VB"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"into"	"this"	"household"	"one"	"erode"	"by"	"irritation"	"that"	"have"	"torture"	"soul"	"out"	"of"	"its"	"people"	"that"	"person"	"enter"	"at"	"the"	"beginning"	"of"	"the"	"play"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"mere"	"of"	"the"	"the"	"the_mere"	"mere_of"	"of_the"	"and_the_mere"	"the_mere_of"	"mere_of_the"	"of_the_tracing"	"CC"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"one"	"would"	"surmise"	"the"	"procedure"	"however"	"could"	"be"	"repeat"	"with"	"the"	"same"	"object"	"with"	"the"	"same"	"type"	"of"	"object"	"often"	"enough"	"so"	"that"	"corresponding"	"visual"	"blot"	"and"	"the"	"mere"	"beginning"	"of"	"the"	"tracing"	"movement"	"would"	"provide"	"clue"	"as_to"	"the"	"actual"	"shape"	"which"	"the"	"patient"	"then"	"immediately"	"could"	"determine"	"by"	"a"	"kind"	"of"	"inference"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"the"	"of"	"from"	"commercial"	"from_the"	"the_of"	"of_commercial"	"∅_from_the"	"from_the_of"	"the_of_commercial"	"of_commercial_recording"	"ε"	"RB"	"RB"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"beginning"	"of"	"commercial"	"recording"	"new"	"disc"	"purport"	"to"	"be"	"indistinguishable"	"from"	"the"	"real_thing"	"have"	"regularly"	"been"	"put"	"in"	"circulation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"very"	"the"	"the"	"electoral"	"the_very"	"very_the"	"the_electoral"	"from_the_very"	"the_very_the"	"very_the_electoral"	"the_electoral_discussion"	"IN"	"DT"	"RB"	"NN"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"very"	"beginning"	"the"	"electoral"	"discussion"	"raise"	"fundamental"	"issue"	"in"	"moroccan"	"politics"	"precisely"	"the"	"type"	"of"	"question"	"that"	"be"	"most"	"difficult"	"to"	"resolve"	"in"	"the"	"new"	"government"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
