"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"
"2:32:00::"	"when"	"and"	"reactivity"	"those"	"reactivity_when"	"when_and"	"and_those"	"kohnstamm_reactivity_when"	"reactivity_when_and"	"when_and_those"	"and_those_who"	"NNP"	"NN"	"WRB"	"VB"	"CC"	"DT"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"prediction"	"had"	"been"	"make"	"about"	"the"	"difference"	"in"	"security"	"self-confidence"	"between"	"those"	"subjects"	"who"	"shift"	"their"	"kohnstamm"	"reactivity"	"when"	"inform"	"and"	"those"	"who"	"did"	"not"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"were"	"of"	"they"	"the"	"they_were"	"were_of"	"of_the"	"after_they_were"	"they_were_of"	"were_of_the"	"of_the_of"	"IN"	"PRP"	"VBD"	"VB"	"IN"	"DT"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"suggestion"	"hypothesis"	"also"	"seem"	"inadequate"	"as"	"an"	"for"	"those"	"who"	"shift"	"their"	"reactions"	"after"	"they"	"were"	"inform"	"of"	"the"	"of"	"normal"	"reactions"	"different"	"from"	"those"	"which"	"they"	"give"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"today"	"by"	"are"	"proud"	"are_today"	"today_by"	"by_proud"	"erskine_caldwell_are_today"	"are_today_by"	"today_by_proud"	"by_proud_georgians"	"NNP"	"VBP"	"NN"	"VB"	"IN"	"JJ"	"NNPS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nostalgic"	"yankee"	"readers"	"erskine_caldwell"	"are"	"today"	"inform"	"by"	"proud"	"georgians"	"that"	"tobacco_road"	"is"	"bury"	"beneath"	"a"	"four-lane"	"super"	"highway"	"over"	"which"	"travel"	"each_day"	"suburbanite"	"businessmen"	"more"	"concerned"	"with"	"the"	"dow-jones"	"average"	"than"	"with"	"the"	"cotton"	"crop"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"he"	"the"	"administration"	"kremlin"	"administration_he"	"he_the"	"the_kremlin"	"his_administration_he"	"administration_he_the"	"he_the_kremlin"	"the_kremlin_through"	"PRP$"	"NN"	"PRP"	"VB"	"DT"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"very"	"early"	"his"	"administration"	"he"	"inform"	"the"	"kremlin"	"through"	"diplomatic"	"channels"	"a"	"high"	"official"	"source"	"disclose"	"that"	"the"	"new"	"administration"	"would"	"react"	"even"	"tougher"	"than"	"the"	"eisenhower"	"administration"	"would"	"during"	"the"	"formative"	"period"	"of"	"the"	"administration"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"without"	"him"	","	"of"	",_without"	"without_him"	"him_of"	"and_,_without"	",_without_him"	"without_him_of"	"him_of_the"	"CC"	"ε"	"IN"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"detectives"	"place"	"barco"	"arrest"	"and"	"without"	"inform"	"him"	"of"	"the"	"nature"	"of"	"the"	"charge"	"take_back"	"him"	"back"	"to"	"hollywood"	"for"	"questioning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"person"	"him"	","	"."	",_person"	"person_him"	"him_."	"audit_,_person"	",_person_him"	"person_him_."	"him_._∅"	"NN"	"ε"	"NNP"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"was"	"an"	"audit"	"person"	"inform"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"are"	"on"	"we"	"every"	"we_are"	"are_on"	"on_every"	",_we_are"	"we_are_on"	"are_on_every"	"on_every_hand"	"ε"	"PRP"	"VBP"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"despite"	"this"	"danger"	"we"	"are"	"inform"	"on"	"every"	"hand"	"that"	"idea"	"not"	"machine"	"be"	"our"	"fine"	"tool"	"they"	"be"	"priceless"	"even_though"	"they"	"cannot"	"be"	"record"	"on"	"a"	"ledger"	"page"	"they"	"be"	"the"	"most"	"valuable"	"of"	"commodity"	"and"	"the"	"most"	"salable"	"for"	"their"	"demand"	"far"	"exceed"	"supply"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	")"	"us"	"43"	"in"	"43_)"	")_us"	"us_in"	",_43_)"	"43_)_us"	")_us_in"	"us_in_1921"	"ε"	"CD"	"ε"	"VB"	"PRP"	"IN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"person"	"pride_of_palomar"	"us"	"in"	"that"	"we"	"have"	"an"	"instinctive"	"dislike"	"for"	"the"	"japanese"	"did"	"the"	"heated"	"debate"	"of"	"the"	"californian"	"settle"	"the"	"truth"	"or"	"falsity"	"of"	"the"	"proposition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"person"	"us"	"∅"	"("	"∅_person"	"person_us"	"us_("	"∅_∅_person"	"∅_person_us"	"person_us_("	"us_(_the_psychology_of_women"	"ε"	"ε"	"NNP"	"VB"	"PRP"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"inform"	"us"	"the_psychology_of_women"	"vol."	"that"	"in"	"all"	"culture"	"the"	"term"	"stepmother"	"automatically"	"evoke"	"deprecatory"	"implication"	"a"	"conclusion"	"accept"	"by"	"many"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"him"	"rousseau"	"that"	"rousseau_to"	"to_him"	"him_that"	"to_rousseau_to"	"rousseau_to_him"	"to_him_that"	"him_that_the"	"TO"	"NN"	"TO"	"VB"	"PRP"	"IN"	"DT"	"emotion"	"were"	"screw_up"	"to"	"new"	"height"	"when"	"after"	"acceptance"	"and"	"the"	"first"	"rehearsal"	"there"	"ensue"	"such"	"a"	"buzz"	"of"	"excitement"	"among"	"parisian"	"music_lover"	"that"	"person"	"had_to"	"come"	"run"	"to"	"rousseau"	"to"	"him"	"that"	"the"	"news"	"had"	"reach"	"the"	"superintendent"	"of"	"the"	"king"	"amusement"	"and"	"that"	"he"	"was"	"now"	"demand"	"that"	"the"	"work"	"be"	"offer"	"first"	"at"	"the"	"royal"	"summer"	"palace"	"of"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
