"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"
"2:29:02::"	"are"	"authentically"	"innesfree"	"in"	"innesfree_are"	"are_authentically"	"authentically_in"	"of_innesfree_are"	"innesfree_are_authentically"	"are_authentically_in"	"authentically_in_cloth_caps"	"IN"	"NNP"	"VBP"	"VB"	"RB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"men"	"innesfree"	"are"	"get_up"	"authentically"	"in"	"cloth_caps"	"and"	"sweaters"	"and"	"their"	"dancing"	"and"	"singing"	"be"	"fine"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"can"	"and"	"golf_course"	"bite"	"golf_course_can"	"can_and"	"and_bite"	"this_golf_course_can"	"golf_course_can_and"	"can_and_bite"	"and_bite_you"	"DT"	"NN"	"MD"	"VB"	"CC"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"just"	"when"	"you"	"think"	"you"	"it"	"lick"	"this"	"can"	"get_up"	"and"	"bite"	"you"	"player"	"had"	"say"	"one"	"afternoon"	"midway"	"through"	"the"	"tournament"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"he"	"and"	"and"	"pick_up"	"and_he"	"he_and"	"and_pick_up"	",_and_he"	"and_he_and"	"he_and_pick_up"	"and_pick_up_one"	"ε"	"CC"	"PRP"	"VB"	"CC"	"VB"	"NN"	"tissue"	"she"	"had"	"been"	"use"	"had"	"been"	"fall"	"on"	"the"	"floor"	"and"	"and"	"pick_up"	"one"	"then"	"another"	"hope"	"she"	"would"	"notice"	"what"	"he"	"was"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:01::"	"he"	"her"	"later"	"up"	"later_he"	"he_her"	"her_up"	"half-hour_later_he"	"later_he_her"	"he_her_up"	"her_up_to"	"NN"	"RB"	"PRP"	"VB"	"PRP$"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"later"	"he"	"get_up"	"her"	"up"	"to"	"go_out"	"for"	"breakfast"	"so"	"the"	"person"	"hear"	"them"	"hurry"	"down"	"the"	"stairs"	"would"	"think"	"they"	"were"	"go_to"	"a"	"late"	"mass"	
"2:38:01::"	"person"	"to"	"inning"	"bat"	"inning_person"	"person_to"	"to_bat"	"sixth_inning_person"	"inning_person_to"	"person_to_bat"	"to_bat_and"	"JJ"	"NN"	"NNP"	"VB"	"TO"	"VB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"last"	"the"	"sixth"	"inning"	"person"	"get_up"	"to"	"bat"	"and"	"hit"	"a"	"fastball"	"over"	"the"	"left_fielder"	"head"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	","	"and"	"person"	"move"	"person_,"	",_and"	"and_move"	"to_person_,"	"person_,_and"	",_and_move"	"and_move_to"	"TO"	"NNP"	"ε"	"VB"	"CC"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"seat"	"next"	"person"	"get_up"	"and"	"move"	"to"	"the"	"end"	"of"	"the"	"bench"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"``"	","	"∅"	"person"	"∅_``"	"``_,"	",_person"	"∅_∅_``"	"∅_``_,"	"``_,_person"	",_person_."	"ε"	"ε"	"ε"	"VB"	"ε"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"woman"	"and"	"the"	"offer"	"the_woman"	"woman_and"	"and_offer"	"all_the_woman"	"the_woman_and"	"woman_and_offer"	"and_offer_their"	"JJ"	"DT"	"NN"	"VB"	"CC"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all"	"woman"	"get_up"	"and"	"offer"	"their"	"chair"	"and"	"when"	"they"	"were"	"all"	"seated"	"again"	"the"	"guest"	"make"	"their"	"inquiry"	"and"	"their"	"explanation"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"onto"	"want"	"person"	"want_to"	"to_onto"	"onto_person"	"had_want_to"	"want_to_onto"	"to_onto_person"	"onto_person_'s"	"VBD"	"VB"	"VB"	"VB"	"IN"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"day"	"the"	"had"	"want"	"to"	"get_up"	"onto"	"person"	"horse"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"to"	"and"	"had"	"be"	"had_to"	"to_and"	"and_be"	"they_had_to"	"had_to_and"	"to_and_be"	"and_be_person"	"PRP"	"VB"	"VB"	"VB"	"CC"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"they"	"to"	"get_up"	"and"	"be"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"that"	"everybody"	"∅"	"up"	"∅_that"	"that_everybody"	"everybody_up"	"∅_∅_that"	"∅_that_everybody"	"that_everybody_up"	"everybody_up_."	"ε"	"ε"	"DT"	"VB"	"NN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"get_up"	"everybody"	"up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:01::"	"was_about_to"	"so"	"he"	"i"	"he_was_about_to"	"was_about_to_so"	"so_i"	"∅_he_was_about_to"	"he_was_about_to_so"	"was_about_to_so_i"	"so_i_get_out"	"ε"	"PRP"	"TO"	"VB"	"RB"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"was_about_to"	"get_up"	"so"	"i"	"get_out"	"slam"	"the"	"door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"and"	"and"	","	"leave"	",_and"	"and_and"	"and_leave"	"berlitz_english_,_and"	",_and_and"	"and_and_leave"	"and_leave_them"	"NNP"	"ε"	"CC"	"VB"	"CC"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"excuse"	"me"	"he"	"say"	"in"	"and"	"get_up"	"and"	"leave"	"them"	"to"	"bathe"	"and"	"dress"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
