"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"4:02:00::"	"month"	"when"	"three"	"four"	"three_month"	"month_when"	"when_four"	"less_than_three_month"	"three_month_when"	"month_when_four"	"when_four_successive"	"RB"	"JJ"	"NN"	"RB"	"WRB"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"damage"	"had"	"been"	"do"	"in"	"the"	"of"	"vientiane"	"fight"	"less_than"	"three"	"month"	"earlier"	"when"	"four"	"successive"	"government"	"had"	"rule"	"here"	"in"	"three"	"day"	"december"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:past:00"	"in"	"southern"	"counterpart"	"novel"	"counterpart_in"	"in_southern"	"southern_novel"	"few_counterpart_in"	"counterpart_in_southern"	"in_southern_novel"	"southern_novel_deal"	"JJ"	"NN"	"IN"	"JJ"	"JJ"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"low-class"	"character"	"have"	"few"	"counterpart"	"in"	"earlier"	"southern"	"novel"	"deal"	"with"	"plantation"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:past:00"	"also"	"literary"	"and"	"treatment"	"and_also"	"also_literary"	"literary_treatment"	"material_and_also"	"and_also_literary"	"also_literary_treatment"	"literary_treatment_of"	"NN"	"CC"	"RB"	"JJ"	"JJ"	"NN"	"IN"	"0"	"one"	"of"	"the"	"early"	"humorist"	"already"	"mention"	"person"	"can"	"be"	"use"	"to"	"illustrate"	"another"	"point"	"where"	"person"	"touch"	"authentic"	"southern"	"material"	"also"	"earlier"	"literary"	"treatment"	"of"	"those"	"material"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"settler"	"than"	"his"	"he"	"his_settler"	"settler_than"	"than_he"	"by_his_settler"	"his_settler_than"	"settler_than_he"	"than_he_might"	"IN"	"PRP$"	"NN"	"RB"	"IN"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"route"	"which"	"had"	"travel"	"and"	"which"	"he"	"believe"	"might"	"a"	"trade_route"	"was"	"follow"	"by"	"his"	"settler"	"earlier"	"than"	"he"	"might"	"have"	"expect"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	","	"∅"	"this"	"∅_∅"	"∅_,"	",_this"	"∅_∅_∅"	"∅_∅_,"	"∅_,_this"	",_this_woman"	"ε"	"ε"	"ε"	"RB"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"woman"	"had"	"be"	"so"	"filled"	"with"	"a"	"chaotic"	"variety"	"of"	"introject"	"that"	"at_times"	"when"	"she"	"be"	"in"	"her"	"room"	"alone"	"it"	"would"	"sound"	"to"	"a"	"passerby"	"as"	"though"	"there"	"be"	"several"	"different"	"person"	"in"	"the"	"room"	"as"	"she"	"would"	"vocalize"	"in"	"various"	"kind"	"of"	"voice"	"0"	
"4:02:02::"	"feed"	"."	"full"	"∅"	"full_feed"	"feed_."	"._∅"	"and_full_feed"	"full_feed_."	"feed_._∅"	"._∅_∅"	"CC"	"JJ"	"NN"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"gram"	"dynafac"	"per"	"head"	"daily"	"gram"	"of"	"premix"	"per"	"head"	"daily"	"for"	"promote"	"growth"	"feed"	"conversion"	"bloom"	"and"	"full"	"feed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"feed"	"."	"full"	"∅"	"full_feed"	"feed_."	"._∅"	"on_full_feed"	"full_feed_."	"feed_._∅"	"._∅_∅"	"IN"	"JJ"	"NN"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gram"	"premix"	"per"	"head"	"per"	"day"	"for"	"promote"	"growth"	"feed"	"conversion"	"and"	"lamb"	"on"	"full"	"feed"	"earlier"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"state"	"that"	"was"	"one"	"was_state"	"state_that"	"that_one"	"it_was_state"	"was_state_that"	"state_that_one"	"that_one_purpose"	"PRP"	"VBD"	"VB"	"RB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"state"	"earlier"	"that"	"one"	"purpose"	"of"	"this"	"study"	"be"	"to"	"extend"	"the"	"analysis"	"of"	"variability"	"of"	"onset"	"and"	"completion"	"in"	"each"	"of"	"the"	"growth"	"center"	"somewhat"	"beyond"	"that"	"provide"	"by"	"the"	"data"	"in"	"table"	"and"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"day"	"and"	"a_few"	","	"a_few_day"	"day_and"	"and_,"	"his_a_few_day"	"a_few_day_and"	"day_and_,"	"and_,_when"	"PRP$"	"JJ"	"NN"	"RB"	"CC"	"ε"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"discover"	"a"	"in"	"his"	"a_few"	"day"	"earlier"	"and"	"when"	"he"	"could"	"not"	"show"	"the"	"hide"	"arrest"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"∅"	"this"	"∅"	"month"	"∅_∅"	"∅_this"	"this_month"	"∅_∅_∅"	"∅_∅_this"	"∅_this_month"	"this_month_person"	"ε"	"ε"	"ε"	"RB"	"DT"	"NN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"month"	"person"	"director"	"of"	"the"	"group"	"come"	"to"	"hollywood"	"and"	"have"	"dinner"	"with"	"more_than"	"leader"	"of"	"the"	"motion_picture"	"industry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
