"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"
"1:18:00::"	"on"	"everywhere"	"god"	"."	"god_on"	"on_everywhere"	"everywhere_."	"by_god_on"	"god_on_everywhere"	"on_everywhere_."	"everywhere_._∅"	"IN"	"NN"	"IN"	"NN"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"conference"	"endorse"	"birth_control"	"as"	"responsibility"	"lay"	"by"	"god"	"on"	"parent"	"everywhere"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"his"	"may"	"though"	","	"though_his"	"his_may"	"may_,"	"even_though_his"	"though_his_may"	"his_may_,"	"may_,_under"	"RB"	"RB"	"PRP$"	"NN"	"MD"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"minor"	"be"	"subject"	"to"	"tax"	"his"	"own"	"earnings"	"even"	"though"	"his"	"parent"	"may"	"under"	"local"	"law"	"have"	"the"	"right"	"to"	"them"	"and"	"might"	"actually"	"have"	"receive"	"the"	"money"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"one"	"of"	"and"	"each"	"and_one"	"one_of"	"of_each"	",_and_one"	"and_one_of"	"one_of_each"	"of_each_of"	"ε"	"CC"	"JJ"	"NN"	"IN"	"DT"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"interview"	"schedule"	"of"	"open-ended"	"question"	"and"	"multiple-choice"	"questionnaire"	"were"	"prepare"	"and"	"one"	"parent"	"of"	"each"	"of"	"the"	"sample"	"child"	"was"	"see"	"in"	"the"	"home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"similar"	","	"from"	"the"	"from_similar"	"similar_,"	",_the"	"mouse_from_similar"	"from_similar_,"	"similar_,_the"	",_the_number"	"NN"	"IN"	"JJ"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"litter"	"of"	"mouse"	"from"	"similar"	"parent"	"the"	"number"	"of"	"mouse"	"with"	"straight"	"instead"	"of"	"wavy"	"hair"	"be"	"an"	"integer"	"from"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"for"	"to"	"important"	"understand"	"important_for"	"for_to"	"to_understand"	"very_important_for"	"important_for_to"	"for_to_understand"	"to_understand_that"	"RB"	"JJ"	"IN"	"NN"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"important"	"for"	"parent"	"to"	"understand"	"that"	"early"	"training"	"be"	"imperative"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"both"	","	"include"	"as"	"include_both"	"both_,"	",_as"	",_include_both"	"include_both_,"	"both_,_as"	",_as_a"	"ε"	"VB"	"DT"	"NN"	"ε"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"extension"	"of"	"the"	"group"	"program"	"to"	"all"	"child"	"need"	"live"	"with"	"any"	"relative"	"include"	"both"	"parent"	"as"	"a"	"means"	"of"	"preserve"	"family"	"unity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"emerge"	"when"	"from"	"when_the"	"the_emerge"	"emerge_from"	"∅_when_the"	"when_the_emerge"	"the_emerge_from"	"emerge_from_the"	"ε"	"WRB"	"DT"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"parent"	"emerge"	"from"	"the"	"bedroom"	"a_few"	"minute"	"later"	"the"	"maid"	"greet"	"them"	"quietly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"he"	"tell"	"would"	"tell_the"	"the_he"	"he_would"	"person_tell_the"	"tell_the_he"	"the_he_would"	"he_would_escort"	"NNP"	"VB"	"DT"	"NN"	"PRP"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"parent"	"he"	"would"	"escort"	"them"	"to"	"police_headquarters"	"in"	"a"	"half"	"hour"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"his"	"have"	"and"	"what"	"and_his"	"his_have"	"have_what"	"he_and_his"	"and_his_have"	"his_have_what"	"have_what_person"	"PRP"	"CC"	"PRP$"	"NN"	"VB"	"WP"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"was"	"discharge"	"from"	"the"	"hospital"	"after"	"two"	"day"	"checkup"	"and"	"he"	"and"	"his"	"parent"	"have"	"what"	"person"	"describe"	"as"	"a"	"celebration"	"lunch"	"at"	"the"	"cafeteria"	"on"	"the"	"campus"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"his"	"'"	"in"	"room"	"in_his"	"his_'"	"'_room"	"window_in_his"	"in_his_'"	"his_'_room"	"'_room_,"	"NN"	"IN"	"PRP$"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once"	"sit"	"at"	"the"	"window"	"in"	"his"	"parent"	"room"	"he"	"see"	"person"	"come_out"	"of"	"her"	"house"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
