"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"
"1:28:00::"	"to"	"or"	"forward"	"back"	"forward_to"	"to_or"	"or_back"	"holiday_forward_to"	"forward_to_or"	"to_or_back"	"or_back_to"	"NN"	"RB"	"TO"	"NN"	"CC"	"RB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"you"	"investigate"	"the"	"move"	"midweek"	"holiday"	"forward"	"to"	"monday"	"or"	"back"	"to"	"friday"	"in_order"	"to"	"have"	"an"	"uninterrupted"	"work"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"last"	"."	"only"	"∅"	"only_last"	"last_."	"._∅"	"introduce_only_last"	"only_last_."	"last_._∅"	"._∅_∅"	"VB"	"RB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"also"	"complain"	"that"	"not"	"enough"	"notice"	"was"	"give"	"the"	"hearing"	"since"	"the"	"bill"	"was"	"introduce"	"only"	"last"	"monday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"close"	"."	","	"∅"	",_close"	"close_."	"._∅"	"pm_,_close"	",_close_."	"close_._∅"	"._∅_∅"	"NN"	"ε"	"VB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"painting"	"and"	"drawing"	"by"	"person"	"of"	"location"	"virgin_islands"	"are"	"show"	"thru"	"nov"	"at"	"the"	"location"	"location"	"weekday"	"pm"	"pm"	"sunday"	"pm"	"to"	"pm"	"close"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"pitching"	"night"	"pinpoint"	"as"	"pinpoint_pitching"	"pitching_night"	"night_as"	"his_pinpoint_pitching"	"pinpoint_pitching_night"	"pitching_night_as"	"night_as_the"	"PRP$"	"JJ"	"NN"	"NN"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rookie"	"person"	"his"	"pinpoint"	"pitching"	"monday"	"night"	"as"	"the"	"group"	"make_it"	"two"	"straight"	"over"	"indianapolis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"here"	"night"	","	"."	",_here"	"here_night"	"night_."	"location_,_here"	",_here_night"	"here_night_."	"night_._∅"	"NNP"	"ε"	"RB"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"of"	"location"	"location"	"world"	"seventh"	"ranked"	"lightweight"	"have"	"little"	"trouble"	"in"	"take"	"a"	"unanimous"	"over"	"person"	"of"	"location"	"location"	"here"	"monday"	"night"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"group"	"."	"the"	"∅"	"the_group"	"group_."	"._∅"	"over_the_group"	"the_group_."	"group_._∅"	"._∅_∅"	"IN"	"DT"	"NNP"	"NN"	"ε"	"ε"	"ε"	"which"	"just"	"elude"	"the"	"dive"	"person"	"in"	"leftfield"	"drive_in"	"person"	"with"	"the"	"winning"	"run"	"with"	"two"	"out"	"in"	"the"	"last"	"of"	"the"	"ninth"	"to"	"give"	"the"	"group"	"a"	"victory"	"over"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"say"	"night"	"person"	"he"	"person_say"	"say_night"	"night_he"	"outfielder_person_say"	"person_say_night"	"say_night_he"	"night_he_be"	"NN"	"NNP"	"VB"	"NN"	"NN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"person"	"say"	"monday"	"night"	"he"	"be"	"through"	"play"	"baseball"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"barrage"	"in"	"5"	"the"	"5_barrage"	"barrage_in"	"in_the"	"-_5_barrage"	"5_barrage_in"	"barrage_in_the"	"in_the_loosely"	"ε"	"CD"	"NN"	"NN"	"IN"	"DT"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"powerful"	"new_york"	"group"	"win"	"their"	"world_series"	"in"	"a"	"game"	"romp"	"over"	"outclassed"	"group"	"crush"	"the"	"in"	"a"	"humiliating"	"barrage"	"monday"	"in"	"the"	"loosely"	"played"	"finale"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"session"	"and"	"1961"	"head"	"1961_session"	"session_and"	"and_head"	"its_1961_session"	"1961_session_and"	"session_and_head"	"and_head_for"	"PRP$"	"CD"	"NN"	"NN"	"CC"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"will"	"its"	"session"	"monday"	"and"	"head"	"for"	"home"	"where"	"some"	"of"	"the"	"highway"	"bond"	"money"	"it"	"approve"	"will"	"follow"	"shortly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"adjournment"	"afternoon"	"before"	","	"before_adjournment"	"adjournment_afternoon"	"afternoon_,"	"∅_before_adjournment"	"before_adjournment_afternoon"	"adjournment_afternoon_,"	"afternoon_,_the"	"ε"	"IN"	"NN"	"NN"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"adjournment"	"monday"	"afternoon"	"the"	"senate"	"is"	"expect"	"to"	"approve"	"a"	"study"	"of"	"the"	"number"	"of"	"legislator"	"allot"	"to"	"rural_area"	"and"	"urban_area"	"to"	"determine"	"what"	"adjustment"	"should"	"be"	"make"	
