"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"
"2:35:00::"	";"	"with"	"table"	"a"	"table_;"	";_with"	"with_a"	"the_table_;"	"table_;_with"	";_with_a"	"with_a_slightly"	"DT"	"NN"	"ε"	"VB"	"IN"	"DT"	"RB"	"of"	"paste"	"wax"	"or"	"a"	"rubdown"	"with"	"a_piece"	"of"	"wax_paper"	"will"	"protect"	"the"	"polished"	"surface"	"of"	"the"	"table"	"with"	"a"	"slightly"	"oiled"	"cloth"	"will"	"discourage"	"rust"	"of"	"the"	"column"	"and"	"quill"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"not"	"the"	"do"	"table"	"do_not"	"not_the"	"the_table"	"veterinarians_do_not"	"do_not_the"	"not_the_table"	"the_table_clean"	"NNS"	"VBP"	"RB"	"VB"	"DT"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"many_times"	"i"	"have"	"why"	"veterinarians"	"do"	"not"	"wipe"	"the"	"table"	"clean"	"before"	"each"	"new"	"canine"	"patient"	"is"	"place"	"on_it"	"for"	"examination"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"sun"	"the"	"west_texas"	"shadows"	"west_texas_sun"	"sun_the"	"the_shadows"	"blazing_west_texas_sun"	"west_texas_sun_the"	"sun_the_shadows"	"the_shadows_off"	"JJ"	"NNP"	"NN"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"morning"	"wear_on"	"a"	"blazing"	"west_texas"	"sun"	"wipe"	"the"	"shadows"	"off"	"the"	"franklin"	"mountains"	"police"	"get"	"close"	"enough"	"to"	"the"	"plane"	"to"	"pry"	"into"	"the"	"baggage"	"compartment"	
"2:35:00::"	"he"	"his"	"∅"	"lips"	"∅_he"	"he_his"	"his_lips"	"∅_∅_he"	"∅_he_his"	"he_his_lips"	"his_lips_with"	"ε"	"ε"	"PRP"	"VB"	"PRP$"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wipe"	"his"	"lips"	"with"	"a"	"sleeve"	"then"	"stare"	"at"	"clayton"	"in"	"a"	"childish"	"kind_of"	"wonder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	","	"carefully"	"room"	"everything"	"room_,"	",_carefully"	"carefully_everything"	"the_room_,"	"room_,_carefully"	",_carefully_everything"	"carefully_everything_he"	"DT"	"NN"	"ε"	"VB"	"RB"	"NN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"he"	"had"	"close"	"the"	"suitcase"	"find"	"a"	"rag"	"and"	"about"	"the"	"room"	"wipe"	"carefully"	"everything"	"he"	"might"	"have"	"touch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"and"	"her"	"kerchief"	"face"	"kerchief_and"	"and_her"	"her_face"	"a_kerchief_and"	"kerchief_and_her"	"and_her_face"	"her_face_."	"DT"	"NN"	"CC"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"drink"	"and"	"push"	"back"	"her"	"bonnet"	"to"	"wet"	"a"	"kerchief"	"and"	"wipe"	"her"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"person"	"his"	","	"hand"	",_person"	"person_his"	"his_hand"	"over_,_person"	",_person_his"	"person_his_hand"	"his_hand_on"	"RB"	"ε"	"NNP"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hand"	"the"	"over"	"person"	"wipe"	"his"	"hand"	"on"	"his"	"pant_leg"	"as"	"if"	"rid"	"himself"	"of"	"something"	"unclean"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"to"	"my"	"not_only"	"brush"	"not_only_to"	"to_my"	"my_brush"	",_not_only_to"	"not_only_to_my"	"to_my_brush"	"my_brush_,"	"ε"	"RB"	"TO"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_addition_to"	"the"	"usual"	"tool"	"i"	"make"	"constant"	"use"	"of"	"tissue"	"not_only"	"to"	"wipe"	"my"	"brush"	"but"	"to"	"mop_up"	"certain"	"area"	"to"	"soften"	"edge"	"and"	"to"	"open_up"	"light"	"in"	"dark"	"wash"	"0"	"0"	"0"	
"2:35:00::"	"be"	"at"	"would"	"the"	"would_be"	"be_at"	"at_the"	"someone_would_be"	"would_be_at"	"be_at_the"	"at_the_powdery"	"NN"	"VB"	"VB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"off_and_on"	"all"	"day"	"would"	"be"	"wipe"	"at"	"the"	"powdery"	"gray"	"dust"	"that"	"settle"	"over"	"everything"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"was"	"the"	"mama"	"cupboard"	"mama_was"	"was_the"	"the_cupboard"	"kitchen_mama_was"	"mama_was_the"	"was_the_cupboard"	"the_cupboard_."	"NN"	"NN"	"VBD"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"mama"	"was"	"wipe"	"the"	"cupboard"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
