"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"
"2:37:00::"	"who"	"100"	"investors"	"shares"	"investors_who"	"who_100"	"100_shares"	"∅_investors_who"	"investors_who_100"	"who_100_shares"	"100_shares_in"	"ε"	"NNS"	"WP"	"VB"	"CD"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"who"	"want"	"shares"	"in"	"many"	"cases"	"end_up"	"with"	"and"	"customers"	"who"	"had"	"put_in"	"a"	"bid"	"to"	"buy"	"shares"	"find"	"themselves"	"with"	"and"	"count"	"themselves"	"lucky"	"to"	"get"	"that"	"many"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"them"	"to"	"all_of"	"get"	"all_of_them"	"them_to"	"to_get"	",_all_of_them"	"all_of_them_to"	"them_to_get"	"to_get_a"	"ε"	"JJ"	"PRP"	"VB"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"letters"	"by"	"the"	"reams"	"come_in"	"from"	"firms"	"all_over"	"the"	"nation"	"all_of"	"them"	"want"	"to"	"get"	"a"	"part"	"of"	"the"	"shares"	"that"	"would"	"be"	"sell"	"to"	"the"	"public"	"at"	"with"	"another"	"reserve"	"for"	"morton"	"foods"	"employes"	"at"	"a"	"share"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"owen"	"to"	"∅"	"be"	"∅_owen"	"owen_to"	"to_be"	"∅_∅_owen"	"∅_owen_to"	"owen_to_be"	"to_be_pleasant"	"ε"	"ε"	"NNP"	"VB"	"VB"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"want"	"to"	"be"	"pleasant"	"because"	"buzz"	"work"	"the"	"territory"	"next"	"to"	"his"	"but"	"he"	"had"	"n't"	"come"	"to"	"reno"	"for"	"stag"	"dinners"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"i"	"to"	"car"	"shadow"	"car_i"	"i_to"	"to_shadow"	"the_car_i"	"car_i_to"	"i_to_shadow"	"to_shadow_turn"	"DT"	"NN"	"PRP"	"VB"	"VB"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"hurry"	"over"	"to"	"the"	"agency"	"heap"	"jump"	"in"	"start"	"motor"	"and"	"be"	"just_in_time"	"to"	"see"	"the"	"car"	"i"	"want"	"to"	"shadow"	"turn"	"to"	"the"	"left"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"i"	"to"	"on_the_side"	"case"	"on_the_side_i"	"i_to"	"to_case"	"wall_on_the_side_i"	"on_the_side_i_to"	"i_to_case"	"to_case_."	"NN"	"RB"	"PRP"	"VB"	"VB"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"put"	"a"	"small"	"electric"	"against"	"the"	"wall"	"on_the_side"	"i"	"want"	"to"	"case"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"-"	"to"	"it"	"be"	"it_-"	"-_to"	"to_be"	"lots_of_it_-"	"it_-_to"	"-_to_be"	"to_be_sociable"	"JJ"	"PRP"	"ε"	"VB"	"VB"	"VB"	"JJ"	"be"	"n't"	"particularly"	"busy"	"at_that_time"	"of"	"night"	"and"	"the"	"girl"	"who"	"was"	"wait"	"on"	"me"	"who"	"was"	"clothe"	"in"	"the"	"tightest-fitting"	"pair"	"of"	"slacks"	"i"	"had"	"ever"	"see"	"on"	"a"	"woman"	"and"	"a"	"sweater"	"that"	"show"	"everything"	"there"	"be"	"and"	"there"	"be"	"lots_of"	"it"	"want"	"be"	"sociable"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"she"	"to"	"∅"	"hang_around"	"∅_she"	"she_to"	"to_hang_around"	"∅_∅_she"	"∅_she_to"	"she_to_hang_around"	"to_hang_around_while"	"ε"	"ε"	"PRP"	"VB"	"VB"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"want"	"to"	"hang_around"	"while"	"i"	"was"	"eat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"you"	"a"	"if"	"good"	"if_you"	"you_a"	"a_good"	"important_if_you"	"if_you_a"	"you_a_good"	"a_good_job"	"JJ"	"IN"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"drill"	"speeds"	"important"	"if"	"you"	"want"	"a"	"good"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"country"	"the"	"the"	"``"	"the_country"	"country_the"	"the_``"	"in_the_country"	"the_country_the"	"country_the_``"	"the_``_welfare"	"IN"	"DT"	"NN"	"VB"	"DT"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._reama"	"tell"	"the"	"rotary_club"	"of"	"providence"	"at"	"its"	"luncheon"	"at"	"sheraton-biltmore_hotel"	"that"	"about"	"half"	"of"	"the"	"people"	"in"	"the"	"country"	"want"	"the"	"welfare"	"type"	"of"	"government"	"and"	"the"	"half"	"want"	"a"	"free_enterprise"	"system"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"half"	"a"	"the"	"free_enterprise"	"the_half"	"half_a"	"a_free_enterprise"	"and_the_half"	"the_half_a"	"half_a_free_enterprise"	"a_free_enterprise_system"	"CC"	"DT"	"NN"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._reama"	"tell"	"the"	"rotary_club"	"of"	"providence"	"at"	"its"	"luncheon"	"at"	"the"	"sheraton-biltmore_hotel"	"that"	"about"	"half"	"the"	"people"	"in"	"the"	"country"	"want"	"the"	"welfare"	"type"	"of"	"government"	"and"	"the"	"half"	"want"	"a"	"free_enterprise"	"system"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
