"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"
"2:31:00::"	"to"	"''"	"program"	"?"	"program_to"	"to_''"	"''_?"	"are_program_to"	"program_to_''"	"to_''_?"	"''_?_∅"	"VBP"	"VB"	"TO"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"which"	"you"	"program"	"to"	"compute"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"the"	"able"	"displacement"	"able_to"	"to_the"	"the_displacement"	"be_able_to"	"able_to_the"	"to_the_displacement"	"the_displacement_of"	"VB"	"JJ"	"VB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"rodder"	"be"	"able"	"to"	"compute"	"the"	"displacement"	"of"	"his"	"engine"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"for"	"the"	"formula"	"volume"	"formula_for"	"for_the"	"the_volume"	"standard_formula_for"	"formula_for_the"	"for_the_volume"	"the_volume_of"	"JJ"	"NN"	"IN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"actually"	"the"	"engine"	"displacement"	"formula"	"the"	"standard"	"formula"	"for"	"compute"	"the"	"volume"	"of"	"a"	"cylinder"	"of"	"any"	"type"	"with"	"an"	"added"	"factor"	"that"	"represent"	"the"	"number"	"of"	"cylinders"	"in"	"the"	"engine"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"is"	"by"	"ratio"	"compare"	"ratio_is"	"is_by"	"by_compare"	"compression_ratio_is"	"ratio_is_by"	"is_by_compare"	"by_compare_the"	"NN"	"NN"	"VBZ"	"VB"	"IN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"cylinder"	"ratio"	"is"	"compute"	"by"	"compare"	"the"	"cylinder"	"volume"	"or"	"its"	"displacement"	"with"	"the"	"total"	"volume"	"of"	"the"	"cylinder"	"and"	"its"	"combustion"	"chamber"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"by"	"must"	"multiply"	"must_be"	"be_by"	"by_multiply"	"gasket_must_be"	"must_be_by"	"be_by_multiply"	"by_multiply_its"	"NN"	"MD"	"VB"	"VB"	"IN"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"volume"	"of"	"the"	"opening"	"in_the_head"	"gasket"	"must"	"be"	"compute"	"by"	"multiply"	"its"	"area"	"in"	"square_inches"	"by"	"the"	"gasket"	"thickness"	"in"	"thousandths"	"of"	"an"	"inch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"been"	","	"have"	"they"	"have_been"	"been_,"	",_they"	"describe_have_been"	"have_been_,"	"been_,_they"	",_they_are"	"VB"	"VBP"	"VBN"	"VB"	"ε"	"PRP"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"the"	"factors"	"describe"	"have"	"been"	"compute"	"they"	"are"	"apply"	"the"	"following"	"formula"	"f"	"for"	"an"	"example"	"let"	"dream_up"	"an"	"engine"	"that"	"have"	"a"	"final"	"combustion"	"chamber"	"volume"	"of"	"cubic_inches"	"and"	"a"	"cylinder"	"volume"	"of"	"cubic_inches"	
"2:31:00::"	"of"	"compression"	"method"	"ratio"	"method_of"	"of_compression"	"compression_ratio"	"this_method_of"	"method_of_compression"	"of_compression_ratio"	"compression_ratio_cannot"	"DT"	"NN"	"IN"	"VB"	"NN"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"of"	"compute"	"compression"	"ratio"	"cannot"	"be"	"use"	"accurately"	"for"	"engines"	"that"	"have"	"pistons"	"with"	"either"	"domed"	"or"	"irregularly"	"shaped"	"heads"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"is"	"from"	","	"the"	",_is"	"is_from"	"from_the"	"x-region_,_is"	",_is_from"	"is_from_the"	"from_the_form"	"NN"	"ε"	"VBZ"	"VB"	"IN"	"DT"	"NN"	"occurrence"	"f"	"is"	"isolate"	"during"	"text"	"reading"	"a"	"random_memory"	"address"	"f"	"the"	"address"	"of"	"a"	"cell"	"in"	"the"	"x-region"	"is"	"compute"	"the"	"form"	"of"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	","	"the"	"group"	"cost"	"group_,"	",_the"	"the_cost"	"the_group_,"	"group_,_the"	",_the_cost"	"the_cost_for"	"DT"	"NNP"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"compute"	"the"	"cost"	"for"	"two"	"people"	"to"	"vacation"	"by"	"automobile"	"come_up"	"with"	"an"	"average"	"daily"	"expenditure"	"figure"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"in"	"the"	"use"	"allotment"	"use_in"	"in_the"	"the_allotment"	"method_use_in"	"use_in_the"	"in_the_allotment"	"the_allotment_is"	"NN"	"VB"	"IN"	"VB"	"DT"	"NN"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"use"	"in"	"compute"	"the"	"allotment"	"is"	"specifically"	"set_forth"	"in"	"the"	"act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"for"	"the"	"use"	"respective"	"use_for"	"for_the"	"the_respective"	"method_use_for"	"use_for_the"	"for_the_respective"	"the_respective_federal"	"NN"	"VB"	"IN"	"VB"	"DT"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"use"	"for"	"compute"	"the"	"respective"	"federal"	"and"	"state"	"share"	"in"	"total"	"program"	"cost"	"is"	"specifically"	"set_forth"	"in"	"the"	"act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"person"	"your"	"the"	"tax"	"the_person"	"person_your"	"your_tax"	"and_the_person"	"the_person_your"	"person_your_tax"	"your_tax_,"	"CC"	"DT"	"NNP"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"file"	"and"	"the"	"person"	"compute"	"your"	"tax"	"any"	"refund"	"to"	"which"	"you"	"be"	"entitled"	"will"	"be"	"mail"	"to"	"you"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"your"	"∅"	"adjusted"	"∅_to"	"to_your"	"your_adjusted"	"∅_∅_to"	"∅_to_your"	"to_your_adjusted"	"your_adjusted_gross"	"ε"	"ε"	"TO"	"VB"	"PRP$"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"compute"	"your"	"adjusted"	"gross"	"income"	"you"	"total"	"all"	"item"	"of"	"income"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"in"	"adjusted_gross_income"	","	","	",_in"	"in_adjusted_gross_income"	"adjusted_gross_income_,"	"subtract_,_in"	",_in_adjusted_gross_income"	"in_adjusted_gross_income_,"	"adjusted_gross_income_,_ordinary"	"VB"	"ε"	"IN"	"VB"	"NN"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"hold"	"property"	"for"	"the"	"production"	"rent"	"or"	"royalty"	"you"	"subtract"	"in"	"compute"	"adjusted_gross_income"	"ordinary"	"and"	"necessary"	"expense"	"and"	"certain"	"deduction"	"attributable"	"to"	"the"	"property"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"by"	"can"	"multiply"	"can_be"	"be_by"	"by_multiply"	"experiment_can_be"	"can_be_by"	"be_by_multiply"	"by_multiply_together"	"NN"	"MD"	"VB"	"VB"	"IN"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"strictly_speaking"	"this"	"mean"	"that"	"the"	"probability"	"for"	"outcome"	"of"	"the"	"experiment"	"can"	"be"	"compute"	"by"	"multiply"	"together"	"the"	"probability"	"of"	"the"	"outcome"	"of"	"the"	"single"	"binomial"	"trial"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"were"	"by"	"spectrum"	"numerical"	"spectrum_were"	"were_by"	"by_numerical"	"the_spectrum_were"	"spectrum_were_by"	"were_by_numerical"	"by_numerical_integration"	"DT"	"NN"	"VBD"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"second_moment"	"of"	"spectrum"	"were"	"compute"	"by"	"numerical"	"integration"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
