"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"
"1:06:00::"	"overhead"	"and"	"was"	"there"	"was_overhead"	"overhead_and"	"and_there"	"cooling_was_overhead"	"was_overhead_and"	"overhead_and_there"	"and_there_was"	"NN"	"VB"	"JJ"	"NN"	"CC"	"EX"	"VBD"	"hours"	"be"	"six-thirty"	"in"	"the"	"morning"	"until"	"eleven"	"at"	"night"	"on"	"saturday"	"and"	"during"	"sale"	"and"	"there"	"were"	"no"	"chair"	"and"	"you"	"could"	"n't"	"smoke"	"and"	"the"	"cooling"	"was"	"overhead"	"and"	"there"	"was"	"no"	"porter"	"or"	"janitor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"confirmed"	"nor"	"the"	"the"	"the_confirmed"	"confirmed_nor"	"nor_the"	"neither_the_confirmed"	"the_confirmed_nor"	"confirmed_nor_the"	"nor_the_inquisitive"	"DT"	"DT"	"JJ"	"NN"	"CC"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"chicago"	"and"	"all"	"that"	"jazz"	"may"	"wind_up"	"satisfying"	"neither"	"the"	"confirmed"	"fan"	"nor"	"the"	"inquisitive"	"newcomer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"dance"	"-"	"for"	"and"	"for_dance"	"dance_-"	"-_and"	"loss_for_dance"	"for_dance_-"	"dance_-_and"	"-_and_for"	"NN"	"IN"	"NN"	"NN"	"ε"	"CC"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"the"	"group"	"will"	"fly"	"back"	"to"	"russia"	"minus"	"chicago"	"engagement"	"a"	"serious"	"loss"	"for"	"dance"	"fan"	"and"	"for"	"the"	"frustrated"	"booker"	"cancellation"	"of"	"one"	"of"	"the"	"rich"	"booking"	"in"	"the"	"country"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"person"	"six"	"∅"	"and"	"∅_person"	"person_six"	"six_and"	"∅_∅_person"	"∅_person_six"	"person_six_and"	"six_and_walk"	"ε"	"ε"	"NNP"	"VB"	"JJ"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fan"	"six"	"and"	"walk"	"only"	"person"	"in"	"the"	"third"	"inning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"group"	"and"	"or"	"anti"	"or_group"	"group_and"	"and_anti"	"group_or_group"	"or_group_and"	"group_and_anti"	"and_anti_or"	"NNP"	"CC"	"NNP"	"NN"	"CC"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"an"	"issue"	"which"	"boil_down"	"to"	"a"	"matter"	"opinion"	"depending_on"	"whether"	"you"	"an"	"group"	"or"	"group"	"fan"	"and"	"anti"	"or"	"pro"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	","	"under"	"fix"	"under_the"	"the_,"	",_fix"	"section_under_the"	"under_the_,"	"the_,_fix"	",_fix_in"	"NN"	"IN"	"DT"	"NN"	"ε"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"dry"	"section"	"under"	"the"	"fan"	"fix"	"in"	"acetone"	"and"	"dry"	"at"	"as"	"in"	"the"	"indirect"	"method"	"the"	"section"	"were"	"treat"	"with"	"conjugated"	"f"	"or"	"f"	"undiluted"	"unless"	"mention"	"for"	
"2:30:00::"	"or"	"patriotism"	"money"	"by"	"money_or"	"or_patriotism"	"patriotism_by"	"make_money_or"	"money_or_patriotism"	"or_patriotism_by"	"patriotism_by_means"	"VB"	"NN"	"CC"	"VB"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"naturally"	"such"	"scholarly"	"fact"	"be"	"of"	"little"	"concern"	"the"	"man"	"try"	"to"	"make"	"money"	"or"	"fan"	"patriotism"	"by"	"means"	"of"	"folklore"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"person"	"person"	"as"	"."	"as_person"	"person_person"	"person_."	"second_base_as_person"	"as_person_person"	"person_person_."	"person_._∅"	"NN"	"IN"	"NNP"	"VB"	"NNP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"one"	"down"	"in"	"the"	"eighth"	"person"	"a"	"walk"	"and"	"steal"	"second_base"	"as"	"person"	"fan"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	","	"after"	"person"	"foul"	"person_,"	",_after"	"after_foul"	"for_person_,"	"person_,_after"	",_after_foul"	"after_foul_off"	"IN"	"NNP"	"ε"	"VB"	"IN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"bat"	"person"	"fan"	"after"	"foul"	"off"	"two"	"and"	"pitch"	"and"	"person"	"up"	"for"	"person"	"bounce_out"	"sharply"	"to"	"person"	"at"	"second"	"to"	"end"	"the"	"hour"	"and"	"minute"	"contest"	"0"	"0"	
"1:06:00::"	"their"	"."	"behind"	"∅"	"behind_their"	"their_."	"._∅"	"from_behind_their"	"behind_their_."	"their_._∅"	"._∅_∅"	"IN"	"IN"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"had"	"be"	"big"	"glittering"	"room"	"where"	"person"	"bow"	"and"	"the"	"lady"	"hand"	"as"	"they"	"flirt"	"from"	"behind"	"their"	"fan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
