"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"
"2:42:00::"	"will"	"nearly"	"dwellings"	"30"	"dwellings_will"	"will_nearly"	"nearly_30"	"unit_dwellings_will"	"dwellings_will_nearly"	"will_nearly_30"	"nearly_30_per_cent"	"NN"	"NNS"	"MD"	"VB"	"RB"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"it"	"is"	"estimate"	"that"	"unit"	"dwellings"	"will"	"account_for"	"nearly"	"per_cent"	"of"	"the"	"starts"	"in"	"residential"	"construction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"will"	"about"	"1962"	"15"	"1962_will"	"will_about"	"about_15"	"in_1962_will"	"1962_will_about"	"will_about_15"	"about_15_per_cent"	"IN"	"CD"	"MD"	"VB"	"IN"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"construction"	"will"	"account_for"	"about"	"per_cent"	"of"	"the"	"gross_national_product"	"according"	"to"	"a"	"study"	"by"	"johns-manville_corporation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"not"	"their"	"would"	"success"	"would_not"	"not_their"	"their_success"	",_would_not"	"would_not_their"	"not_their_success"	"their_success_,"	"ε"	"MD"	"RB"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"qualities"	"alone"	"would"	"not"	"account_for"	"their"	"success"	"and"	"it"	"take"	"me"	"a"	"while"	"to"	"discover"	"the"	"crowning"	"virtue"	"that"	"complete"	"this"	"company"	"collective"	"personality"	
"2:42:00::"	"rooms"	"95"	"single"	"percent"	"single_rooms"	"rooms_95"	"95_percent"	"that_single_rooms"	"single_rooms_95"	"rooms_95_percent"	"95_percent_of"	"IN"	"JJ"	"NNS"	"VB"	"CD"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"goodis"	"say"	"single"	"rooms"	"account_for"	"percent"	"of"	"the"	"accomodations"	"in"	"some"	"hotels"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"to"	"the"	"enough"	"deep"	"enough_to"	"to_the"	"the_deep"	"seem_enough_to"	"enough_to_the"	"to_the_deep"	"the_deep_fascination"	"VB"	"RB"	"TO"	"VB"	"DT"	"JJ"	"NN"	"primary"	"mathematical"	"properties"	"of"	"the"	"middle"	"number"	"at"	"the"	"center"	"of"	"the"	"lo_shu"	"and"	"the"	"interrelation"	"of"	"all"	"the"	"numbers"	"to_it"	"might"	"seem"	"enough"	"to"	"the"	"deep"	"fascination"	"which"	"the"	"lo_shu"	"hold"	"for"	"the"	"old"	"chinese"	"philosophers"	"this"	"be"	"actually"	"only"	"a"	"beginning"	"of"	"wonders"	"0"	"0"	
"2:42:00::"	"blight"	"the"	"inner_city"	"decline"	"inner_city_blight"	"blight_the"	"the_decline"	"of_inner_city_blight"	"inner_city_blight_the"	"blight_the_decline"	"the_decline_of"	"IN"	"NN"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"breakdown"	"of"	"social"	"homogeneity"	"in"	"area"	"and"	"the"	"spread"	"of"	"inner_city"	"blight"	"account_for"	"the"	"decline"	"of"	"central_city"	"church"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"to"	"the"	"help"	"migration"	"help_to"	"to_the"	"the_migration"	"reason_help_to"	"help_to_the"	"to_the_migration"	"the_migration_to"	"NN"	"VB"	"TO"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"are"	"a"	"reason"	"help"	"to"	"account_for"	"the"	"migration"	"to"	"the"	"campground"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"which"	"the"	"service"	"great"	"service_which"	"which_the"	"the_great"	"public_service_which"	"service_which_the"	"which_the_great"	"the_great_appeal"	"JJ"	"NN"	"WDT"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"this"	"curious"	"blend"	"rugged"	"individualism"	"and"	"public"	"service"	"which"	"account_for"	"the"	"great"	"appeal"	"of"	"the"	"mythological"	"detective"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"circumstance"	"in"	"this"	"part"	"this_circumstance"	"circumstance_in"	"in_part"	"and_this_circumstance"	"this_circumstance_in"	"circumstance_in_part"	"in_part_for"	"CC"	"DT"	"NN"	"VB"	"RB"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"paint"	"person"	"physical"	"eye"	"be"	"half"	"closed"	"while"	"his"	"be"	"wide-open"	"and"	"this"	"circumstance"	"account_for"	"in"	"part"	"for"	"the"	"impression"	"he"	"wish"	"to"	"convey"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"person"	"three"	"∅"	"of"	"∅_person"	"person_three"	"three_of"	"∅_∅_person"	"∅_person_three"	"person_three_of"	"three_of_the"	"ε"	"ε"	"NNP"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"account_for"	"three"	"of"	"the"	"group"	"eight"	"hit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
