"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"
"2:31:00::"	"n't"	"the"	"can"	"many"	"can_n't"	"n't_the"	"the_many"	"i_can_n't"	"can_n't_the"	"n't_the_many"	"the_many_hardships"	"PRP"	"MD"	"RB"	"VB"	"DT"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"see"	"she"	"say"	"look"	"past"	"into"	"the"	"room"	"where"	"the"	"highball"	"glasses"	"sparkle"	"dully"	"in"	"the"	"bright"	"you"	"and"	"i"	"can"	"n't"	"understand"	"the"	"many"	"hardships"	"they"	"have"	"to"	"undergo"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"is"	"and"	"it"	"use"	"it_is"	"is_and"	"and_use"	"unless_it_is"	"it_is_and"	"is_and_use"	"and_use_for"	"IN"	"PRP"	"VB"	"VB"	"CC"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"collection"	"of"	"information"	"meaningless"	"unless"	"it"	"is"	"understand"	"and"	"use"	"for"	"a"	"definite"	"purpose"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"chairman_khrushchev"	"that"	"and"	"this"	"and_chairman_khrushchev"	"chairman_khrushchev_that"	"that_this"	"president_and_chairman_khrushchev"	"and_chairman_khrushchev_that"	"chairman_khrushchev_that_this"	"that_this_meeting"	"NNP"	"CC"	"NNP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"president"	"chairman_khrushchev"	"understand"	"that"	"this"	"meeting"	"be"	"not"	"for_the_purpose_of"	"negotiate"	"or"	"reach"	"agreement"	"on"	"the"	"major"	"international"	"problems"	"that"	"involve"	"the"	"interest"	"of"	"many"	"countries"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"the"	"∅"	"past"	"∅_to"	"to_the"	"the_past"	"∅_∅_to"	"∅_to_the"	"to_the_past"	"the_past_history"	"ε"	"ε"	"TO"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"understand"	"the"	"past"	"history"	"and"	"the"	"future"	"potential"	"of"	"american_catholic"	"higher"	"education"	"it"	"be"	"necessary"	"to"	"appreciate"	"the"	"special"	"character"	"of"	"the"	"esprit"	"d"	"corps"	"of"	"the"	"religious"	"community"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"not"	"how"	"could"	"the"	"could_not"	"not_how"	"how_the"	"make-up_could_not"	"could_not_how"	"not_how_the"	"how_the_principle"	"NN"	"MD"	"RB"	"VB"	"WRB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"furthermore"	"even"	"the"	"highly"	"trained"	"law"	"clerk"	"who"	"be"	"part"	"of"	"jack"	"total"	"make-up"	"could"	"not"	"understand"	"how"	"the"	"principle"	"could"	"ever"	"be"	"codify"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"well"	"that"	"system"	"one"	"system_well"	"well_that"	"that_one"	"the_system_well"	"system_well_that"	"well_that_one"	"that_one_of"	"DT"	"NN"	"RB"	"VB"	"IN"	"CD"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"well"	"understand"	"that"	"one"	"of"	"its"	"primary"	"responsibilities"	"be"	"to"	"bring_together"	"children"	"and"	"books"	"together"	"consequently"	"an"	"experienced"	"children"	"librarian"	"at"	"headquarters"	"conduct"	"a"	"guidance"	"program"	"design"	"to"	"promote"	"well-planned"	"library"	"activities"	"cooperate"	"with"	"the"	"children"	"librarians"	"in"	"member"	"libraries"	"by"	"means"	"of"	"individual"	"conferences"	"workshops"	"and"	"frequent"	"visits"	
"2:31:01::"	"and"	"what"	"see"	"we"	"see_and"	"and_what"	"what_we"	"to_see_and"	"see_and_what"	"and_what_we"	"what_we_have"	"TO"	"VB"	"CC"	"VB"	"WP"	"PRP"	"VB"	"be"	"the"	"annual"	"report"	"on"	"this"	"investment"	"a"	"public_presentation"	"designed"	"to"	"give"	"our"	"own"	"people"	"and"	"the"	"people"	"of"	"lands"	"who"	"stand"	"with"	"us"	"for"	"peace"	"with"	"freedom"	"and"	"justice"	"the"	"best"	"opportunity"	"see"	"and"	"what"	"we"	"have"	"and"	"why"	"we"	"have"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"i"	"that"	"``"	","	"``_i"	"i_that"	"that_,"	",_``_i"	"``_i_that"	"i_that_,"	"that_,_but"	"ε"	"ε"	"PRP"	"VB"	"RB"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"stop"	"embarrassed"	"and"	"morgan"	"i"	"understand"	"that"	"but"	"i"	"do"	"n't"	"savvy"	"why"	"you"	"go_off"	"and"	"leave"	"your"	"jobs"	"in_the_first_place"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:03::"	"can"	"spoken_words"	"that"	"and"	"that_can"	"can_spoken_words"	"spoken_words_and"	"machine_that_can"	"that_can_spoken_words"	"can_spoken_words_and"	"spoken_words_and_talk"	"NN"	"WDT"	"MD"	"VB"	"NN"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ibm"	"have"	"machine"	"that"	"can"	"understand"	"spoken_words"	"and"	"talk"	"back"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"really"	"the"	","	"true"	",_really"	"really_the"	"the_true"	"scholars_,_really"	",_really_the"	"really_the_true"	"the_true_meaning"	"NNS"	"ε"	"RB"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"among"	"the_most"	"frequently"	"quote"	"biblical"	"sentences"	"be"	"the"	"and"	"yet"	"so"	"few"	"persons"	"scholars"	"really"	"understand"	"the"	"true"	"meaning"	"of"	"these"	"eight"	"blessings"	"utter"	"by"	"jesus"	"at"	"the"	"beginning"	"of"	"the"	"sermon_on_the_mount"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
