"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"2:40:00::"	"and"	"everybody"	"visit"	"'s"	"visit_and"	"and_everybody"	"everybody_'s"	"first_visit_and"	"visit_and_everybody"	"and_everybody_'s"	"everybody_'s_heart"	"JJ"	"NN"	"CC"	"VB"	"NN"	"POS"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"not"	"simply"	"give"	"a"	"repetition"	"of"	"the"	"program"	"it"	"give"	"during"	"its"	"new_york"	"engagement"	"earlier"	"this"	"season"	"but"	"has"	"bring"	"back"	"many_of"	"the"	"numbers"	"that"	"be"	"on"	"bill"	"when"	"it"	"pay"	"us"	"its"	"first"	"visit"	"and"	"win"	"everybody"	"heart"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"rarely"	"."	"that_is"	"∅"	"that_is_rarely"	"rarely_."	"._∅"	"will_that_is_rarely"	"that_is_rarely_."	"rarely_._∅"	"._∅_∅"	"MD"	"RB"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"the"	"army"	"of"	"compulsive"	"eaters"	"from"	"the"	"nibblers"	"and"	"the"	"gobblers"	"to"	"downright"	"gluttons"	"reducing"	"be"	"a"	"war"	"with"	"the"	"will"	"that_is"	"rarely"	"win"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"currently"	"favor"	"are"	"from"	"are_currently"	"currently_favor"	"favor_from"	"that_are_currently"	"are_currently_favor"	"currently_favor_from"	"favor_from_dieters"	"WDT"	"VBP"	"RB"	"VB"	"NN"	"IN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"keys"	"have"	"no"	"such"	"objections"	"to"	"metrecal"	"quaker"	"oats"	"quota"	"calorie"	"milk"	"formulas"	"that"	"are"	"currently"	"win"	"favor"	"from"	"dieters"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"may"	"her"	"company"	"tax-aided"	"company_may"	"may_her"	"her_tax-aided"	"'s_company_may"	"company_may_her"	"may_her_tax-aided"	"her_tax-aided_retirement"	"POS"	"NN"	"MD"	"VB"	"PRP$"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hire"	"the"	"wife"	"one"	"company"	"may"	"win"	"her"	"tax-aided"	"retirement"	"income"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"of"	"the"	"prospect"	"battle"	"prospect_of"	"of_the"	"the_battle"	"the_prospect_of"	"prospect_of_the"	"of_the_battle"	"the_battle_loom"	"DT"	"NN"	"IN"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"in"	"prospect"	"of"	"win"	"the"	"battle"	"loom"	"the"	"specter"	"of"	"lose"	"a"	"costlier"	"war"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"may"	"support"	"party"	"from"	"party_may"	"may_support"	"support_from"	"its_party_may"	"party_may_support"	"may_support_from"	"support_from_the"	"PRP$"	"NN"	"MD"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"gop"	"task_force"	"committee"	"will"	"seek"	"find_out"	"how"	"its"	"party"	"may"	"win"	"support"	"from"	"the"	"ethnic"	"and"	"minority"	"groups"	"in"	"cities"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"kennedy"	"the"	"say"	"'"	"say_kennedy"	"kennedy_the"	"the_'"	"survey_say_kennedy"	"say_kennedy_the"	"kennedy_the_'"	"the_'_60"	"NN"	"VB"	"NNP"	"VB"	"DT"	"ε"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"republican"	"say"	"kennedy"	"win"	"the"	"election"	"on"	"the"	"religious"	"issue"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	","	"the"	"of_age"	"grand_challenge_trophy"	"of_age_,"	",_the"	"the_grand_challenge_trophy"	"years_of_age_,"	"of_age_,_the"	",_the_grand_challenge_trophy"	"the_grand_challenge_trophy_,"	"NNS"	"JJ"	"ε"	"VB"	"DT"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"twenty"	"years"	"ago"	"her"	"daughter"	"then"	"years"	"of_age"	"win"	"the"	"grand_challenge_trophy"	"children"	"handling"	"class"	"as"	"they"	"were_called"	"then"	"at"	"westminster"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"and"	"in"	"show"	"junior_classes"	"show_and"	"and_in"	"in_junior_classes"	"not_only_show_and"	"show_and_in"	"and_in_junior_classes"	"in_junior_classes_but"	"RB"	"VB"	"CC"	"VB"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"most"	"juniors"	"who"	"were"	"enter"	"in"	"the"	"be"	"seasoned"	"campaigners"	"and"	"not_only"	"show"	"and"	"win"	"in"	"junior_classes"	"but"	"score"	"in"	"the"	"breed"	"classes"	"as_well"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"who"	"with"	"girls"	"their"	"girls_who"	"who_with"	"with_their"	"or_girls_who"	"girls_who_with"	"who_with_their"	"with_their_breeds"	"CC"	"NNS"	"WP"	"VB"	"IN"	"PRP$"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"airedale_terrier"	"club"	"of"	"america"	"and"	"the"	"kerry_blue_terrier"	"club"	"of"	"have"	"under_consideration"	"donate"	"trophies"	"to"	"the"	"boys"	"or"	"girls"	"who"	"win"	"with"	"their"	"breeds"	"in"	"junior"	"showmanship"	"competition"	"at"	"any"	"show"	"0"	"0"	"0"	"0"	
