"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"
"3:01:00::"	"continuing"	"appropriation"	"a"	"of"	"a_continuing"	"continuing_appropriation"	"appropriation_of"	"provide_a_continuing"	"a_continuing_appropriation"	"continuing_appropriation_of"	"appropriation_of_$"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"ε"	"0"	"0"	"0"	"the"	"present"	"federal"	"program"	"of"	"vocational"	"education"	"begin"	"in"	"with"	"the"	"passage"	"of"	"smith-hughes_act"	"which"	"provide"	"continuing"	"annual"	"appropriation"	"of"	"million"	"to"	"support"	"on"	"a"	"match"	"basis"	"state"	"administer"	"program"	"of"	"vocational"	"education"	"in"	"agriculture"	"trade"	"industrial"	"skill"	"and"	"home_economics"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"estimated"	"farming"	"subtract"	"expenditure"	"subtract_estimated"	"estimated_farming"	"farming_expenditure"	",_subtract_estimated"	"subtract_estimated_farming"	"estimated_farming_expenditure"	"farming_expenditure_from"	"ε"	"VB"	"JJ"	"JJ"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"find"	"estimated"	"net"	"income"	"subtract"	"estimated"	"annual"	"farming"	"expenditure"	"from"	"probable"	"gross"	"income"	"from"	"farming"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"estimated"	"net"	"the"	"farm"	"the_estimated"	"estimated_net"	"net_farm"	"divide_the_estimated"	"the_estimated_net"	"estimated_net_farm"	"net_farm_income"	"VB"	"DT"	"JJ"	"JJ"	"JJ"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"figure"	"the"	"value"	"of"	"the"	"in_terms_of"	"investment"	"income"	"divide"	"the"	"estimated"	"annual"	"net"	"farm"	"income"	"by"	"the"	"percentage"	"that"	"you"	"could"	"expect"	"to"	"get"	"in"	"interest"	"if"	"the"	"money"	"were"	"invest"	"in"	"some"	"way"	"0"	"0"	
"3:01:00::"	"are"	"marketing"	"∅"	"plan"	"∅_are"	"are_marketing"	"marketing_plan"	"∅_∅_are"	"∅_are_marketing"	"are_marketing_plan"	"marketing_plan_review"	"ε"	"ε"	"VBP"	"JJ"	"NN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"annual"	"marketing"	"plan"	"review"	"throughout"	"your"	"management"	"group"	"to"	"get"	"the"	"perspective"	"of"	"all"	"individual"	"and"	"get"	"everyone"	"on"	"the"	"marketing"	"team"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"an"	"or"	"have"	"regular"	"have_an"	"an_or"	"or_regular"	"you_have_an"	"have_an_or"	"an_or_regular"	"or_regular_physical"	"PRP"	"VB"	"DT"	"JJ"	"CC"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"have"	"an"	"annual"	"or"	"regular"	"physical"	"examination"	"program"	"be"	"it"	"worth"	"what"	"it"	"is"	"cost"	"you"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"an"	"audit"	"was"	","	"was_an"	"an_audit"	"audit_,"	"there_was_an"	"was_an_audit"	"an_audit_,"	"audit_,_person"	"EX"	"VB"	"DT"	"JJ"	"NN"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"an"	"annual"	"audit"	"person"	"inform"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"our"	"defense"	"of"	"budget"	"of_our"	"our_defense"	"defense_budget"	"size_of_our"	"of_our_defense"	"our_defense_budget"	"defense_budget_and"	"NN"	"IN"	"PRP$"	"JJ"	"NN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"every"	"taxpayer"	"be"	"well"	"aware"	"the"	"vast"	"size"	"of"	"our"	"annual"	"defense"	"budget"	"and"	"most"	"of"	"our"	"reader"	"also"	"realize"	"that"	"a"	"large"	"portion"	"of"	"these"	"expenditure"	"go"	"for"	"military"	"electronics"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"own"	"licensing_fee"	"their"	","	"their_own"	"own_licensing_fee"	"licensing_fee_,"	"pay_their_own"	"their_own_licensing_fee"	"own_licensing_fee_,"	"licensing_fee_,_from"	"VB"	"PRP$"	"JJ"	"JJ"	"NN"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"bill"	"by"	"person"	"of"	"location"	"would"	"relieve"	"who"	"pay"	"their"	"own"	"annual"	"licensing_fee"	"from"	"the"	"annual"	"occupation_license"	"on"	"broker"	"in"	"such_as"	"stock"	"and"	"bond"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"12"	"occupation_license"	"$"	"on"	"$_12"	"12_occupation_license"	"occupation_license_on"	"the_$_12"	"$_12_occupation_license"	"12_occupation_license_on"	"occupation_license_on_broker"	"DT"	"ε"	"JJ"	"JJ"	"NN"	"IN"	"NN"	"0"	"the"	"bill"	"by"	"person"	"of"	"location"	"would"	"relieve"	"real_estate_broker"	"who"	"pay"	"their"	"own"	"annual"	"licensing_fee"	"from"	"the"	"annual"	"on"	"broker"	"in"	"such_as"	"stock"	"and"	"bond"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"thirty-eighth"	"dinner"	"'s"	"and"	"'s_thirty-eighth"	"thirty-eighth_dinner"	"dinner_and"	"night_'s_thirty-eighth"	"'s_thirty-eighth_dinner"	"thirty-eighth_dinner_and"	"dinner_and_show"	"NN"	"POS"	"JJ"	"JJ"	"NN"	"CC"	"NN"	"announcement"	"of"	"a"	"special"	"achievement"	"award"	"to"	"person"	"the"	"award"	"list"	"was"	"complete"	"yesterday"	"for"	"sunday"	"night"	"thirty-eighth"	"annual"	"and"	"show"	"of"	"the"	"new_york"	"chapter"	"group"	"at"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"the"	"increase"	"at_best"	"appear"	"at_best_the"	"the_increase"	"increase_appear"	";_at_best_the"	"at_best_the_increase"	"the_increase_appear"	"increase_appear_to"	"ε"	"RB"	"DT"	"JJ"	"NN"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"cannot"	"make"	"sense"	"out"	"of"	"figure"	"for"	"maturity"	"growth"	"at_best"	"the"	"annual"	"increase"	"appear"	"to"	"be"	"a"	"matter"	"of"	"inch"	"rather_than"	"foot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"twenty-first"	"k._of_c._games"	"the"	","	"the_twenty-first"	"twenty-first_k._of_c._games"	"k._of_c._games_,"	"at_the_twenty-first"	"the_twenty-first_k._of_c._games"	"twenty-first_k._of_c._games_,"	"k._of_c._games_,_final"	"IN"	"DT"	"JJ"	"JJ"	"NNPS"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"crowd"	"the"	"twenty-first"	"annual"	"k._of_c._games"	"final"	"indoor"	"meet"	"of"	"the"	"season"	"get"	"a"	"thrill"	"a_few"	"minute"	"earlier"	"when"	"a"	"slender"	"bespectacled"	"woman"	"break"	"the"	"one"	"week"	"old"	"world_record"	"in"	"the"	"half_mile"	"run"	
