"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"
"2:30:00::"	"unsinkable"	"and"	"∅"	"stop"	"∅_unsinkable"	"unsinkable_and"	"and_stop"	"∅_∅_unsinkable"	"∅_unsinkable_and"	"unsinkable_and_stop"	"and_stop_,"	"ε"	"ε"	"NNP"	"VB"	"CC"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"slow"	"and"	"stop"	"hundreds"	"of"	"brilliant"	"white"	"flares"	"sway"	"eerily"	"down"	"from"	"the"	"black"	"the"	"air_raid"	"sirens"	"ashore"	"rise"	"in"	"a"	"keening"	"shriek"	"the"	"anti-aircraft"	"guns"	"coughed"	"and"	"chattered"	"and"	"above"	"it"	"all"	"motors"	"roar"	"and"	"the"	"bombs"	"come"	"whispering"	"and"	"wailing"	"and"	"crash"	"down"	"among"	"the"	"ships"	"at"	"anchor"	"at"	"bari"	
"2:30:05::"	"and"	"her"	"together"	"pace"	"together_and"	"and_her"	"her_pace"	"hands_together_and"	"together_and_her"	"and_her_pace"	"her_pace_."	"NNS"	"RB"	"CC"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rachel"	"clasp"	"hands"	"together"	"and"	"slow"	"her"	"pace"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"be"	"get"	"person"	"into"	"person_be"	"be_get"	"get_into"	"∅_person_be"	"person_be_get"	"be_get_into"	"get_into_the"	"ε"	"NNP"	"VB"	"JJ"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"slow"	"get"	"into"	"the"	"batter's_box"	"this"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"and"	"at"	"sweet"	"person"	"sweet_and"	"and_at"	"at_person"	"very_sweet_and"	"sweet_and_at"	"and_at_person"	"at_person_."	"RB"	"RB"	"CC"	"RB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"time"	"say"	"person"	"and"	"he"	"smile"	"sweet"	"and"	"slow"	"at"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"and"	"fire"	"muzzle_loader"	"single"	"muzzle_loader_and"	"and_fire"	"fire_single"	"the_muzzle_loader_and"	"muzzle_loader_and_fire"	"and_fire_single"	"fire_single_shot"	"DT"	"NN"	"CC"	"JJ"	"VB"	"JJ"	"NN"	"firearm"	"and"	"ammunition"	"manufacturer"	"through"	"diligent"	"research"	"and"	"technical"	"development"	"have"	"replace"	"the"	"muzzle_loader"	"and"	"fire"	"single"	"shot"	"arm"	"with"	"modern"	"fast"	"fire"	"autoloader"	"extremely"	"accurate"	"bolt"	"lever"	"and"	"slide_action"	"firearm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"were"	"."	"we"	"∅"	"we_were"	"were_."	"._∅"	"∅_we_were"	"we_were_."	"were_._∅"	"._∅_∅"	"ε"	"PRP"	"VBD"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"were"	"slow"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"be"	"this"	"business"	"time_of_year"	"business_be"	"be_this"	"this_time_of_year"	"that_business_be"	"business_be_this"	"be_this_time_of_year"	"this_time_of_year_and"	"IN"	"NN"	"VB"	"JJ"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"aside"	"from"	"the"	"that"	"business"	"be"	"slow"	"this"	"time_of_year"	"and"	"his"	"one"	"salesgirl"	"be"	"not"	"the"	"most"	"enterprising"	"person"	"have"	"no"	"worry"	"at_all"	"and"	"he"	"say"	"as"	"much"	"to"	"person"	"who"	"sit"	"across"	"from"	"him"	"in"	"civilian"	"clothes"	"on"	"a"	"jiffy-couch-a-bed"	"mauve"	"velour"	"nothing"	"down"	"special"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"he"	","	"gate"	"look_around"	"gate_he"	"he_,"	",_look_around"	"the_gate_he"	"gate_he_,"	"he_,_look_around"	",_look_around_."	"DT"	"NN"	"PRP"	"VB"	"ε"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"gate"	"he"	"slow"	"look_around"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"'"	"start"	"group"	"this"	"group_'"	"'_start"	"start_this"	"the_group_'"	"group_'_start"	"'_start_this"	"start_this_season"	"DT"	"NNP"	"ε"	"JJ"	"NN"	"DT"	"NN"	"if"	"the"	"cardinals"	"heed"	"person"	"of"	"the"	"group"	"they"	"won't"	"be"	"mislead"	"by"	"the"	"group"	"start"	"this"	"season"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"had"	"."	"train"	"∅"	"train_had"	"had_."	"._∅"	"the_train_had"	"train_had_."	"had_._∅"	"._∅_∅"	"DT"	"NN"	"VBD"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"had"	"slow"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
