"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"
"1:18:00::"	"hefty"	"throw"	"the"	"come"	"the_hefty"	"hefty_throw"	"throw_come"	"ball_the_hefty"	"the_hefty_throw"	"hefty_throw_come"	"throw_come_in"	"NN"	"DT"	"JJ"	"NN"	"VB"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"the"	"hefty"	"pitcher"	"throw"	"come"	"in"	"for"	"person"	"head"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"."	"to"	"∅"	"to_the"	"the_."	"._∅"	"shout_to_the"	"to_the_."	"the_._∅"	"._∅_∅"	"VB"	"TO"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"listen"	"he"	"shout"	"the"	"pitcher"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"yell"	"!"	"back"	"!_the"	"the_yell"	"yell_back"	"''_!_the"	"!_the_yell"	"the_yell_back"	"yell_back_."	"ε"	"ε"	"DT"	"NN"	"VB"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"be"	"wait"	"pitcher"	"yell"	"back"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"big"	"and"	"a"	"set"	"a_big"	"big_and"	"and_set"	"fill_a_big"	"a_big_and"	"big_and_set"	"and_set_it"	"VB"	"DT"	"JJ"	"NN"	"CC"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"a"	"big"	"pitcher"	"and"	"set"	"it"	"with"	"glass"	"on"	"a"	"tray"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"superior"	"but"	"a"	"a"	"a_superior"	"superior_but"	"but_a"	"be_a_superior"	"a_superior_but"	"superior_but_a"	"but_a_gentlemanly"	"VB"	"DT"	"JJ"	"NN"	"CC"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"not_only"	"a"	"superior"	"pitcher"	"but"	"a"	"gentlemanly"	"fine"	"fellow"	"a"	"ballplayer"	"ballplayer"	"as"	"they"	"say"	"in"	"the"	"trade"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"group"	","	"eight"	"the"	"eight_group"	"group_,"	",_the"	"of_eight_group"	"eight_group_,"	"group_,_the"	",_the_most"	"IN"	"JJ"	"NNP"	"NN"	"ε"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"person"	"and"	"person"	"both"	"out_of_action"	"due_to"	"injury"	"the"	"group"	"champ"	"still"	"a"	"hit"	"attack"	"against"	"a"	"parade"	"of"	"eight"	"group"	"pitcher"	"the"	"most"	"ever"	"use"	"by"	"one"	"team"	"in"	"a"	"series"	"game"	"0"	"0"	
"1:18:00::"	"kansas_city"	"."	"three"	"∅"	"three_kansas_city"	"kansas_city_."	"._∅"	"of_three_kansas_city"	"three_kansas_city_."	"kansas_city_._∅"	"._∅_∅"	"IN"	"JJ"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"once_again"	"perform"	"at"	"the"	"plate"	"in"	"powder-puff"	"fashion"	"only"	"seven"	"blow"	"off"	"the"	"offering"	"of"	"three"	"kansas_city"	"pitcher"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"rival"	"."	"probable"	"∅"	"probable_rival"	"rival_."	"._∅"	"the_probable_rival"	"probable_rival_."	"rival_._∅"	"._∅_∅"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"and"	"person"	"a"	"rookie"	"right-hander"	"who"	"post"	"record"	"last"	"year"	"for"	"the"	"yanks"	"location"	"location"	"farm_club"	"of"	"the"	"class"	"d"	"group"	"be"	"the"	"probable"	"pitcher"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"∅"	"person"	"∅"	"join"	"∅_∅"	"∅_person"	"person_join"	"∅_∅_∅"	"∅_∅_person"	"∅_person_join"	"person_join_the"	"ε"	"ε"	"ε"	"NN"	"NNP"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"join"	"the"	"club"	"one"	"week"	"ago"	"after"	"complete"	"his"	"hitch"	"under"	"the"	"group"	"accelerated"	"wintertime"	"military"	"course"	"also"	"at"	"location"	"location"	"0"	
"1:06:00::"	"the"	"of"	"return"	"hot"	"return_the"	"the_of"	"of_hot"	"could_return_the"	"return_the_of"	"the_of_hot"	"of_hot_milk"	"MD"	"VB"	"DT"	"NN"	"IN"	"JJ"	"NN"	"breakfast_table"	"conversation"	"be"	"impossible"	"it"	"was"	"at_least"	"something"	"that"	"they"	"be"	"able"	"to"	"offer"	"person"	"the"	"sugar_bowl"	"with"	"their"	"sugar"	"in"	"it"	"and"	"the"	"plate"	"of"	"bread_and_butter"	"and"	"that"	"person"	"return"	"the"	"of"	"hot"	"milk"	"to"	"them"	"handle"	"first"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
