"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"
"2:38:00::"	"shayne"	"back"	"∅"	"to"	"∅_shayne"	"shayne_back"	"back_to"	"∅_∅_shayne"	"∅_shayne_back"	"shayne_back_to"	"back_to_let"	"ε"	"ε"	"NNP"	"VB"	"RB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"step"	"back"	"to"	"let"	"him"	"slump"	"to"	"the"	"ground"	"and_then"	"dive"	"over"	"him"	"through"	"the"	"open_door"	"into"	"harris"	"who"	"was"	"curse"	"loudly"	"and"	"try"	"to"	"drag"	"a"	"gun"	"from"	"a"	"shoulder_holster"	"somewhat"	"impede"	"by"	"the"	"steering_wheel"	
"2:38:00::"	"rankin"	"forward"	"intention"	"and"	"intention_rankin"	"rankin_forward"	"forward_and"	"his_intention_rankin"	"intention_rankin_forward"	"rankin_forward_and"	"forward_and_swing"	"PRP$"	"NN"	"NNP"	"VB"	"RB"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"before"	"they"	"could"	"his"	"intention"	"rankin"	"step"	"forward"	"and"	"swing"	"the"	"guard"	"own"	"gun"	"against"	"the"	"uncovered"	"head"	"hard"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"and"	"back"	"embrace"	"."	"embrace_and"	"and_back"	"back_."	"the_embrace_and"	"embrace_and_back"	"and_back_."	"back_._∅"	"DT"	"NN"	"CC"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"clayton"	"free"	"himself"	"the"	"embrace"	"and"	"step"	"back"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"three"	"."	"consist_of"	"∅"	"consist_of_three"	"three_."	"._∅"	",_consist_of_three"	"consist_of_three_."	"three_._∅"	"._∅_∅"	"ε"	"VB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"text"	"lookup"	"as"	"we"	"will"	"it"	"consist_of"	"three"	"step"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"two"	"essentially"	"these"	"complete"	"these_two"	"two_essentially"	"essentially_complete"	"∅_these_two"	"these_two_essentially"	"two_essentially_complete"	"essentially_complete_the"	"ε"	"DT"	"JJ"	"NN"	"RB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"two"	"step"	"essentially"	"complete"	"the"	"lookup"	"operation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"constructive"	"will"	"long"	"have"	"long_constructive"	"constructive_will"	"will_have"	"a_long_constructive"	"long_constructive_will"	"constructive_will_have"	"will_have_been"	"DT"	"JJ"	"JJ"	"NN"	"MD"	"VB"	"VBN"	"will"	"take"	"the"	"time"	"to"	"give"	"objective"	"consideration"	"to"	"their"	"major"	"problem"	"and"	"to"	"the"	"question"	"they"	"provoke"	"then"	"a"	"long"	"constructive"	"will"	"have"	"been"	"take"	"toward"	"more"	"effective"	"marketing"	"in"	"next"	"decade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"basic"	"."	"very"	"∅"	"very_basic"	"basic_."	"._∅"	"some_very_basic"	"very_basic_."	"basic_._∅"	"._∅_∅"	"JJ"	"RB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"to"	"get"	"a"	"marriage"	"back"	"where"	"it"	"belong"	"comment"	"person"	"of"	"the"	"group"	"the"	"husband"	"take"	"some"	"very"	"basic"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"second"	"be"	"the"	"to"	"the_second"	"second_be"	"be_to"	"∅_the_second"	"the_second_be"	"second_be_to"	"be_to_recognize"	"ε"	"DT"	"JJ"	"NN"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"second"	"step"	"be"	"to"	"recognize"	"the"	"substantial"	"agreement"	"frequently"	"blur"	"by"	"emotionalism"	"and"	"inaccurate"	"newspaper"	"reporting"	"already"	"exist"	"between"	"catholic"	"and"	"non-catholic"	"concern"	"the"	"overall"	"objective"	"of"	"family_planning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"next"	","	"the"	"captain"	"the_next"	"next_,"	",_captain"	"be_the_next"	"the_next_,"	"next_,_captain"	",_captain_''"	"VB"	"DT"	"JJ"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"be"	"next"	"step"	"captain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"no"	"toward"	"take"	"aid"	"take_no"	"no_toward"	"toward_aid"	"person_take_no"	"take_no_toward"	"no_toward_aid"	"toward_aid_in"	"NNP"	"VB"	"JJ"	"NN"	"IN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"was"	"clear"	"that"	"person"	"be"	"not"	"mistaken"	"both"	"person"	"and"	"person"	"take"	"no"	"step"	"toward"	"aid"	"in"	"the"	"sending"	"up"	"of"	"the"	"new"	"topgallant_mast"	"till"	"person"	"had"	"give"	"the"	"signal"	"to"	"obey"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
