"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"3:00:00::;5:00:00:necessary:00"	"be"	"for"	"blower"	"the"	"blower_be"	"be_for"	"for_the"	"a_blower_be"	"blower_be_for"	"be_for_the"	"for_the_double"	"DT"	"NN"	"VB"	"JJ"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"be"	"essential"	"for"	"the"	"double"	"wall"	"shelter"	"and"	"for"	"the"	"underground"	"shelter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:necessary:00"	"deem"	"to"	"is"	"the"	"is_deem"	"deem_to"	"to_the"	"what_is_deem"	"is_deem_to"	"deem_to_the"	"to_the_national"	"WP"	"VBZ"	"VB"	"JJ"	"TO"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hence"	"government"	"must"	"establish"	"great"	"control"	"upon"	"so"	"that"	"their"	"activity"	"promote"	"what"	"is"	"deem"	"essential"	"to"	"the"	"national"	"interest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:important:00"	"be"	"."	"communication"	"∅"	"communication_be"	"be_."	"._∅"	"of_communication_be"	"communication_be_."	"be_._∅"	"._∅_∅"	"IN"	"NN"	"VB"	"JJ"	"ε"	"ε"	"ε"	"increase"	"is"	"estimate"	"in"	"the"	"cost"	"of"	"operate"	"additional"	"communication_system"	"in"	"the"	"air"	"defense_program"	"as_well"	"as"	"in"	"all"	"program"	"where"	"speed"	"and"	"security"	"of"	"communication"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:necessary:00"	"conduct"	"operation"	"to"	"in"	"to_conduct"	"conduct_operation"	"operation_in"	"capability_to_conduct"	"to_conduct_operation"	"conduct_operation_in"	"operation_in_any"	"NN"	"TO"	"VB"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"deterrent"	"power"	"of"	"our"	"armed_forces"	"come"	"from"	"both"	"nuclear"	"retaliatory"	"capability"	"and"	"their"	"capability"	"to"	"conduct"	"essential"	"operation"	"in"	"any"	"form"	"of"	"war"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"two"	"way"	"in"	"."	"in_two"	"two_way"	"way_."	"life_in_two"	"in_two_way"	"two_way_."	"way_._∅"	"NN"	"IN"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"mythological"	"private_eye"	"differ"	"from"	"counterpart"	"in"	"real"	"life"	"in"	"two"	"essential"	"way"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"their"	"decorativeness"	"be"	","	"be_their"	"their_decorativeness"	"decorativeness_,"	"come_to_mind_be_their"	"be_their_decorativeness"	"their_decorativeness_,"	"decorativeness_,_yet"	"VB"	"VB"	"PRP$"	"JJ"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"analyze"	"the"	"watercolor"	"of"	"person"	"first"	"thing"	"that"	"come_to_mind"	"be"	"their"	"essential"	"decorativeness"	"yet"	"this"	"word"	"have"	"such"	"a"	"varied"	"connotation"	"that"	"it"	"need"	"some"	"elaboration"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"three"	"plane"	"to"	":"	"to_three"	"three_plane"	"plane_:"	"reduce_to_three"	"to_three_plane"	"three_plane_:"	"plane_:_a"	"VB"	"TO"	"JJ"	"JJ"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"long"	"observation"	"has"	"teach"	"person"	"that"	"landscape"	"can"	"be"	"reduce"	"to"	"three"	"essential"	"plane"	"a"	"foreground"	"in"	"sharp"	"focus"	"either"	"a"	"light"	"area"	"with"	"dark"	"accent"	"or"	"a"	"dark"	"one"	"with"	"light"	"a"	"middle_distance"	"often"	"contain"	"the"	"major"	"motif"	"and"	"a"	"background"	"usually"	"a"	"silhouette"	"form"	"foil"	"against"	"the"	"sky"	
"5:00:00:necessary:00"	"absolutely"	"to"	"be"	"the"	"be_absolutely"	"absolutely_to"	"to_the"	"it_be_absolutely"	"be_absolutely_to"	"absolutely_to_the"	"to_the_argument"	"PRP"	"VB"	"RB"	"JJ"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"must"	"be"	"because"	"it"	"be"	"absolutely"	"essential"	"to"	"the"	"argument"	"of"	"this"	"concluding"	"chapter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	","	"pushup"	"but"	"pushup_be"	"be_,"	",_but"	"∅_pushup_be"	"pushup_be_,"	"be_,_but"	",_but_few"	"ε"	"NN"	"VB"	"JJ"	"ε"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"essential"	"but"	"few"	"have"	"the"	"strength"	"for"	"them"	"at_first"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"last"	"to"	"the"	"the"	"the_last"	"last_to"	"to_the"	"∅_the_last"	"the_last_to"	"last_to_the"	"to_the_beginner"	"ε"	"DT"	"JJ"	"NN"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"last"	"essential"	"to"	"the"	"beginner"	"gymnastic"	"program"	"be"	"the"	"somersault"	"or"	"forward"	"roll"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:important:00"	"an"	"part"	"play"	"in"	"play_an"	"an_part"	"part_in"	"time_play_an"	"play_an_part"	"an_part_in"	"part_in_our"	"NN"	"VB"	"DT"	"JJ"	"NN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"time"	"an"	"essential"	"part"	"in"	"our"	"mortality"	"and"	"suddenly"	"for"	"no"	"reason"	"he"	"could"	"imagine"	"or"	"admit"	"the"	"image"	"of"	"person"	"laugh"	"fill"	"his"	"mind"	"so"	"desirable"	"so"	"lusty"	"so"	"full"	"of"	"nuance"	"of"	"pleasure"	"and"	"joy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:necessary:00"	"be"	"to"	"company"	"the"	"company_be"	"be_to"	"to_the"	"furniture_company_be"	"company_be_to"	"be_to_the"	"to_the_proper"	"NN"	"NN"	"VB"	"JJ"	"TO"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"consultation"	"with"	"architect"	"client"	"real_estate"	"man"	"fabric"	"and"	"furniture"	"company"	"be"	"essential"	"to"	"the"	"proper"	"development"	"of"	"class"	"problem"	"just"	"as"	"in"	"actual"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
