"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"
"1:18:00::"	"play"	"''"	"'s"	","	"'s_play"	"play_''"	"''_,"	"let_'s_play"	"'s_play_''"	"play_''_,"	"''_,_i"	"VB"	"POS"	"VB"	"NN"	"ε"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"let"	"hero"	"i"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"a"	","	"regard_as"	"as"	"regard_as_a"	"a_,"	",_as"	"was_regard_as_a"	"regard_as_a_,"	"a_,_as"	",_as_the"	"VBD"	"VB"	"DT"	"NN"	"ε"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"cow"	"camp"	"was"	"regard_as"	"a"	"hero"	"as"	"the"	"same"	"kind"	"of"	"champion"	"he"	"be"	"when"	"he"	"enter"	"and"	"invariably"	"win"	"the"	"local"	"rodeo"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"cultural"	","	"a"	"who"	"a_cultural"	"cultural_,"	",_who"	"as_a_cultural"	"a_cultural_,"	"cultural_,_who"	",_who_,"	"IN"	"DT"	"JJ"	"NN"	"ε"	"WP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"might"	"well"	"as"	"a"	"cultural"	"hero"	"who"	"by"	"the"	"force"	"of"	"his"	"creative"	"life"	"help"	"preserve"	"the"	"main"	"stream"	"of"	"tradition"	"to"	"which"	"the"	"surviving"	"idiom"	"of"	"current"	"experimentalism"	"may"	"be"	"eventually"	"add"	"and"	"integrate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"national"	"and"	"of"	"event"	"of_national"	"national_and"	"and_event"	"material_of_national"	"of_national_and"	"national_and_event"	"and_event_,"	"NN"	"IN"	"JJ"	"NN"	"CC"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"a"	"large"	"and"	"circumspect"	"century"	"technique"	"weave"	"the"	"material"	"of"	"national"	"hero"	"and"	"event"	"national"	"folklore"	"and"	"child"	"fairytale"	"slavic"	"dance"	"and"	"love"	"song"	"into"	"a"	"solid"	"musical"	"literature"	"which"	"serve"	"his"	"people"	"well"	"and"	"is"	"provide"	"much"	"enjoyment"	"to"	"the"	"world"	"at_large"	"0"	"0"	"0"	
"1:09:00::"	"the"	"'s"	"respect_to"	"sweetheart"	"respect_to_the"	"the_'s"	"'s_sweetheart"	"particular_respect_to_the"	"respect_to_the_'s"	"the_'s_sweetheart"	"'s_sweetheart_secretary"	"JJ"	"NN"	"DT"	"NN"	"POS"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"when"	"his"	"trouble"	"begin"	"not_to_mention"	"a"	"fledgling"	"artist"	"who"	"he"	"hire"	"who"	"turn_out"	"to"	"have"	"idea"	"of"	"his"	"with"	"particular"	"respect_to"	"the"	"hero"	"sweetheart"	"secretary"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"of"	"for"	"this"	"for_the"	"the_of"	"of_this"	"∅_for_the"	"for_the_of"	"the_of_this"	"of_this_work"	"ε"	"IN"	"DT"	"NN"	"RB"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"hero"	"of"	"this"	"work"	"by"	"person"	"and"	"person"	"be"	"a"	"chap"	"embitter"	"by"	"more"	"than"	"the"	"lack"	"of"	"beer"	"during"	"a"	"jam_session"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	","	"since"	"a"	"since_the"	"the_,"	",_a"	"∅_since_the"	"since_the_,"	"the_,_a"	",_a_sterling"	"ε"	"IN"	"DT"	"NN"	"ε"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"hero"	"a"	"sterling"	"and"	"upright"	"fellow"	"be"	"a"	"rich"	"group"	"senior"	"while"	"two"	"person"	"are"	"cast"	"as"	"virtual"	"rapist"	"i"	"suppose"	"i"	"should"	"disqualify"	"myself"	"from"	"sit"	"in"	"judgment"	"on"	"where_the_boys_are"	"but"	"i"	"shall"	"do"	"nothing"	"of"	"the"	"sort"	
"1:18:00::"	"world_series"	"of"	"the"	"the"	"the_world_series"	"world_series_of"	"of_the"	",_the_world_series"	"the_world_series_of"	"world_series_of_the"	"of_the_group"	"ε"	"DT"	"NN"	"NN"	"IN"	"DT"	"NNP"	"chairman"	"of"	"group"	"will"	"be"	"join"	"on"	"the"	"dais"	"by"	"person"	"the"	"southpaw"	"pitching"	"ace"	"of"	"the"	"group"	"person"	"the"	"group"	"sport"	"columnist"	"person"	"the"	"world_series"	"hero"	"the"	"group"	"and"	"person"	"the"	"former"	"manager"	"of"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"of"	"``"	"his"	"``_the"	"the_of"	"of_his"	"∅_``_the"	"``_the_of"	"the_of_his"	"of_his_next"	"ε"	"ε"	"DT"	"NN"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hero"	"of"	"his"	"next"	"poem"	"be"	"person"	"say"	"person"	"with"	"slightly"	"overdone"	"carelessness"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"'s"	"."	"person"	"∅"	"person_'s"	"'s_."	"._∅"	"for_person_'s"	"person_'s_."	"'s_._∅"	"._∅_∅"	"IN"	"NNP"	"POS"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"love"	"be"	"the"	"crucial"	"of"	"experience"	"for"	"person"	"hero"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
