"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"
"2:32:01::"	"president"	"federal"	"the"	"``"	"the_president"	"president_federal"	"federal_``"	"∅_the_president"	"the_president_federal"	"president_federal_``"	"federal_``_matching"	"ε"	"DT"	"NNP"	"VB"	"JJ"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"president"	"recommend"	"federal"	"matching"	"grants"	"total"	"million"	"dollars"	"in"	"years"	"for"	"construct"	"new"	"medical"	"and"	"dental_schools"	"or"	"enlarge"	"the"	"capacity"	"of"	"existing"	"ones"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"will"	"later"	"he"	"an"	"he_will"	"will_later"	"later_an"	"say_he_will"	"he_will_later"	"will_later_an"	"later_an_increase"	"VB"	"PRP"	"MD"	"VB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"child"	"health"	"field"	"president"	"say"	"he"	"will"	"recommend"	"later"	"an"	"increase"	"in"	"funds"	"for"	"programs"	"under"	"the"	"children"	"bureau"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"you"	"is"	"that"	"currently"	"that_you"	"you_is"	"is_currently"	"metropolitanization_that_you"	"that_you_is"	"you_is_currently"	"is_currently_practice"	"NN"	"IN"	"PRP"	"VB"	"VBZ"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"fruitful"	"course"	"of"	"that"	"you"	"recommend"	"is"	"currently"	"practice"	"by"	"the"	"town"	"of"	"east_greenwich"	"and"	"have"	"its"	"inception"	"long"	"before"	"we"	"learn"	"what"	"it"	"be"	"called"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"will"	"wait"	"orthodontists"	"four"	"orthodontists_will"	"will_wait"	"wait_four"	",_orthodontists_will"	"orthodontists_will_wait"	"will_wait_four"	"wait_four_or"	"ε"	"NNS"	"MD"	"VB"	"VB"	"CD"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"cases"	"in_view"	"of"	"present-day"	"knowledge"	"head"	"growth"	"orthodontists"	"will"	"recommend"	"wait"	"four"	"or"	"five"	"years"	"before"	"treatment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"earnestly"	"-"	"we"	"for"	"we_earnestly"	"earnestly_-"	"-_for"	",_we_earnestly"	"we_earnestly_-"	"earnestly_-_for"	"-_for_your"	"ε"	"PRP"	"RB"	"VB"	"ε"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"you"	"first"	"acquire"	"pool"	"we"	"earnestly"	"recommend"	"for"	"your"	"own"	"mental_health"	"a"	"good"	"long"	"chat"	"with"	"your"	"insurance_agent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"not"	"dispatch"	"will"	"united_states"	"will_not"	"not_dispatch"	"dispatch_united_states"	"he_will_not"	"will_not_dispatch"	"not_dispatch_united_states"	"dispatch_united_states_troops"	"PRP"	"MD"	"RB"	"VB"	"VB"	"NN"	"NNS"	"in"	"saigon"	"that"	"he"	"be"	"very_much"	"encouraged"	"about"	"the"	"chances"	"of"	"the"	"pro-western"	"government"	"of"	"viet_nam"	"turn_back"	"communist"	"guerrilla"	"attacks"	"come_close"	"to"	"an"	"announcement"	"that"	"will"	"not"	"dispatch"	"united_states"	"troops"	"to"	"bolster"	"the"	"vietnamese"	"army"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"or"	"a"	","	"suitable"	",_or"	"or_a"	"a_suitable"	"work_,_or"	",_or_a"	"or_a_suitable"	"a_suitable_person"	"NN"	"ε"	"CC"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr."	"palmer"	"will"	"attend_to"	"any"	"applications"	"relate"	"to"	"bridges"	"and"	"if"	"desire"	"will"	"view"	"the"	"proposed"	"site"	"and"	"lay_out"	"and"	"the"	"work"	"or"	"recommend"	"a"	"suitable"	"person"	"to"	"execute"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"also"	"that"	"mr._schaefer"	"the"	"mr._schaefer_also"	"also_that"	"that_the"	"∅_mr._schaefer_also"	"mr._schaefer_also_that"	"also_that_the"	"that_the_snow"	"ε"	"NNP"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"also"	"recommend"	"that"	"the"	"snow"	"emergency"	"route"	"plan"	"under"	"which"	"parking"	"is"	"ban"	"on"	"key"	"streets"	"and"	"cars"	"are"	"require"	"to"	"use"	"snow_tires"	"or"	"chains"	"on"	"them"	"should"	"be"	"strictly"	"enforce"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"has"	"that"	"experts"	"a"	"experts_has"	"has_that"	"that_a"	"of_experts_has"	"experts_has_that"	"has_that_a"	"that_a_country"	"IN"	"NNS"	"VBZ"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"committee"	"experts"	"has"	"recommend"	"that"	"a"	"country"	"population"	"be"	"consider"	"in"	"the"	"distribution"	"of"	"professional"	"at"	"the"	"united_nations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"is"	"is"	"he"	"already"	"he_is"	"is_is"	"is_already"	"what_he_is"	"he_is_is"	"is_is_already"	"is_already_take_shape"	"WP"	"PRP"	"VBZ"	"VB"	"VBZ"	"RB"	"VB"	"0"	"his"	"suggestion"	"that"	"the"	"prestige"	"colleges"	"be"	"make"	"the"	"training"	"institutions"	"for"	"medical"	"law"	"and"	"graduate_schools"	"will"	"run_into"	"strong"	"opposition"	"from"	"these"	"colleges"	"themselves"	"even_though"	"what"	"is"	"recommend"	"is"	"already"	"take_shape"	"as"	"a"	"trend"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
