"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"	"A146"	"A147"	"A148"	"A149"	"A150"	"A151"	"A152"	"A153"	"A154"	"A155"	"A156"	"A157"	"A158"	"A159"
"2:42:01::"	"petition"	"the"	"a"	"signatures"	"a_petition"	"petition_the"	"the_signatures"	"∅_a_petition"	"a_petition_the"	"petition_the_signatures"	"the_signatures_of"	"ε"	"DT"	"NN"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"petition"	"bear"	"the"	"signatures"	"of"	"more_than"	"johnston"	"taxpayers"	"was"	"present"	"to"	"the"	"town"	"council"	"last"	"night"	"as"	"what"	"is"	"hope"	"will"	"be"	"the"	"first"	"step"	"in"	"obtain"	"a"	"home_rule"	"charter"	"for"	"the"	"town"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:01::"	"babies"	"daily"	"12000"	")"	"12000_babies"	"babies_daily"	"daily_)"	"of_12000_babies"	"12000_babies_daily"	"babies_daily_)"	"daily_)_with"	"IN"	"CD"	"NNS"	"VB"	"JJ"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"talk"	"of"	"the"	"rapid"	"population"	"upwards"	"of"	"babies"	"bear"	"daily"	"with"	"an"	"immigrant"	"enter"	"the"	"united_states"	"every"	"minutes"	"he"	"say"	"our"	"organization"	"has"	"not"	"been"	"keep"	"pace"	"with"	"this"	"challenge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"be"	"by"	"shall"	"the"	"shall_be"	"be_by"	"by_the"	"organization_shall_be"	"shall_be_by"	"be_by_the"	"by_the_members"	"NNP"	"MD"	"VB"	"VB"	"IN"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"section"	"the"	"expenses"	"of"	"the"	"shall"	"be"	"bear"	"by"	"the"	"members"	"as"	"apportion"	"by"	"the"	"general_assembly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"surface"	"reguli"	"quadric"	"*"	"quadric_surface"	"surface_reguli"	"reguli_*"	"nonsingular_quadric_surface"	"quadric_surface_reguli"	"surface_reguli_*"	"reguli_*_*"	"JJ"	"NN"	"NN"	"VB"	"NNS"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"let"	"q"	"be"	"nonsingular"	"quadric"	"surface"	"bear"	"reguli"	"f"	"and"	"f"	"and"	"let"	"g"	"be"	"a"	"f"	"curve"	"of"	"order"	"k"	"on"	"q"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:01::"	"was"	"in"	"mr._brooks"	"new_york"	"mr._brooks_was"	"was_in"	"in_new_york"	"∅_mr._brooks_was"	"mr._brooks_was_in"	"was_in_new_york"	"in_new_york_,"	"ε"	"NNP"	"VB"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"was"	"bear"	"in"	"new_york"	"and"	"come"	"to"	"portland"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:01::"	"was"	"in"	"greer_garson"	"county"	"greer_garson_was"	"was_in"	"in_county"	",_greer_garson_was"	"greer_garson_was_in"	"was_in_county"	"in_county_down"	"ε"	"NNP"	"VB"	"VB"	"IN"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"scotch-irish-scandinavian"	"greer_garson"	"was"	"bear"	"in"	"county"	"down"	"ireland"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:01::"	"``"	"again"	"is"	"''"	"is_``"	"``_again"	"again_''"	"saviour_is_``"	"is_``_again"	"``_again_''"	"again_''_spiritually"	"NNP"	"VBZ"	"ε"	"VB"	"RB"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"believe"	"therefore"	"that"	"we"	"be"	"without"	"exception"	"sinners"	"by"	"nature"	"alienate"	"from"	"god"	"and"	"that"	"jesus_christ"	"the"	"son"	"of"	"god"	"come"	"to"	"earth"	"the"	"representative"	"head"	"of"	"a"	"new"	"race"	"to"	"die"	"upon"	"the"	"cross"	"and"	"the"	"penalty"	"of"	"the"	"sin"	"of"	"the"	"world"	"and"	"that"	"he"	"who"	"thus"	"receive"	"christ"	"as"	"his"	"personal"	"saviour"	"is"	"bear"	"again"	"spiritually"	"with"	"new"	"privileges"	"appetites"	"and"	"affections"	"destine"	"to"	"live"	"and"	"grow"	"in"	"his"	"likeness"	"forever"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:01::"	"german"	"scientist"	"british"	"who"	"british_german"	"german_scientist"	"scientist_who"	"naturalized_british_german"	"british_german_scientist"	"german_scientist_who"	"scientist_who_succeed"	"JJ"	"JJ"	"JJ"	"VB"	"NN"	"WP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"trial"	"will"	"be"	"hold"	"probably"	"the"	"first"	"week"	"of"	"march"	"in"	"famous"	"old_bailey"	"central"	"criminal_court"	"where"	"klaus_fuchs"	"the"	"naturalized"	"british"	"german"	"bear"	"scientist"	"who"	"succeed"	"in"	"give"	"american"	"and"	"british"	"atomic_bomb"	"secrets"	"to"	"russia"	"and"	"thereby"	"change"	"world"	"history"	"during"	"the"	"s"	"was"	"sentence"	"to"	"years"	"in"	"prison"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"person"	"a"	"character"	"close"	"character_person"	"person_a"	"a_close"	"whose_character_person"	"character_person_a"	"person_a_close"	"a_close_kinship"	"WP$"	"NN"	"NNP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"others"	"who"	"write_of"	"low"	"character"	"and"	"low"	"life"	"include"	"person"	"creator"	"of"	"the"	"of"	"arkansas"	"and"	"person"	"the"	"person"	"person"	"whose"	"character"	"person"	"bear"	"a"	"close"	"kinship"	"to"	"person"	"in"	"both"	"his"	"willingness"	"to"	"take_advantage"	"cruel"	"advantage"	"of"	"all"	"and"	"sundry"	"and"	"the"	"sharpness"	"with"	"which"	"he"	"habitually"	"carry_out"	"his"	"will"	"and"	"person"	"whose"	"tennessee"	"hillbilly"	"character"	"person"	"perpetrate"	"more"	"unmalicious"	"mischief"	"and"	"more"	"unintended"	"pain"	"than"	"any"	"character"	"in"	"literature"	"0"	
"2:40:01::"	"as"	"interest"	"award"	","	"award_as"	"as_interest"	"interest_,"	"such_award_as"	"award_as_interest"	"as_interest_,"	"interest_,_certified"	"JJ"	"NN"	"IN"	"VB"	"NN"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"subject"	"to"	"the"	"limitation"	"hereinafter"	"provide"	"the"	"secretary_of_the_treasury"	"is"	"authorize"	"and"	"direct"	"to"	"pay"	"as"	"prescribe"	"by"	"section"	"of_this"	"title"	"amount"	"not"	"exceed"	"the"	"principal"	"of"	"each"	"award"	"plus"	"accrue"	"interest"	"on"	"such"	"award"	"as"	"bear"	"interest"	"certified"	"pursuant"	"to"	"section"	"of_this"	"title"	"in"	"accordance"	"with"	"the"	"award"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
