"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"
"4:02:00::"	"∅"	"sense"	"∅"	"this"	"∅_∅"	"∅_sense"	"sense_this"	"∅_∅_∅"	"∅_∅_sense"	"∅_sense_this"	"sense_this_,"	"ε"	"ε"	"ε"	"RB"	"VB"	"DT"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sense"	"this"	"and"	"realize"	"that"	"it"	"give"	"him"	"an"	"advantage"	"person"	"become"	"bold"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"driver"	"have"	"whose"	"something"	"whose_driver"	"driver_have"	"have_something"	"car_whose_driver"	"whose_driver_have"	"driver_have_something"	"have_something_more"	"NN"	"WP$"	"NN"	"RB"	"VB"	"NN"	"RB"	"on"	"the"	"accelerator"	"only"	"to"	"gradually"	"reach"	"again"	"the"	"mph"	"which"	"would"	"i"	"hope"	"overhaul"	"person"	"and"	"the"	"blonde"	"and"	"as"	"were"	"car"	"whose"	"driver"	"have"	"something"	"more"	"important"	"to"	"catch"	"than"	"had"	"i"	"person"	"settle_down"	"to"	"practice"	"on"	"person"	"the"	"kittenish"	"wile"	"she"	"would"	"need"	"when"	"make"	"her"	"duty"	"call"	"on"	"colonel"	"and"	"mrs"	"somebody"	"in"	"location"	
"4:02:00::"	","	"obtain"	"recording"	"at_least"	"recording_,"	",_obtain"	"obtain_at_least"	"these_recording_,"	"recording_,_obtain"	",_obtain_at_least"	"obtain_at_least_in"	"DT"	"NN"	"ε"	"RB"	"VB"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"an"	"extraordinary"	"sense"	"of"	"in"	"all"	"of"	"these"	"recording"	"apparently"	"obtain"	"at_least"	"in"	"part"	"by"	"emphasize"	"the"	"middle"	"and"	"high_frequency"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	"happy"	"now"	"under"	"now_,"	",_happy"	"happy_under"	"∅_now_,"	"now_,_happy"	",_happy_under"	"happy_under_new"	"ε"	"RB"	"ε"	"RB"	"JJ"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"apparently"	"happy"	"under"	"new"	"manager"	"person"	"and"	"person"	"the"	"perfect"	"player"	"are"	"behave"	"as"	"though"	"they"	"going_to"	"pass"	"those"	"previous"	"peak"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"department"	"intend"	"the"	"to"	"the_department"	"department_intend"	"intend_to"	"∅_the_department"	"the_department_intend"	"department_intend_to"	"intend_to_make"	"ε"	"DT"	"NN"	"RB"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"department"	"apparently"	"intend"	"to"	"make"	"the"	"group"	"a"	"revolving_fund"	"under"	"which"	"new"	"bond"	"would"	"be"	"issue"	"every"	"time"	"a"	"portion"	"of"	"the"	"old"	"ones"	"are"	"pay_off"	"by"	"tax"	"authorities"	"0"	"0"	"0"	"0"	
"4:02:00::"	"ordinary"	"make_good"	"the"	"his"	"the_ordinary"	"ordinary_make_good"	"make_good_his"	"say_the_ordinary"	"the_ordinary_make_good"	"ordinary_make_good_his"	"make_good_his_promise"	"VB"	"DT"	"NN"	"RB"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"ordinary"	"apparently"	"make_good"	"his"	"promise"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"this"	"be"	"but"	"an"	"but_this"	"this_be"	"be_an"	",_but_this"	"but_this_be"	"this_be_an"	"be_an_overestimation"	"ε"	"CC"	"DT"	"RB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"often"	"state"	"that"	"the"	"largest"	"snake"	"five"	"year"	"to"	"attain"	"maturity"	"but"	"this"	"apparently"	"be"	"an"	"overestimation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	"he"	"∅"	"does"	"∅_∅"	"∅_he"	"he_does"	"∅_∅_∅"	"∅_∅_he"	"∅_he_does"	"he_does_not"	"ε"	"ε"	"ε"	"RB"	"PRP"	"VBZ"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"does"	"not"	"intend"	"that"	"those"	"who"	"read"	"or"	"view"	"this"	"play"	"should"	"think_of"	"the"	"devil"	"as"	"be"	"actually"	"real"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"darkness"	"give_rise"	"complete"	"to"	"complete_darkness"	"darkness_give_rise"	"give_rise_to"	"to_complete_darkness"	"complete_darkness_give_rise"	"darkness_give_rise_to"	"give_rise_to_a"	"TO"	"JJ"	"NN"	"RB"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"frequently"	"antique"	"worry"	"that"	"the"	"hour"	"might"	"dwindle"	"to"	"complete"	"darkness"	"apparently"	"give_rise"	"to"	"a"	"ritual"	"and"	"celebration"	"which"	"we"	"still"	"recognize"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	"the"	"∅"	"population"	"∅_∅"	"∅_the"	"the_population"	"∅_∅_∅"	"∅_∅_the"	"∅_the_population"	"the_population_as_a_whole"	"ε"	"ε"	"ε"	"RB"	"DT"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"population"	"as_a_whole"	"eventually"	"acquire"	"enough"	"confidence"	"in"	"the"	"explanation"	"of"	"the"	"scientist"	"to"	"modify"	"its"	"procedure"	"and"	"its"	"fear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
