"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"
"4:02:00::"	","	"catch"	"1957"	"the"	"1957_,"	",_catch"	"catch_the"	",_1957_,"	"1957_,_catch"	",_catch_the"	"catch_the_inspector"	"ε"	"CD"	"ε"	"RB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"date"	"october"	"catch"	"the"	"inspector"	"eye"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"questioning"	"."	"for"	"∅"	"for_questioning"	"questioning_."	"._∅"	"bring_in_for_questioning"	"for_questioning_."	"questioning_._∅"	"._∅_∅"	"VB"	"IN"	"NN"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once_again"	"person"	"be"	"the"	"first"	"and"	"most"	"likely"	"and"	"he"	"was"	"bring_in"	"for"	"questioning"	"immediately"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"almost"	"person"	"∅"	"and"	"∅_almost"	"almost_person"	"person_and"	"∅_∅_almost"	"∅_almost_person"	"almost_person_and"	"person_and_his"	"ε"	"ε"	"RB"	"RB"	"NNP"	"CC"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"immediately"	"person"	"and"	"his"	"daughter"	"person"	"drive_up"	"in"	"the"	"cadillac"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	"appear"	"below"	"which"	"the"	"which_appear"	"appear_below"	"below_the"	"age_which_appear"	"which_appear_below"	"appear_below_the"	"below_the_onset"	"NN"	"WDT"	"VB"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"onset"	"completion"	"and"	"skeletal"	"age"	"hand"	"of"	"boy"	"and"	"girl"	"may"	"be"	"directly"	"compare"	"classify"	"use"	"only"	"those"	"skeletal"	"age"	"which"	"appear"	"immediately"	"below"	"the"	"onset"	"profile"	"and"	"the"	"completion"	"profile"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	"location"	"in_front_of"	"of"	"him"	"of_location"	"location_in_front_of"	"in_front_of_him"	"arroyo_of_location"	"of_location_in_front_of"	"location_in_front_of_him"	"in_front_of_him_,"	"NN"	"IN"	"NNP"	"RB"	"IN"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"first"	"report"	"person"	"horse"	"wheel"	"to"	"the"	"right"	"and"	"run"	"towards"	"the"	"building"	"while"	"follow"	"by"	"a"	"hail"	"of"	"bullet"	"race"	"towards"	"the"	"arroyo"	"of"	"location"	"immediately"	"in_front_of"	"him"	"just"	"reach"	"it"	"as"	"his"	"horse"	"fall"	"0"	"0"	
"4:02:00::"	"∅"	"after"	"∅"	"dinner"	"∅_∅"	"∅_after"	"after_dinner"	"∅_∅_∅"	"∅_∅_after"	"∅_after_dinner"	"after_dinner_,"	"ε"	"ε"	"ε"	"RB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"dinner"	"however"	"rousseau"	"ask"	"for"	"still"	"another"	"favor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"representative"	"join"	"150"	"person"	"150_representative"	"representative_join"	"join_person"	"the_150_representative"	"150_representative_join"	"representative_join_person"	"join_person_as"	"DT"	"CD"	"NN"	"RB"	"VB"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fifty-three"	"of"	"representative"	"immediately"	"join"	"person"	"as"	"cosigner"	"of"	"the"	"proposal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"gain"	"from"	"be"	"the"	"be_gain"	"gain_from"	"from_the"	"may_be_gain"	"be_gain_from"	"gain_from_the"	"from_the_fact"	"MD"	"VB"	"VB"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"clue"	"to"	"the"	"character"	"of"	"group"	"in"	"these"	"disc"	"may"	"be"	"gain"	"immediately"	"from"	"the"	"fact"	"that"	"ten"	"of"	"the"	"title"	"include"	"the"	"word"	"percussion"	"or"	"percussive"	"0"	"0"	"0"	
"4:02:00::"	"then"	"could"	"patient"	"determine"	"patient_then"	"then_could"	"could_determine"	"the_patient_then"	"patient_then_could"	"then_could_determine"	"could_determine_by"	"DT"	"NN"	"RB"	"RB"	"MD"	"VB"	"IN"	"would"	"surmise"	"the"	"procedure"	"however"	"could"	"be"	"repeat"	"with"	"the"	"same"	"object"	"or"	"with"	"the"	"same"	"type"	"of"	"object"	"often"	"enough"	"so"	"that"	"the"	"corresponding"	"visual"	"blot"	"and"	"the"	"mere"	"beginning"	"of"	"the"	"tracing"	"movement"	"would"	"provide"	"clue"	"as_to"	"the"	"actual"	"shape"	"which"	"the"	"patient"	"then"	"could"	"determine"	"by"	"a"	"kind"	"of"	"inference"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	"be"	"convenient"	"department_store"	"for"	"department_store_be"	"be_convenient"	"convenient_for"	"where_department_store_be"	"department_store_be_convenient"	"be_convenient_for"	"convenient_for_the"	"WRB"	"NN"	"VB"	"RB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"downtown"	"store"	"continue"	"to"	"offer"	"the"	"great"	"inducement"	"of"	"variety"	"within"	"its"	"gate"	"and"	"across"	"the"	"street"	"where"	"department_store"	"be"	"immediately"	"convenient"	"for"	"the"	"shopper"	"who"	"want"	"to"	"see"	"what"	"be"	"available"	"before"	"make_up_one's_mind"	
