"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"
"2:41:00::"	"are"	"to"	"state"	"benefit"	"state_are"	"are_to"	"to_benefit"	"the_state_are"	"state_are_to"	"are_to_benefit"	"to_benefit_equally"	"DT"	"NN"	"VBP"	"VB"	"TO"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"the"	"basis"	"that"	"citizens"	"of"	"the"	"state"	"are"	"entitle"	"to"	"benefit"	"equally"	"in"	"the"	"development"	"of"	"its"	"resources"	"plans"	"for"	"the"	"provision"	"of"	"essential"	"services"	"such_as"	"water"	"will"	"be"	"base"	"on"	"need"	"regardless_of"	"arbitrary"	"political"	"boundaries"	"within"	"the"	"framework"	"of"	"the"	"state"	"plan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"be"	"to"	"may"	"distributions"	"may_be"	"be_to"	"to_distributions"	",_may_be"	"may_be_to"	"be_to_distributions"	"to_distributions_under"	"ε"	"MD"	"VB"	"VB"	"TO"	"NNS"	"IN"	"0"	"0"	"a"	"spouse"	"employ"	"by"	"a"	"corporation"	"her"	"husband"	"control"	"for_example"	"may"	"entitle"	"to"	"distributions"	"under"	"the"	"company"	"pension"	"plan"	"as_well"	"as"	"to"	"her"	"own"	"social_security"	"coverage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"mores"	"``"	"american"	"an"	"american_mores"	"mores_``"	"``_an"	"contemporary_american_mores"	"american_mores_``"	"mores_``_an"	"``_an_american_journey"	"JJ"	"NNP"	"NNS"	"VB"	"ε"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"brisk"	"satirical"	"spoof"	"contemporary"	"american"	"mores"	"entitle"	"an"	"american_journey"	"was"	"given"	"its"	"first"	"new_york"	"performance"	"at"	"hunter_college_playhouse"	"last"	"night"	"by"	"the"	"helen_tamiris-daniel_nagrin_dance_company"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"d._c."	"``"	","	"be"	",_d._c."	"d._c._``"	"``_be"	"washington_,_d._c."	",_d._c._``"	"d._c._``_be"	"``_be_women"	"NNP"	"ε"	"NNP"	"VB"	"ε"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"last"	"october"	"he"	"give"	"a"	"speech"	"in"	"washington"	"d._c."	"entitle"	"be"	"women"	"here"	"to"	"stay"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"insurance"	"them"	"your"	"?"	"your_insurance"	"insurance_them"	"them_?"	"which_your_insurance"	"your_insurance_them"	"insurance_them_?"	"them_?_∅"	"RB"	"PRP$"	"NN"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"your"	"employee"	"understand"	"all"	"benefit"	"to"	"which"	"your"	"insurance"	"entitle"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"'re"	"to"	"they"	"."	"they_'re"	"'re_to"	"to_."	"what_they_'re"	"they_'re_to"	"'re_to_."	"to_._∅"	"WP"	"PRP"	"VBP"	"VB"	"TO"	"ε"	"ε"	"want"	"credit"	"for"	"your"	"employee"	"services"	"program"	"let"	"your"	"worker"	"know"	"what"	"they"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"be"	"to"	"shall"	"admission"	"shall_be"	"be_to"	"to_admission"	"representative_shall_be"	"shall_be_to"	"be_to_admission"	"to_admission_to"	"NN"	"MD"	"VB"	"VB"	"TO"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"secretary_of_the_interior"	"or"	"any"	"authorized"	"representative"	"shall"	"be"	"entitle"	"to"	"admission"	"to"	"and"	"to"	"require"	"report"	"from"	"the"	"operator"	"of"	"any"	"metal"	"or"	"nonmetallic"	"mine"	"which"	"be"	"in"	"a"	"state"	"exclude"	"any"	"coal"	"or"	"lignite"	"mine"	"the"	"product"	"of_which"	"regularly"	"enter"	"commerce"	"or"	"the"	"operation"	"of_which"	"substantially"	"affect"	"commerce"	"for"	"the"	"purpose"	"of"	"gather"	"datum"	"and"	"information"	"necessary"	"for"	"the"	"study"	"authorize"	"in"	"the"	"first"	"section"	"of_this"	"act"	
"2:41:00::"	"tax"	"you"	"social_security"	"to"	"social_security_tax"	"tax_you"	"you_to"	"and_social_security_tax"	"social_security_tax_you"	"tax_you_to"	"you_to_a"	"CC"	"NN"	"NN"	"VB"	"PRP"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"overpayment"	"of"	"and"	"social_security"	"tax"	"entitle"	"you"	"to"	"a"	"refund"	"unless"	"you"	"indicate"	"on"	"the"	"return"	"that"	"the"	"overpayment"	"should"	"be"	"apply"	"to"	"your"	"succeeding"	"year"	"estimated"	"tax"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"not"	"to"	"was"	"have"	"was_not"	"not_to"	"to_have"	"petitioner_was_not"	"was_not_to"	"not_to_have"	"to_have_the"	"NN"	"VBD"	"RB"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"petitioner"	"not"	"entitle"	"to"	"have"	"the"	"hearing_officer"	"note"	"and"	"report"	"especially"	"since"	"he"	"fail"	"to"	"show"	"any"	"particular"	"need"	"for"	"them"	"and"	"he"	"did"	"have"	"a"	"copy"	"of"	"the"	"group"	"recommendation"	"to"	"the"	"appeal_board"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"not"	","	"was"	"either"	"was_not"	"not_,"	",_either"	"petitioner_was_not"	"was_not_,"	"not_,_either"	",_either_in"	"NN"	"VBD"	"RB"	"VB"	"ε"	"DT"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"petitioner"	"not"	"entitle"	"either"	"in"	"the"	"administrative"	"hearing"	"at"	"the"	"group"	"or"	"at"	"his"	"trial"	"to"	"inspect"	"the"	"original"	"report"	"of"	"the"	"group"	"since"	"he"	"was"	"furnish"	"a"	"resume"	"of"	"it"	"did"	"not"	"challenge"	"its"	"accuracy"	"and"	"show"	"no"	"particular"	"need"	"for"	"the"	"original"	"report"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
