"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"
"2:35:00::"	"have"	"you"	"would"	"in"	"would_have"	"have_you"	"you_in"	"it_would_have"	"would_have_you"	"have_you_in"	"you_in_the"	"PRP"	"MD"	"VB"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"have"	"kill"	"you"	"in"	"the"	"cabin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"to"	"'"	"'"	"em"	"'_to"	"to_'"	"'_em"	"goin_'_to"	"'_to_'"	"to_'_em"	"'_em_-"	"VBG"	"ε"	"TO"	"VB"	"ε"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"goin"	"kill"	"em"	"kill"	"em"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"-"	"'"	"em"	"em"	"em_-"	"-_'"	"'_em"	"'_em_-"	"em_-_'"	"-_'_em"	"'_em_''"	"ε"	"PRP"	"ε"	"VB"	"ε"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"goin"	"to"	"kill"	"kill"	"em"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"shot"	"his"	"my"	"horse"	"my_shot"	"shot_his"	"his_horse"	"although_my_shot"	"my_shot_his"	"shot_his_horse"	"his_horse_,"	"IN"	"PRP$"	"NN"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"shot"	"kill"	"his"	"horse"	"he"	"roll"	"off"	"the"	"bale"	"on"	"top"	"of"	"me"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"have"	"you"	"'d"	"''"	"'d_have"	"have_you"	"you_''"	"i_'d_have"	"'d_have_you"	"have_you_''"	"you_''_."	"PRP"	"MD"	"VB"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"had"	"i"	"have"	"kill"	"you"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"that"	"these"	"us"	"aliens"	"us_that"	"that_these"	"these_aliens"	"not_us_that"	"us_that_these"	"that_these_aliens"	"these_aliens_."	"RB"	"PRP"	"WDT"	"VB"	"DT"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"suppose"	"it"	"be"	"us"	"that"	"kill"	"these"	"aliens"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"hostages"	"."	"the"	"∅"	"the_hostages"	"hostages_."	"._∅"	"see_the_hostages"	"the_hostages_."	"hostages_._∅"	"._∅_∅"	"VB"	"DT"	"NNS"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"take_off"	"or"	"the"	"hostages"	"kill"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"accidentally"	"a"	"has"	"man"	"has_accidentally"	"accidentally_a"	"a_man"	"who_has_accidentally"	"has_accidentally_a"	"accidentally_a_man"	"a_man_in"	"WP"	"VBZ"	"RB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"the"	"tale"	"of"	"one"	"an"	"american"	"who"	"has"	"accidentally"	"kill"	"a"	"man"	"in"	"the"	"prize_ring"	"and"	"is"	"now"	"try"	"to"	"forget"	"about"	"it"	"in"	"a"	"quiet"	"place"	"where"	"he"	"may"	"become"	"a"	"quiet"	"man"	
"2:35:00::"	"was"	"and"	"young_man"	"two"	"young_man_was"	"was_and"	"and_two"	"a_young_man_was"	"young_man_was_and"	"was_and_two"	"and_two_injure"	"DT"	"NN"	"VBD"	"VB"	"CC"	"CD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"was"	"kill"	"and"	"two"	"injure"	"at"	"midnight"	"friday"	"when"	"the"	"car"	"they"	"were"	"ride"	"slide"	"into"	"a"	"utility"	"pole"	"on"	"lake_avenue"	"near"	"waddell_street"	"ne"	"police"	"say"	"0"	"0"	"0"	"0"	
"2:35:00::"	"are"	"by"	"you"	"a"	"you_are"	"are_by"	"by_a"	"if_you_are"	"you_are_by"	"are_by_a"	"by_a_taxicab"	"IN"	"PRP"	"VBP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"once"	"hear"	"a"	"say"	"that"	"if"	"you"	"are"	"kill"	"by"	"a"	"taxicab"	"in"	"new_york"	"it"	"is"	"list"	"as"	"death"	"due_to"	"natural"	"causes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
