"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"
"2:40:00::"	"also"	"considerable"	"is"	"attention"	"is_also"	"also_considerable"	"considerable_attention"	"business_is_also"	"is_also_considerable"	"also_considerable_attention"	"considerable_attention_."	"NN"	"VBZ"	"RB"	"VB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"much"	"of"	"the"	"industrial_division"	"promotional"	"effort"	"is"	"devote"	"to"	"secure"	"locations"	"and"	"expansions"	"by"	"major"	"industries"	"small"	"business"	"is"	"also"	"afford"	"considerable"	"attention"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"cannot"	"to"	"producers"	"take_chances"	"producers_cannot"	"cannot_to"	"to_take_chances"	"-_producers_cannot"	"producers_cannot_to"	"cannot_to_take_chances"	"to_take_chances_."	"ε"	"NNS"	"MD"	"VB"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the_most"	"frequent"	"excuse"	"for"	"the"	"prevalence"	"of"	"unoriginals"	"tested"	"imports"	"be"	"increasing"	"production"	"expense"	"producers"	"cannot"	"afford"	"to"	"take_chances"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"ladder"	"."	"a"	"∅"	"a_ladder"	"ladder_."	"._∅"	"than_a_ladder"	"a_ladder_."	"ladder_._∅"	"._∅_∅"	"IN"	"DT"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"our"	"pools"	"also"	"have"	"wide"	"shallow"	"steps"	"for"	"the"	"benefit"	"of"	"the"	"littlest"	"swimmers"	"who"	"can"	"thus"	"be"	"introduce"	"to"	"water"	"with"	"far"	"greater"	"safety"	"than"	"a"	"ladder"	"afford"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"n't"	"to"	"can"	"pay"	"can_n't"	"n't_to"	"to_pay"	"i_can_n't"	"can_n't_to"	"n't_to_pay"	"to_pay_you"	"PRP"	"MD"	"RB"	"VB"	"TO"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"could"	"use"	"some"	"help"	"morgan"	"say"	"finally"	"i"	"can"	"n't"	"afford"	"to"	"pay"	"you"	"anything"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"by"	"a"	","	"safe"	",_by"	"by_a"	"a_safe"	"utility_,_by"	",_by_a"	"by_a_safe"	"a_safe_conveyance"	"NN"	"ε"	"IN"	"VB"	"DT"	"JJ"	"NN"	"bridge"	"over"	"merrimack_river"	"from"	"the"	"land"	"of"	"hon"	"ble"	"jonathan_greenleaf"	"esquire"	"in"	"newbery"	"to"	"deer_island"	"and"	"from"	"said"	"island"	"to"	"salisbury"	"would"	"be"	"of"	"very"	"extensive"	"utility"	"by"	"afford"	"safe"	"conveyance"	"to"	"carriages"	"teams"	"and"	"travellers"	"at_all"	"seasons"	"of"	"the"	"year"	"and"	"at_all_times"	"of"	"tide"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"can"	"with"	"you"	"such"	"you_can"	"can_with"	"with_such"	"as_you_can"	"you_can_with"	"can_with_such"	"with_such_areas"	"IN"	"PRP"	"MD"	"VB"	"IN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"new_england"	"deserve"	"as"	"much"	"of"	"vacation"	"time"	"as"	"you"	"can"	"afford"	"with"	"such"	"areas"	"as"	"cape_cod"	"provide"	"wonderful"	"beaches"	"artists"	"colonies"	"and"	"quaint"	"townships"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"can"	"."	"you"	"∅"	"you_can"	"can_."	"._∅"	"something_you_can"	"you_can_."	"can_._∅"	"._∅_∅"	"NN"	"PRP"	"MD"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"best_of_all"	"central"	"air"	"conditioning"	"something"	"you"	"can"	"afford"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"can"	"to"	"you"	"spend"	"you_can"	"can_to"	"to_spend"	"what_you_can"	"you_can_to"	"can_to_spend"	"to_spend_and"	"WP"	"PRP"	"MD"	"VB"	"TO"	"VB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"consider"	"you"	"can"	"afford"	"to"	"spend"	"and"	"what"	"your"	"goal"	"be"	"before"	"set_up"	"or"	"revamp"	"your"	"employee"	"benefit"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"has"	"to"	"congress"	"the"	"congress_has"	"has_to"	"to_the"	"which_congress_has"	"congress_has_to"	"has_to_the"	"to_the_marriage"	"WDT"	"NN"	"VBZ"	"VB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"by"	"make"	"inroad"	"in"	"the"	"name"	"law_enforcement"	"into"	"the"	"protection"	"which"	"congress"	"has"	"afford"	"to"	"the"	"marriage"	"relationship"	"the"	"court"	"today"	"continue"	"in"	"the"	"path"	"chart"	"by"	"the"	"recent"	"decision"	"in"	"wyatt_v._united_states"	"where"	"the"	"court"	"hold"	"that"	"under_the_circumstances"	"of"	"that"	"case"	"a"	"wife"	"could"	"be"	"compel"	"to"	"testify"	"against"	"her"	"husband"	"over"	"her"	"objection"	
"2:40:00::"	"recreation"	"by"	"the"	"it"	"the_recreation"	"recreation_by"	"by_it"	"and_the_recreation"	"the_recreation_by"	"recreation_by_it"	"by_it_be"	"CC"	"DT"	"NN"	"VB"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"amount"	"of"	"water"	"frontage"	"the"	"quantity"	"and"	"of"	"the"	"water"	"and"	"the"	"recreation"	"afford"	"by"	"it"	"be"	"important"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
