"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"
"5:00:02:specific:00"	"their"	"product"	"on"	"."	"on_their"	"their_product"	"product_."	"spend_on_their"	"on_their_product"	"their_product_."	"product_._∅"	"VB"	"IN"	"PRP$"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many"	"industry"	"trade"	"association"	"are"	"develop"	"campaign"	"to"	"protect"	"or"	"the"	"share"	"of"	"the"	"consumer"	"dollar"	"being"	"spend"	"on"	"their"	"particular"	"product"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:specific:00"	"the"	"feature"	"of"	"of"	"of_the"	"the_feature"	"feature_of"	"exploration_of_the"	"of_the_feature"	"the_feature_of"	"feature_of_the"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"in"	"any"	"inquiry"	"into"	"the"	"way"	"in"	"which"	"great"	"literature"	"affect"	"the"	"emotion"	"particularly"	"with_respect_to"	"the"	"sense"	"of"	"harmony"	"or"	"relief"	"of"	"tension"	"or"	"sense"	"of"	"a"	"transformed"	"inner"	"nature"	"which"	"may"	"occur"	"a"	"most"	"careful"	"exploration"	"the"	"particular"	"feature"	"of"	"the"	"experience"	"which"	"produce"	"the"	"effect"	"would"	"be"	"require"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"of"	"recite"	"recent"	"recite_the"	"the_of"	"of_recent"	"to_recite_the"	"recite_the_of"	"the_of_recent"	"of_recent_soviet"	"TO"	"VB"	"DT"	"NN"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"the"	"particular"	"of"	"recent"	"soviet"	"success"	"be"	"hardly"	"reassuring"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:individual:00"	"the"	"state"	"as"	"'s"	"as_the"	"the_state"	"state_'s"	"%_as_the"	"as_the_state"	"the_state_'s"	"state_'s_average"	"ε"	"IN"	"DT"	"JJ"	"NN"	"POS"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"for"	"each"	"state"	"except"	"virgin_islands"	"guam"	"and"	"puerto_rico"	"and"	"prior"	"to"	"alaska"	"and"	"hawaii"	"that"	"percentage"	"which"	"bear"	"same"	"ratio"	"to"	"as"	"the"	"particular"	"state"	"average"	"per_capita"	"income"	"bear"	"to"	"the"	"average"	"per_capita"	"income"	"of"	"the"	"u.s."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:individual:00"	"the"	"state"	"determine"	"'s"	"determine_the"	"the_state"	"state_'s"	"∅_determine_the"	"determine_the_state"	"the_state_'s"	"state_'s_``"	"ε"	"VB"	"DT"	"JJ"	"NN"	"POS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"particular"	"state"	"allotment"	"percentage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:individual:00"	"the"	"state"	"determine"	"'s"	"determine_the"	"the_state"	"state_'s"	"∅_determine_the"	"determine_the_state"	"the_state_'s"	"state_'s_unadjusted"	"ε"	"VB"	"DT"	"JJ"	"NN"	"POS"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"particular"	"state"	"unadjusted"	"allotment"	"for"	"the"	"particular"	"fiscal_year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:individual:00"	"the"	"fiscal_year"	"for"	"."	"for_the"	"the_fiscal_year"	"fiscal_year_."	"allotment_for_the"	"for_the_fiscal_year"	"the_fiscal_year_."	"fiscal_year_._∅"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"the"	"particular"	"state"	"allotment"	"for"	"the"	"particular"	"fiscal_year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:individual:00"	"the"	"state"	"if"	"'s"	"if_the"	"the_state"	"state_'s"	"determine_if_the"	"if_the_state"	"the_state_'s"	"state_'s_unadjusted"	"VB"	"IN"	"DT"	"JJ"	"NN"	"POS"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"the"	"particular"	"state"	"unadjusted"	"allotment"	"result"	"obtain"	"in"	"item"	"above"	"be"	"great"	"than"	"its"	"maximum"	"allotment"	"and"	"if"	"so"	"lower"	"its"	"unadjusted"	"allotment"	"to"	"its"	"maximum"	"allotment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:individual:00"	"the"	"state"	"if"	"'s"	"if_the"	"the_state"	"state_'s"	"determine_if_the"	"if_the_state"	"the_state_'s"	"state_'s_unadjusted"	"VB"	"IN"	"DT"	"JJ"	"NN"	"POS"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"the"	"particular"	"state"	"unadjusted"	"allotment"	"result"	"obtain"	"in"	"item"	"above"	"be"	"less_than"	"its"	"minimum"	"base"	"allotment"	"and"	"if"	"so"	"raise"	"its"	"unadjusted"	"allotment"	"to"	"its"	"minimum"	"allotment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:individual:00"	"the"	"state"	"as"	"'s"	"as_the"	"the_state"	"state_'s"	"%_as_the"	"as_the_state"	"the_state_'s"	"state_'s_average"	"ε"	"IN"	"DT"	"JJ"	"NN"	"POS"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"for"	"each"	"state"	"except"	"the"	"virgin_islands"	"guam"	"puerto_rico"	"and"	"prior"	"to"	"alaska"	"and"	"hawaii"	"that"	"percentage"	"which"	"bear"	"the"	"same"	"to"	"as"	"the"	"particular"	"state"	"average"	"per_capita"	"income"	"bear"	"to"	"the"	"average"	"per_capita"	"income"	"of"	"the"	"united_states"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
