"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"
"2:30:00::"	"and"	"copy"	","	"for"	",_and"	"and_copy"	"copy_for"	"''_,_and"	",_and_copy"	"and_copy_for"	"copy_for_a"	"ε"	"ε"	"CC"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"industrial_division"	"publish"	"in"	"a"	"new"	"attractive"	"industrial"	"brochure"	"rhode_island"	"right"	"industry"	"and"	"prepare"	"copy"	"for"	"a"	"new_edition"	"of"	"the"	"directory"	"of"	"manufacturers"	"to"	"be"	"print"	"shortly"	"and"	"for"	"a"	"new"	"space"	"catalogue"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"in"	"the"	"∅"	"state"	"∅_in"	"in_the"	"the_state"	"∅_∅_in"	"∅_in_the"	"in_the_state"	"the_state_guide"	"ε"	"ε"	"IN"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"prepare"	"the"	"state"	"guide"	"plan"	"particular"	"attention"	"will"	"be"	"give"	"means"	"of"	"strengthen"	"the"	"economy"	"of"	"the"	"state"	"through"	"the"	"development"	"of"	"industry"	"and"	"recreation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"to"	"two"	"be"	"series"	"be_to"	"to_two"	"two_series"	"has_be_to"	"be_to_two"	"to_two_series"	"two_series_of"	"VBZ"	"VB"	"TO"	"VB"	"CD"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"accurate"	"base"	"maps"	"be"	"necessary"	"for"	"any"	"planning"	"program"	"the"	"first_step"	"take"	"the"	"planning"	"division"	"to"	"implement"	"the"	"long"	"range"	"state"	"plan"	"has"	"be"	"to"	"prepare"	"two"	"series"	"of"	"base"	"maps"	"one"	"at"	"a"	"scale"	"of"	"inch"	"to"	"a"	"mile"	"and"	"the"	"second"	"a"	"series"	"of"	"sheets"	"at"	"a"	"scale"	"of"	"inch"	"to"	"feet"	"cover"	"the"	"entire"	"state"	
"2:30:00::"	"and"	"to"	"majority"	"choke_off"	"majority_and"	"and_to"	"to_choke_off"	"slim_majority_and"	"majority_and_to"	"and_to_choke_off"	"to_choke_off_debate"	"JJ"	"NN"	"CC"	"VB"	"TO"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"arm"	"with"	"the"	"nixon"	"opinion"	"the"	"liberals"	"round_up"	"their"	"slim"	"majority"	"and"	"prepare"	"to"	"choke_off"	"debate"	"on"	"the"	"filibuster"	"battle"	"this"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"had"	"one"	"cooks"	"of"	"cooks_had"	"had_one"	"one_of"	"the_cooks_had"	"cooks_had_one"	"had_one_of"	"one_of_the"	"DT"	"NNS"	"VBD"	"VB"	"CD"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"had"	"prepare"	"one"	"of"	"the"	"best"	"meals"	"we"	"have"	"in"	"a"	"long_time"	"and"	"on"	"montero"	"orders"	"had"	"bake"	"enough"	"bread"	"to"	"last"	"the"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"and"	"contingency"	"up"	"plans"	"up_and"	"and_contingency"	"contingency_plans"	"steamed_up_and"	"up_and_contingency"	"and_contingency_plans"	"contingency_plans_for"	"JJ"	"RB"	"CC"	"VB"	"NN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"seato"	"be"	"up"	"and"	"prepare"	"contingency"	"plans"	"for"	"cope_with"	"the"	"military"	"losses"	"in"	"laos"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	","	"garlic_bread"	"salad"	","	"salad_,"	",_garlic_bread"	"garlic_bread_,"	"a_salad_,"	"salad_,_garlic_bread"	",_garlic_bread_,"	"garlic_bread_,_or"	"DT"	"NN"	"ε"	"VB"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"whatever"	"kitchen"	"work"	"fix"	"a"	"salad"	"prepare"	"garlic_bread"	"or"	"make"	"a"	"marinade"	"sauce"	"ahead_of_time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"to"	"mustard"	"∅"	"cream"	"∅_to"	"to_mustard"	"mustard_cream"	"∅_∅_to"	"∅_to_mustard"	"to_mustard_cream"	"mustard_cream_,"	"ε"	"ε"	"TO"	"VB"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"prepare"	"mustard"	"cream"	"blend"	"mustard"	"with"	"enough"	"water"	"to"	"make"	"a"	"thin"	"paste"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"be"	"to"	"must"	"give"	"must_be"	"be_to"	"to_give"	",_must_be"	"must_be_to"	"be_to_give"	"to_give_long-term"	"ε"	"MD"	"VB"	"VB"	"TO"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"less"	"developed"	"countries"	"be"	"to"	"be"	"persuade"	"to"	"adopt"	"a"	"long-term"	"the"	"united_states"	"as"	"the"	"principal"	"supplier"	"of"	"external"	"aid"	"must"	"be"	"prepare"	"to"	"give"	"long-term"	"commitments"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"prospects"	"for"	"economic"	"the"	"economic_prospects"	"prospects_for"	"for_the"	"'s_economic_prospects"	"economic_prospects_for"	"prospects_for_the"	"for_the_construction_industry"	"POS"	"JJ"	"NNS"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"study"	"of"	"the"	"area"	"economic"	"prospects"	"prepare"	"for"	"the"	"construction_industry"	"joint_conference"	"confirm"	"and"	"reinforce"	"both"	"the"	"findings"	"of"	"the"	"metropolitan"	"st._louis"	"survey"	"of"	"and"	"the"	"easily"	"observed"	"picture"	"of"	"the"	"missouri-illinois"	"countryside"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
