"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"
"1:14:00::"	"a"	"of"	"in"	"well-kept"	"in_a"	"a_of"	"of_well-kept"	"farm_in_a"	"in_a_of"	"a_of_well-kept"	"of_well-kept_home"	"NN"	"IN"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"look_for"	"a"	"in"	"a"	"neighborhood"	"of"	"well-kept"	"home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"metropolitan"	";"	"in"	"the"	"in_metropolitan"	"metropolitan_;"	";_the"	"contact_in_metropolitan"	"in_metropolitan_;"	"metropolitan_;_the"	";_the_majority"	"NN"	"IN"	"JJ"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"missionary"	"outreach"	"by"	"friendly"	"contact"	"look"	"somewhat"	"different"	"when"	"reflect"	"on"	"what"	"is"	"known"	"about"	"friendly"	"contact"	"in"	"metropolitan"	"neighborhood"	"the"	"majority"	"of"	"such"	"contact"	"be"	"with"	"people"	"of"	"similar"	"social"	"and"	"economic"	"association"	"by"	"level"	"of"	"achievement"	"be"	"the"	"dominant"	"principle"	"of"	"informal"	"relations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"night"	"card"	"thursday"	"party"	"thursday_night"	"night_card"	"card_party"	"the_thursday_night"	"thursday_night_card"	"night_card_party"	"card_party_."	"DT"	"NN"	"NN"	"NN"	"NN"	"NN"	"ε"	"describe"	"by"	"a"	"new_york"	"psychologist"	"so"	"dominate"	"her"	"husband"	"that"	"she"	"actually"	"placed"	"their"	"sexual_relationship"	"on"	"a"	"schedule"	"write_down"	"it"	"down"	"right"	"between"	"the"	"weekly"	"group"	"meeting"	"and"	"thursday"	"night"	"card"	"party"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"he"	"in"	"had"	"in_the"	"the_he"	"he_had"	"pond_in_the"	"in_the_he"	"the_he_had"	"he_had_n't"	"NN"	"IN"	"DT"	"NN"	"PRP"	"VBD"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"up-to-date"	"however"	"his"	"garden"	"be"	"still"	"more_or_less"	"of"	"a"	"mess"	"he"	"had"	"n't"	"even"	"start"	"his"	"workshop"	"and"	"if"	"was"	"a"	"meadow"	"pond"	"in"	"the"	"neighborhood"	"he"	"had"	"n't"	"find"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"of"	"and"	"cage"	"family"	"cage_of"	"of_and"	"and_family"	"the_cage_of"	"cage_of_and"	"of_and_family"	"and_family_."	"DT"	"NN"	"IN"	"NN"	"CC"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"most"	"group"	"student"	"college"	"be"	"at_once"	"a"	"perpetuation"	"of"	"ethnic"	"attachment"	"and"	"a"	"breaking_away"	"from"	"the"	"cage"	"of"	"neighborhood"	"and"	"family"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"and"	"friend"	"school"	","	"school_and"	"and_friend"	"friend_,"	"my_school_and"	"school_and_friend"	"and_friend_,"	"friend_,_during"	"PRP$"	"NN"	"CC"	"NN"	"NN"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"among"	"school"	"and"	"neighborhood"	"friend"	"during"	"the"	"next"	"month"	"i"	"brag"	"and"	"swagger"	"and"	"pompously"	"describe"	"my"	"impending"	"date"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"some"	"in"	"in"	"the"	"in_some"	"some_in"	"in_the"	"∅_in_some"	"in_some_in"	"some_in_the"	"in_the_f-plane"	"ε"	"IN"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"neighborhood"	"in"	"the"	"f-plane"	"of"	"any"	"ordinary"	"point"	"of"	"the"	"graph"	"the"	"function"	"f"	"be"	"a"	"single"	"valued"	"continuous"	"function"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"some"	"."	"in"	"∅"	"in_some"	"some_."	"._∅"	"valued_in_some"	"in_some_."	"some_._∅"	"._∅_∅"	"JJ"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"first"	"show"	"that"	"the"	"be"	"single"	"valued"	"in"	"some"	"neighborhood"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"some"	"of"	"in"	"an"	"in_some"	"some_of"	"of_an"	"∅_in_some"	"in_some_of"	"some_of_an"	"of_an_isolated"	"ε"	"IN"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"neighborhood"	"of"	"an"	"isolated"	"tangent"	"point"	"in"	"the"	"f-plane"	"say"	"the"	"function"	"be"	"either"	"double"	"valued"	"or"	"have"	"no"	"value"	"define"	"except"	"at"	"the"	"tangent"	"point"	"itself"	"where"	"it"	"be"	"single"	"valued"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"of"	"in"	"the"	"in_the"	"the_of"	"of_the"	"micrometeorite_in_the"	"in_the_of"	"the_of_the"	"of_the_earth"	"NN"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"flux"	"micrometeorite"	"in"	"the"	"neighborhood"	"of"	"the"	"earth"	"can"	"be"	"estimate"	"by"	"extrapolation"	"from"	"radar"	"and"	"visual"	"meteor"	"data"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
