"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"
"1:14:00::"	"this"	"be"	"∅"	"the"	"∅_this"	"this_be"	"be_the"	"∅_∅_this"	"∅_this_be"	"this_be_the"	"be_the_start"	"ε"	"ε"	"DT"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dinner"	"be"	"the"	"start"	"of"	"a"	"new"	"blatancy"	"in"	"the"	"relationship"	"between"	"the"	"gang"	"and"	"the"	"politician"	"which"	"prior"	"to"	"say"	"person"	"had"	"been"	"maintain"	"with"	"more_or_less"	"stealth"	"but"	"which"	"henceforth"	"was"	"mark"	"by"	"these"	"ostentatious"	"gathering"	"denounce"	"by"	"a"	"clergyman"	"as"	"belshazzar"	"feast"	"at"	"which"	"politician"	"fraternize"	"cheek_by_jowl"	"with"	"gangster"	"openly"	"in"	"the"	"big"	"downtown"	"hotel"	
"1:13:00::"	"for"	"and"	"come_in"	"sometimes"	"come_in_for"	"for_and"	"and_sometimes"	"not_come_in_for"	"come_in_for_and"	"for_and_sometimes"	"and_sometimes_not"	"RB"	"VB"	"VB"	"NN"	"CC"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"gone"	"all"	"now"	"not"	"come_in"	"for"	"dinner"	"and"	"sometimes"	"not"	"for"	"supper"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:13:00::"	"good"	"."	"a"	"∅"	"a_good"	"good_."	"._∅"	"before_a_good"	"a_good_."	"good_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"surprise"	"however"	"their"	"host"	"give"	"them"	"fresh"	"clothes"	"to"	"put_on"	"open"	"his"	"purse"	"to"	"lend"	"them"	"money"	"and"	"sit_down"	"them"	"before"	"a"	"good"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:13:00::"	"after"	","	"immediately"	"however"	"immediately_after"	"after_,"	",_however"	"∅_immediately_after"	"immediately_after_,"	"after_,_however"	",_however_,"	"ε"	"RB"	"IN"	"NN"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"dinner"	"however"	"rousseau"	"ask"	"for"	"still"	"another"	"favor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:13:00::"	"to"	"."	"come"	"∅"	"come_to"	"to_."	"._∅"	"'s_come_to"	"come_to_."	"to_._∅"	"._∅_∅"	"POS"	"VB"	"VB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"friend"	"of"	"father"	"come"	"to"	"dinner"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:13:00::"	"have"	"with"	"and"	"more_than"	"and_have"	"have_with"	"with_more_than"	"hollywood_and_have"	"and_have_with"	"have_with_more_than"	"with_more_than_100"	"NN"	"CC"	"VB"	"NN"	"IN"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"earlier"	"this"	"month"	"person"	"director"	"of"	"the"	"come"	"to"	"hollywood"	"and"	"have"	"dinner"	"with"	"more_than"	"leader"	"of"	"the"	"motion_picture"	"industry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:13:00::"	"annual"	"and"	"thirty-eighth"	"show"	"thirty-eighth_annual"	"annual_and"	"and_show"	"'s_thirty-eighth_annual"	"thirty-eighth_annual_and"	"annual_and_show"	"and_show_of"	"POS"	"JJ"	"JJ"	"NN"	"CC"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"announcement"	"of"	"a"	"special"	"achievement"	"award"	"to"	"person"	"the"	"award"	"list"	"was"	"complete"	"yesterday"	"for"	"night"	"thirty-eighth"	"annual"	"dinner"	"and"	"show"	"of"	"the"	"new_york"	"chapter"	"group"	"at"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"award"	"of"	"national"	"the"	"national_award"	"award_of"	"of_the"	"the_national_award"	"national_award_of"	"award_of_the"	"of_the_group"	"DT"	"JJ"	"NN"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"and"	"person"	"will"	"be"	"those"	"honor"	"at"	"the"	"national"	"award"	"dinner"	"of"	"the"	"group"	"tonight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:13:00::"	"to"	"at"	"out"	"a"	"out_to"	"to_at"	"at_a"	"me_out_to"	"out_to_at"	"to_at_a"	"at_a_swell"	"PRP"	"RB"	"TO"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"take_out"	"person"	"me"	"out"	"to"	"dinner"	"at"	"a"	"swell"	"steakhouse"	"and"	"tell"	"us"	"with"	"tears"	"in"	"his"	"eye"	"how"	"happy"	"he"	"be"	"we"	"had"	"come"	"together"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:13:00::"	"her"	"into"	"bring"	"the"	"bring_her"	"her_into"	"into_the"	"person_bring_her"	"bring_her_into"	"her_into_the"	"into_the_dining_room"	"NNP"	"VB"	"PRP$"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"nephew"	"will"	"be"	"come_down"	"she"	"say"	"evening"	"as"	"person"	"bring"	"her"	"dinner"	"into"	"the"	"dining_room"	"the"	"whole"	"meal"	"on"	"a"	"vast"	"linen"	"covered"	"tray"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
