"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"
"2:30:01::"	"or"	"the"	"head"	"key"	"head_or"	"or_the"	"the_key"	"press_head_or"	"head_or_the"	"or_the_key"	"the_key_to"	"NN"	"NN"	"CC"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"manufacturers"	"have"	"have"	"the"	"foresight"	"to"	"provide"	"a"	"socket"	"for"	"the"	"chuck"	"key"	"you"	"have_to"	"spend"	"a_few"	"minutes"	"to"	"either"	"attach"	"a"	"suitable"	"clip"	"somewhere"	"on"	"the"	"press"	"head"	"or"	"fit"	"the"	"key"	"to"	"a"	"length"	"of"	"light"	"chain"	"and"	"fasten"	"to"	"the"	"bottom"	"of"	"the"	"motor"	"mount"	"so_that"	"the"	"key"	"be"	"out_of_the_way"	"when"	"not"	"in_use"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:02::"	"teeth"	"together"	"way"	"when"	"way_teeth"	"teeth_together"	"together_when"	"the_way_teeth"	"way_teeth_together"	"teeth_together_when"	"together_when_the"	"DT"	"NN"	"NNS"	"VB"	"RB"	"WRB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"occlusion"	"be"	"the"	"dentist"	"for"	"the"	"way"	"teeth"	"fit"	"together"	"when"	"the"	"jaws"	"be"	"closed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:02::"	"to"	"together"	"teeth"	"when"	"teeth_to"	"to_together"	"together_when"	"of_teeth_to"	"teeth_to_together"	"to_together_when"	"together_when_closed"	"IN"	"NNS"	"TO"	"VB"	"JJ"	"WRB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"failure"	"teeth"	"to"	"fit"	"together"	"when"	"closed"	"interfere"	"with"	"normal"	"chewing"	"so_that"	"a"	"child"	"may"	"swallow"	"food"	"whole"	"and"	"put"	"a"	"burden"	"on"	"his"	"digestive_system"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:04::"	"even"	"the"	"not"	"present"	"not_even"	"even_the"	"the_present"	"does_not_even"	"not_even_the"	"even_the_present"	"the_present_realities"	"VBZ"	"RB"	"RB"	"VB"	"DT"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"narrow"	"professionalism"	"not"	"even"	"fit"	"the"	"present"	"realities"	"of"	"their"	"situation"	"as"	"the"	"pressure"	"of"	"minorities"	"and"	"the"	"power"	"and"	"respectability"	"of"	"the"	"realtors"	"increase"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:02::"	"being"	"over"	"is"	"the"	"is_being"	"being_over"	"over_the"	"and_is_being"	"is_being_over"	"being_over_the"	"over_the_white_house"	"CC"	"VBZ"	"VBG"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"mantel"	"was"	"find"	"in"	"a"	"demolished"	"salem"	"house"	"and"	"is"	"being"	"fit"	"over"	"the"	"white_house"	"library"	"fireplace"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"∅"	"the"	"∅"	"locking"	"∅_∅"	"∅_the"	"the_locking"	"∅_∅_∅"	"∅_∅_the"	"∅_the_locking"	"the_locking_bars"	"ε"	"ε"	"ε"	"VB"	"DT"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"locking"	"bars"	"and"	"make"	"the"	"locking"	"pieces"	"be"	"a"	"rather"	"tedious"	"job"	"since"	"stop"	"screws"	"tappets"	"and"	"locking"	"bars"	"must"	"be"	"remove"	"and"	"replace"	"many_times"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:05::"	"to"	"into"	"furniture"	"rooms"	"furniture_to"	"to_into"	"into_rooms"	"the_furniture_to"	"furniture_to_into"	"to_into_rooms"	"into_rooms_with"	"DT"	"NN"	"TO"	"VB"	"IN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"walnut"	"wormy"	"chestnut"	"pecan"	"three"	"varieties"	"of"	"burl"	"hand-woven"	"philippine"	"cane"	"ceramic"	"tiles"	"marble"	"are"	"use"	"to"	"emphasize"	"the"	"feeling"	"of"	"and"	"of"	"permanence"	"the"	"furniture"	"to"	"fit"	"into"	"rooms"	"with"	"tiled"	"floors"	"brick"	"or"	"paneled"	"walls"	"windows"	"that"	"bring_in"	"the"	"outdoors"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"to"	"everything"	"efforts"	"into"	"efforts_to"	"to_everything"	"everything_into"	"subsequent_efforts_to"	"efforts_to_everything"	"to_everything_into"	"everything_into_numerical"	"JJ"	"NNS"	"TO"	"VB"	"NN"	"IN"	"JJ"	"emphasis"	"on"	"centrality"	"and"	"on"	"the"	"number"	"as"	"a"	"symbolic"	"expression"	"of"	"the"	"center"	"which"	"seem"	"to"	"have"	"begin"	"as"	"far"	"back"	"as"	"b._c."	"also"	"may"	"conceivably"	"have"	"lead"	"to"	"the"	"development"	"of"	"the"	"five-elements_school"	"and"	"subsequent"	"efforts"	"to"	"everything"	"into"	"numerical"	"categories"	"of"	"five"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:ready:00"	"see"	"to"	"only"	"consult"	"only_see"	"see_to"	"to_consult"	"had_only_see"	"only_see_to"	"see_to_consult"	"to_consult_person"	"VBD"	"RB"	"VB"	"JJ"	"TO"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"prepared"	"to"	"be"	"helpful"	"in"	"what"	"he"	"refer"	"to"	"with"	"fastidious"	"distaste"	"as"	"this"	"unfortunate"	"person"	"affair"	"which"	"not"	"he"	"say"	"more"	"than"	"once"	"have"	"ever"	"if"	"person"	"had"	"only"	"see"	"fit"	"to"	"consult"	"person"	"or"	"him"	"about"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:ready:00"	"horse"	"to"	"his"	"kill"	"his_horse"	"horse_to"	"to_kill"	"whip_his_horse"	"his_horse_to"	"horse_to_kill"	"to_kill_."	"VB"	"PRP$"	"NN"	"JJ"	"JJ"	"NN"	"ε"	"the"	"gunfire"	"which"	"be"	"so"	"near"	"that"	"it"	"seem"	"just"	"a"	"piece"	"up"	"the"	"road"	"now"	"stop"	"for"	"long"	"enough"	"to"	"count"	"to"	"twenty"	"and"	"in"	"that"	"brief"	"interval"	"a"	"redcoat"	"officer"	"come"	"tear"	"down"	"road"	"whip"	"his"	"horse"	"to"	"kill"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
