"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"
"2:30:00::"	"all"	"."	"not"	"∅"	"not_all"	"all_."	"._∅"	"have_not_all"	"not_all_."	"all_._∅"	"._∅_∅"	"VBP"	"RB"	"DT"	"VB"	"ε"	"ε"	"ε"	"all"	"the"	"buildings"	"have"	"not"	"fall"	"and"	"flow"	"back"	"to"	"their"	"original"	"mud"	"so"	"the"	"values"	"which"	"want"	"them"	"and"	"see"	"that"	"they"	"were_built"	"have"	"all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"will"	"."	"this"	"∅"	"this_will"	"will_."	"._∅"	"short_time_this_will"	"this_will_."	"will_._∅"	"._∅_∅"	"NN"	"DT"	"MD"	"VB"	"ε"	"ε"	"ε"	"during"	"the"	"first"	"few"	"days"	"of"	"wear"	"the"	"appliance"	"and"	"immediately"	"following"	"each"	"adjustment"	"susan"	"may"	"have"	"a"	"slight"	"discomfort"	"or"	"soreness"	"but"	"after"	"short_time"	"this"	"disappear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"that"	"permanently"	"songs"	"en_route"	"songs_that"	"that_permanently"	"permanently_en_route"	"hart_songs_that"	"songs_that_permanently"	"that_permanently_en_route"	"permanently_en_route_to"	"NNP"	"NNS"	"WDT"	"VB"	"RB"	"RB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"several"	"of"	"these"	"double_entries"	"have"	"been"	"collect"	"by"	"ben_bagley"	"michael_mcwhinney"	"along"	"with"	"rodgers"	"and"	"hart"	"songs"	"that"	"disappear"	"permanently"	"en_route"	"to"	"new_york"	"and_others"	"that"	"reach"	"broadway"	"but"	"have"	"not"	"become"	"part"	"of"	"the"	"constantly"	"hear"	"rodgers"	"and"	"hart"	"repertory"	"in"	"a"	"delightfully"	"refreshing"	"album"	"rodgers"	"and"	"hart_revisited"	"spruce"	"records"	"fifth_avenue"	"new_york"	
"2:30:00::"	"diane"	"from"	"trial"	"new_york"	"trial_diane"	"diane_from"	"from_new_york"	"the_trial_diane"	"trial_diane_from"	"diane_from_new_york"	"from_new_york_."	"DT"	"NN"	"NNP"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"end"	"the"	"trial"	"diane"	"disappear"	"from"	"new_york"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"moon"	","	"the"	"the"	"the_moon"	"moon_,"	",_the"	"before_the_moon"	"the_moon_,"	"moon_,_the"	",_the_frightened"	"IN"	"DT"	"NN"	"VB"	"ε"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"din"	"be"	"successful"	"too"	"just"	"before"	"the"	"moon"	"disappear"	"the"	"frightened"	"toad"	"had"	"begin"	"to"	"spit_out"	"it"	"out"	"again"	"which"	"mean"	"good_luck"	"all"	"around"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"entirely"	"."	"almost"	"∅"	"almost_entirely"	"entirely_."	"._∅"	"has_almost_entirely"	"almost_entirely_."	"entirely_._∅"	"._∅_∅"	"VBZ"	"RB"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"modern"	"english"	"whodunit"	"this"	"insinuation"	"of"	"latent"	"in"	"the"	"detective"	"himself"	"has"	"almost"	"entirely"	"disappear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"still"	"."	"were"	"∅"	"were_still"	"still_."	"._∅"	"cattle_were_still"	"were_still_."	"still_._∅"	"._∅_∅"	"NN"	"VBD"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"in"	"the"	"very"	"area"	"where"	"the"	"had"	"been"	"do"	"cattle"	"were"	"still"	"disappear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"person"	"into"	"when"	"the"	"when_person"	"person_into"	"into_the"	"steps_when_person"	"when_person_into"	"person_into_the"	"into_the_building"	"NN"	"WRB"	"NNP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"person"	"had"	"not"	"the"	"front"	"steps"	"when"	"person"	"disappear"	"into"	"the"	"building"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"it"	"into"	"then"	"the"	"then_it"	"it_into"	"into_the"	"∅_then_it"	"then_it_into"	"it_into_the"	"into_the_wing"	"ε"	"RB"	"PRP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"disappear"	"into"	"the"	"wing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"drawing_room"	"forever"	"the"	"with"	"the_drawing_room"	"drawing_room_forever"	"forever_with"	"that_the_drawing_room"	"the_drawing_room_forever"	"drawing_room_forever_with"	"forever_with_the"	"IN"	"DT"	"NN"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"you"	"must"	"have"	"hear"	"say"	"that"	"the"	"drawing_room"	"disappear"	"forever"	"with"	"the"	"somnolent"	"year"	"of"	"person"	"and"	"the"	"antic"	"heyday"	"of"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"long"	"."	"has"	"∅"	"has_long"	"long_."	"._∅"	"day_has_long"	"has_long_."	"long_._∅"	"._∅_∅"	"NN"	"VBZ"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"necessity"	"of"	"day"	"has"	"long"	"disappear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"have"	"from"	"would"	"interplanetary_space"	"would_have"	"have_from"	"from_interplanetary_space"	"micrometeorite_would_have"	"would_have_from"	"have_from_interplanetary_space"	"from_interplanetary_space_."	"NN"	"MD"	"VB"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"since"	"there"	"be"	"a"	"continual"	"loss"	"of"	"micrometeoritic"	"material"	"in"	"space"	"because"	"of"	"the"	"radiation"	"effect"	"there"	"must"	"be"	"a"	"continual"	"replenishment"	"micrometeorite"	"would"	"disappear"	"from"	"interplanetary_space"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
