"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"
"1:15:02::"	"the"	"be"	"of"	"n't"	"of_the"	"the_be"	"be_n't"	"tour_of_the"	"of_the_be"	"the_be_n't"	"be_n't_all"	"NN"	"IN"	"DT"	"NN"	"VB"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"our"	"tour"	"of"	"the"	"south"	"be"	"n't"	"all"	"misery"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"the"	","	"and"	"it"	"and_the"	"the_,"	",_it"	"mississippi_and_the"	"and_the_,"	"the_,_it"	",_it_be"	"NN"	"CC"	"DT"	"NN"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"in"	"look_at"	"person"	"against"	"background"	"in"	"mississippi"	"and"	"the"	"south"	"it"	"be"	"important"	"not"	"to"	"lose"	"the"	"broad"	"perspective"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"go"	"across"	"and"	"the"	"and_go"	"go_across"	"across_the"	"ship_and_go"	"and_go_across"	"go_across_the"	"across_the_location"	"NN"	"CC"	"VB"	"RB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"take"	"ship"	"and"	"go"	"south"	"across"	"the"	"location"	"and"	"along"	"the"	"north"	"coast"	"of"	"location"	"to"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"mile"	"of"	"hundred"	"location"	"hundred_mile"	"mile_of"	"of_location"	"seven_hundred_mile"	"hundred_mile_of"	"mile_of_location"	"of_location_,"	"JJ"	"JJ"	"NN"	"RB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"seven"	"mile"	"south"	"of"	"location"	"at"	"the"	"location"	"of"	"the"	"red"	"and"	"the"	"location"	"twenty-three"	"man"	"locate"	"a"	"settlement"	"in"	"august"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"and"	"of"	"north"	"the"	"north_and"	"and_of"	"of_the"	"both_north_and"	"north_and_of"	"and_of_the"	"of_the_49"	"DT"	"RB"	"CC"	"RB"	"IN"	"DT"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"trade"	"in"	"a_few"	"commodity"	"note"	"above"	"was"	"to"	"in"	"volume"	"as"	"a"	"result"	"of"	"change"	"both"	"north"	"and"	"south"	"of"	"the"	"th"	"parallel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"the"	"argue"	","	"that"	",_the"	"the_argue"	"argue_that"	"year_,_the"	",_the_argue"	"the_argue_that"	"argue_that_the"	"NN"	"ε"	"DT"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"pre"	"year"	"the"	"south"	"argue"	"that"	"the"	"slave"	"was"	"not"	"less"	"humanely"	"treat"	"than"	"the"	"factory_worker"	"of"	"the"	"north"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"the"	"and"	"in"	"has"	"in_the"	"the_and"	"and_has"	"grow_up_in_the"	"in_the_and"	"the_and_has"	"and_has_spend"	"VB"	"IN"	"DT"	"NN"	"CC"	"VBZ"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"dear"	"respected"	"friend"	"of"	"mine"	"like"	"myself"	"grow_up"	"in"	"the"	"south"	"and"	"has"	"spend"	"many"	"year"	"in"	"new_england"	"say"	"to"	"me"	"not_long"	"ago"	"i"	"can"	"n't"	"forgive"	"new_england"	"for"	"reject"	"all"	"complicity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"turn"	"into"	"to"	"what"	"to_turn"	"turn_into"	"into_what"	"force_to_turn"	"to_turn_into"	"turn_into_what"	"into_what_be"	"VB"	"TO"	"VB"	"RB"	"IN"	"WP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"berg"	"grow"	"large"	"was"	"force"	"to"	"turn"	"south"	"into"	"what"	"be"	"now"	"location"	"an"	"inlet"	"of"	"the"	"great"	"strait"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"lead"	"along"	"road"	"the"	"road_lead"	"lead_along"	"along_the"	"the_road_lead"	"road_lead_along"	"lead_along_the"	"along_the_river"	"DT"	"NN"	"VB"	"JJ"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"lead"	"south"	"along"	"the"	"river"	"be"	"shaded"	"with"	"old"	"tree"	"and"	"in"	"the"	"moonlight"	"the"	"silvery"	"landscape"	"be"	"like"	"a"	"setting"	"for"	"troll"	"and"	"wood"	"god"	"rather_than"	"the"	"hudson_river"	"valley"	"of"	"his"	"boyhood"	"memory"	
"1:15:01::"	"the"	"."	"toward"	"∅"	"toward_the"	"the_."	"._∅"	"attitude_toward_the"	"toward_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"am"	"concern"	"here"	"however"	"with"	"the"	"liberal"	"attitude"	"toward"	"the"	"south"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"the"	"up_against"	"in"	"segregationist"	"in_the"	"the_up_against"	"up_against_segregationist"	"liberal_in_the"	"in_the_up_against"	"the_up_against_segregationist"	"up_against_segregationist_prejudice"	"NN"	"IN"	"DT"	"NN"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"account"	"have"	"been"	"publish"	"northern"	"liberal"	"in"	"the"	"south"	"up_against"	"segregationist"	"prejudice"	"especially"	"in"	"state-supported"	"university"	"where"	"pressure"	"may"	"be"	"strong"	"to"	"uphold"	"the"	"majority"	"view"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"many"	";"	"of_course"	"but"	"of_course_many"	"many_;"	";_but"	"be_of_course_many"	"of_course_many_;"	"many_;_but"	";_but_for"	"VB"	"RB"	"JJ"	"NN"	"ε"	"CC"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"of_course"	"many"	"south"	"but"	"for"	"this"	"discussion"	"the"	"most"	"important"	"division"	"be"	"between"	"those"	"who"	"have"	"been"	"reconstruct"	"and"	"those"	"who"	"have"	"n't"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
