"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"
"1:15:00::"	"county"	"be"	"any"	"like"	"any_county"	"county_be"	"be_like"	"of_any_county"	"any_county_be"	"county_be_like"	"be_like_this"	"IN"	"DT"	"NN"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"street"	"any"	"county"	"town"	"be"	"like"	"this"	"on"	"any"	"sunshiny"	"afternoon"	"in"	"summer"	"they"	"be"	"like"	"this"	"fifty"	"odd"	"year"	"ago"	"and"	"yesterday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"in"	"."	"live"	"∅"	"live_in"	"in_."	"._∅"	"to_live_in"	"live_in_."	"in_._∅"	"._∅_∅"	"TO"	"VB"	"VB"	"NN"	"ε"	"ε"	"ε"	"what"	"the"	"place"	"be"	"worth"	"to"	"you"	"and"	"your"	"family"	"as"	"a"	"home"	"in"	"comparison"	"with"	"what"	"it"	"would"	"cost"	"to"	"live"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"to"	","	"get_back"	"that"	"get_back_to"	"to_,"	",_that"	"feel_like_get_back_to"	"get_back_to_,"	"to_,_that"	",_that_be"	"VB"	"VB"	"TO"	"NN"	"ε"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"feel_like"	"to"	"town"	"that"	"be"	"what"	"i"	"feel_like"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"supply"	"have"	"mining"	"the"	"mining_supply"	"supply_have"	"have_the"	"this_mining_supply"	"mining_supply_have"	"supply_have_the"	"have_the_appearance"	"DT"	"NN"	"NN"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"no"	"larger"	"than"	"this"	"mining"	"supply"	"town"	"have"	"the"	"appearance"	"of"	"be"	"far"	"busy"	"and"	"more"	"prosperous"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"in"	","	"take_place"	"between"	"take_place_in"	"in_,"	",_between"	"had_take_place_in"	"take_place_in_,"	"in_,_between"	",_between_him"	"VBD"	"VB"	"IN"	"NN"	"ε"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"wonder"	"had"	"take_place"	"in"	"town"	"between"	"him"	"and"	"his"	"wife"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"to"	","	"road"	"person"	"road_to"	"to_,"	",_person"	"caliche-topped_road_to"	"road_to_,"	"to_,_person"	",_person_talk"	"JJ"	"NN"	"TO"	"NN"	"ε"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"drive"	"along"	"caliche-topped"	"road"	"to"	"town"	"person"	"talk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"dweller"	"-"	"-"	"-_the"	"the_dweller"	"dweller_-"	"''_-_the"	"-_the_dweller"	"the_dweller_-"	"dweller_-_watch"	"ε"	"ε"	"DT"	"NN"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"shore"	"the"	"freed"	"slave"	"despotism"	"the"	"town"	"dweller"	"watch"	"the"	"ship"	"and"	"wait"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"leave"	"person"	"he"	"see_to_it"	"he_leave"	"leave_person"	"person_see_to_it"	"before_he_leave"	"he_leave_person"	"leave_person_see_to_it"	"person_see_to_it_that"	"IN"	"PRP"	"VB"	"NN"	"NNP"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"before"	"leave"	"town"	"person"	"see_to_it"	"that"	"i"	"was"	"fix_up"	"with"	"a"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"korean"	"."	"little"	"∅"	"little_korean"	"korean_."	"._∅"	"a_little_korean"	"little_korean_."	"korean_._∅"	"._∅_∅"	"RB"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"i"	"recall"	"the"	"startling"	"vivid"	"realism"	"of"	"a"	"dream"	"in"	"which"	"i"	"live"	"through"	"the"	"horror"	"of"	"the"	"bombing"	"of"	"little"	"town"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"into"	"to"	"trip"	"see"	"trip_into"	"into_to"	"to_see"	"regular_trip_into"	"trip_into_to"	"into_to_see"	"to_see_him"	"JJ"	"NN"	"IN"	"NN"	"TO"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"doctor"	"since"	"person"	"be"	"no_longer"	"to"	"make"	"his"	"regular"	"trip"	"into"	"town"	"to"	"see"	"him"	"come"	"often"	"and"	"informally"	"to"	"the"	"house"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"pennsylvania"	"near"	"little"	"location"	"little_pennsylvania"	"pennsylvania_near"	"near_location"	"a_little_pennsylvania"	"little_pennsylvania_near"	"pennsylvania_near_location"	"near_location_."	"RB"	"JJ"	"NN"	"NN"	"JJ"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"say"	"to"	"the"	"secretary"	"i"	"understand"	"come"	"from"	"a"	"little"	"pennsylvania"	"town"	"near"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"go_to"	"at_all"	"n't"	"."	"n't_go_to"	"go_to_at_all"	"at_all_."	"were_n't_go_to"	"n't_go_to_at_all"	"go_to_at_all_."	"at_all_._∅"	"VBD"	"RB"	"VB"	"NN"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"back"	"the"	"team"	"into"	"the"	"and"	"wish"	"they"	"were"	"n't"	"go_to"	"town"	"at_all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"be"	"∅"	"about"	"∅_the"	"the_be"	"be_about"	"∅_∅_the"	"∅_the_be"	"the_be_about"	"be_about_what"	"ε"	"ε"	"DT"	"NN"	"VB"	"RB"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"town"	"be"	"about"	"what"	"person"	"expect"	"one"	"main_street"	"with"	"its"	"row"	"of"	"false-fronted"	"building"	"a"	"water_tower"	"a_few"	"warehouse"	"a"	"single"	"hotel"	"all"	"dusty"	"and"	"sunbaked"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"-"	"call"	"be"	"call_the"	"the_-"	"-_be"	"person_call_the"	"call_the_-"	"the_-_be"	"-_be_crowded"	"NNP"	"VB"	"DT"	"NN"	"ε"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"location"	"as"	"person"	"the"	"town"	"be"	"crowded"	"with"	"summer"	"people"	"who"	"come"	"to"	"the"	"mountain"	"to"	"escape"	"the"	"heat"	"in"	"the"	"big"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"in"	"."	"mail"	"∅"	"mail_in"	"in_."	"._∅"	"to_mail_in"	"mail_in_."	"in_._∅"	"._∅_∅"	"TO"	"VB"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"sign"	"the"	"letter"	"quickly"	"stamp"	"them"	"and"	"place"	"on"	"the"	"hall"	"table"	"for"	"to"	"mail"	"in"	"town"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"direct"	"authority"	"town_meeting"	"to"	"town_meeting_direct"	"direct_authority"	"authority_to"	"1958_town_meeting_direct"	"town_meeting_direct_authority"	"direct_authority_to"	"authority_to_seek"	"CD"	"NN"	"VB"	"NN"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"direct"	"town"	"authority"	"to"	"seek"	"federal"	"and"	"state"	"funds"	"with"	"which"	"to"	"conduct"	"a"	"preliminary"	"survey"	"of"	"a"	"proposed"	"sewage"	"plant"	"with"	"its"	"attendant"	"facility"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"of"	"contribute"	"roster"	"raw"	"roster_of"	"of_contribute"	"contribute_raw"	"the_roster_of"	"roster_of_contribute"	"of_contribute_raw"	"contribute_raw_sewage"	"DT"	"NN"	"IN"	"NN"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"matter"	"stand"	"with"	"the"	"prospect"	"that"	"soon"	"may"	"be"	"remove"	"from"	"the"	"roster"	"of"	"town"	"contribute"	"raw"	"sewage"	"to"	"its"	"main"	"stream"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"'s"	"become"	"first"	"become_the"	"the_'s"	"'s_first"	",_become_the"	"become_the_'s"	"the_'s_first"	"'s_first_telegrapher"	"ε"	"VB"	"DT"	"NN"	"POS"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"person"	"jeweler"	"and"	"become"	"the"	"town"	"first"	"telegrapher"	"in"	"a"	"dwelling"	"he"	"build"	"for"	"himself"	"and"	"his"	"business"	"two"	"door"	"north"	"of"	"the"	"location"	"or"	"one"	"door"	"north"	"of"	"the"	"group"	"manchester"	"vermont"	
