"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"2:32:00::"	"been"	"as"	"has"	"a"	"has_been"	"been_as"	"as_a"	"it_has_been"	"has_been_as"	"been_as_a"	"as_a_towering"	"PRP"	"VBZ"	"VBN"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"been"	"bill"	"as"	"a"	"towering"	"monument"	"to"	"immorality"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:04::"	"g._i."	"and"	"the"	"also"	"the_g._i."	"g._i._and"	"and_also"	"of_the_g._i."	"the_g._i._and"	"g._i._and_also"	"and_also_by"	"IN"	"DT"	"NNP"	"NN"	"CC"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"further"	"possibility"	"suggest"	"the"	"example"	"of"	"the"	"g._i."	"bill"	"and"	"also"	"by"	"some"	"recent"	"trend"	"in"	"attitude"	"toward"	"improve"	"college"	"education"	"that_is"	"to"	"provide"	"financial"	"assistance"	"to"	"individual"	"for"	"vocational"	"training"	"when"	"local"	"facility"	"be"	"inadequate"	
"1:21:00::"	"the"	"and"	"run_through"	"name"	"run_through_the"	"the_and"	"and_name"	"person_run_through_the"	"run_through_the_and"	"the_and_name"	"and_name_an"	"NNP"	"VB"	"DT"	"NN"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"bill"	"and"	"name"	"an"	"amount"	"it"	"be"	"highly"	"unlikely"	"any"	"cowpuncher"	"would"	"come_by"	"honestly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:04::"	"the"	","	"∅"	"which"	"∅_the"	"the_,"	",_which"	"∅_∅_the"	"∅_the_,"	"the_,_which"	",_which_person"	"ε"	"ε"	"DT"	"NN"	"ε"	"WDT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"bill"	"which"	"person"	"say"	"he"	"draft"	"personally"	"would"	"force"	"bank"	"insurance_firm"	"pipeline_company"	"and"	"corporation"	"to"	"report"	"such"	"property"	"to"	"the"	"state_treasurer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:04::"	"the"	","	"of"	"say"	"of_the"	"the_,"	",_say"	"sponsor_of_the"	"of_the_,"	"the_,_say"	",_say_a"	"NN"	"IN"	"DT"	"NN"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"of"	"location"	"of"	"the"	"bill"	"say"	"a"	"failure"	"to"	"enact"	"it"	"would"	"amount"	"to"	"make"	"a"	"gift"	"out_of"	"the"	"taxpayer"	"pocket"	"to"	"bank"	"insurance_company"	"and"	"pipeline_company"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:04::"	"the"	"be"	"that"	"``"	"that_the"	"the_be"	"be_``"	"argue_that_the"	"that_the_be"	"the_be_``"	"be_``_probably"	"VB"	"IN"	"DT"	"NN"	"VB"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"that"	"the"	"bill"	"be"	"probably"	"unconstitutional"	"since"	"he"	"say"	"it"	"would"	"impair"	"contract"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:04::"	"the"	"was"	"since"	"introduce"	"since_the"	"the_was"	"was_introduce"	",_since_the"	"since_the_was"	"the_was_introduce"	"was_introduce_only"	"ε"	"IN"	"DT"	"NN"	"VBD"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"also"	"complain"	"that"	"not"	"enough"	"notice"	"give"	"on"	"the"	"hearing"	"since"	"the"	"bill"	"was"	"introduce"	"only"	"last"	"monday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:04::"	"the"	"of"	"thursday"	"person"	"thursday_the"	"the_of"	"of_person"	"approve_thursday_the"	"thursday_the_of"	"the_of_person"	"of_person_of"	"VB"	"NN"	"DT"	"NN"	"IN"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"senator"	"unanimously"	"thursday"	"the"	"bill"	"of"	"person"	"of"	"dallas"	"authorize"	"establishment"	"of"	"day_school"	"for"	"the"	"deaf"	"in"	"dallas"	"and"	"the"	"four"	"largest"	"county"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:04::"	"the"	"is"	"∅"	"design"	"∅_the"	"the_is"	"is_design"	"∅_∅_the"	"∅_the_is"	"the_is_design"	"is_design_to"	"ε"	"ε"	"DT"	"NN"	"VBZ"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"bill"	"is"	"design"	"to"	"provide"	"special"	"schooling"	"for"	"more"	"deaf"	"student"	"in"	"the"	"scholastic"	"age"	"at"	"a"	"reduced"	"cost"	"to"	"the"	"state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:04::"	"the"	"on"	"pass_on"	"to"	"pass_on_the"	"the_on"	"on_to"	"senate_pass_on_the"	"pass_on_the_on"	"the_on_to"	"on_to_the"	"NN"	"VB"	"DT"	"NN"	"RB"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"no"	"debate"	"the"	"senate"	"pass_on"	"the"	"bill"	"on"	"to"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
