"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"
"4:02:00::"	"∅"	","	"∅"	"this"	"∅_∅"	"∅_,"	",_this"	"∅_∅_∅"	"∅_∅_,"	"∅_,_this"	",_this_inaugural"	"ε"	"ε"	"ε"	"RB"	"ε"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"inaugural"	"feast"	"do_good"	"its"	"sponsor"	"no"	"good"	"whatever"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	","	"at_hand"	"group"	"at_hand_,"	",_,"	",_group"	"fact_at_hand_,"	"at_hand_,_,"	",_,_group"	",_group_intend"	"NN"	"JJ"	"ε"	"RB"	"ε"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"light"	"the"	"fact"	"at_hand"	"however"	"group"	"intend"	"to"	"pursue"	"the"	"objective"	"of"	"help"	"to"	"create"	"a"	"healthy"	"two"	"system"	"eastern"	"railroad"	"structure"	"in"	"the"	"public"	"interest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	","	"∅"	"there"	"∅_∅"	"∅_,"	",_there"	"∅_∅_∅"	"∅_∅_,"	"∅_,_there"	",_there_is"	"ε"	"ε"	"ε"	"RB"	"ε"	"EX"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"is"	"a"	"more"	"profound"	"consideration"	"to"	"this"	"proposed"	"merger"	"than"	"profit"	"and"	"loss"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	","	","	"membership"	"be"	"membership_,"	",_,"	",_be"	"congregational_membership_,"	"membership_,_,"	",_,_be"	",_be_another"	"JJ"	"NN"	"ε"	"RB"	"ε"	"VB"	"JJ"	"in_general"	"religious"	"interest"	"seem"	"to"	"exist"	"in"	"all"	"part"	"of"	"the"	"metropolis"	"congregational"	"membership"	"be"	"another"	"thing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	","	"pittsburgh"	"has"	"pittsburgh_,"	",_,"	",_has"	"in_pittsburgh_,"	"pittsburgh_,_,"	",_,_has"	",_has_illuminate"	"IN"	"NN"	"ε"	"RB"	"ε"	"VBZ"	"VB"	"congregational"	"outreach"	"have"	"not"	"been"	"carefully"	"study"	"in"	"the"	"church"	"one"	"study"	"in"	"pittsburgh"	"has"	"illuminate"	"the"	"situation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	","	","	"case"	"domination"	"case_,"	",_,"	",_domination"	"some_case_,"	"case_,_,"	",_,_domination"	",_domination_of"	"JJ"	"NN"	"ε"	"RB"	"ε"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"case"	"however"	"domination"	"of"	"the"	"sex_act"	"by"	"one"	"partner"	"can"	"be"	"temporary"	"trigger"	"by"	"a"	"passing"	"but"	"urgent"	"emotional"	"need"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	","	","	"say"	"that"	"say_,"	",_,"	",_that"	"expert_say_,"	"say_,_,"	",_,_that"	",_that_if"	"NN"	"VB"	"ε"	"RB"	"ε"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"other"	"say"	"however"	"that"	"if"	"sexual"	"domination"	"by"	"one"	"or"	"the"	"partner"	"exist"	"for"	"longer"	"than"	"a"	"brief"	"period"	"it"	"be"	"likely"	"to"	"shake"	"the"	"marriage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	","	"up-to-date"	"his"	"up-to-date_,"	",_,"	",_his"	"∅_up-to-date_,"	"up-to-date_,_,"	",_,_his"	",_his_garden"	"ε"	"JJ"	"ε"	"RB"	"ε"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"however"	"his"	"garden"	"be"	"still"	"more_or_less"	"of"	"a"	"mess"	"he"	"had"	"n't"	"even"	"start"	"his"	"workshop"	"and"	"if"	"there"	"was"	"a"	"meadow"	"pond"	"in"	"the"	"neighborhood"	"he"	"had"	"n't"	"find"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	","	"danger"	"we"	"danger_,"	",_,"	",_we"	"this_danger_,"	"danger_,_,"	",_,_we"	",_we_are"	"DT"	"NN"	"ε"	"RB"	"ε"	"PRP"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"despite"	"danger"	"however"	"we"	"are"	"inform"	"on"	"every"	"hand"	"that"	"idea"	"not"	"machine"	"be"	"our"	"fine"	"tool"	"they"	"be"	"priceless"	"even_though"	"they"	"cannot"	"be"	"record"	"on"	"a"	"ledger"	"page"	"they"	"be"	"the"	"most"	"valuable"	"of"	"commodity"	"and"	"the"	"most"	"salable"	"for"	"their"	"demand"	"far"	"exceed"	"supply"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	","	"remind"	"that"	"remind_,"	",_,"	",_that"	"are_remind_,"	"remind_,_,"	",_,_that"	",_that_freedom_of_thought"	"VBP"	"VB"	"ε"	"RB"	"ε"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"remind"	"however"	"that"	"freedom_of_thought"	"and"	"discussion"	"the"	"unfettered"	"exchange"	"of"	"idea"	"be"	"basic"	"under"	"our"	"form_of_government"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
