"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"2:40:00::"	"to"	"a"	"not"	"child"	"not_to"	"to_a"	"a_child"	"in_order_not_to"	"not_to_a"	"to_a_child"	"a_child_'s"	"JJ"	"RB"	"TO"	"VB"	"DT"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"do"	"parents"	"need_to"	"know"	"about"	"those"	"of"	"the"	"braces"	"in_order"	"not"	"to"	"waste"	"a"	"child"	"time"	"and"	"their"	"money"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"being"	"in_this"	"from"	"unenviable"	"from_being"	"being_in_this"	"in_this_unenviable"	"men_from_being"	"from_being_in_this"	"being_in_this_unenviable"	"in_this_unenviable_spot"	"NNS"	"IN"	"VBG"	"VB"	"RB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"put_on"	"local"	"musicians"	"at_this_place"	"in"	"the"	"program"	"serve"	"a"	"triple"	"purpose"	"it"	"save"	"the"	"top"	"jazz"	"men"	"from"	"being"	"waste"	"in_this"	"unenviable"	"spot"	"when"	"the"	"audience"	"be"	"cold"	"restless"	"and"	"in"	"flux"	"it"	"prevent"	"late-comers"	"from"	"miss"	"some"	"of"	"the"	"people"	"they"	"have"	"come"	"a"	"long"	"way"	"to"	"hear"	"and"	"it"	"give"	"the"	"resident"	"musicians"	"a"	"chance"	"to"	"perform"	"before"	"the"	"famous"	"newport"	"audience"	
"2:40:00::"	"have"	"time"	"n't"	"puzzle_over"	"n't_have"	"have_time"	"time_puzzle_over"	"would_n't_have"	"n't_have_time"	"have_time_puzzle_over"	"time_puzzle_over_this"	"MD"	"RB"	"VB"	"VB"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"n't"	"have"	"waste"	"time"	"puzzle_over"	"this"	"couple"	"were"	"it"	"not"	"for"	"my"	"fear"	"that"	"all"	"the"	"inhabitants"	"of"	"catatonia"	"be"	"equally"	"unreal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"n't"	"your"	"do"	"powder"	"do_n't"	"n't_your"	"your_powder"	",_do_n't"	"do_n't_your"	"n't_your_powder"	"your_powder_on"	"ε"	"VBP"	"RB"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"christ"	"sake"	"n't"	"waste"	"your"	"powder"	"on"	"one"	"of"	"em"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"hague"	"no"	"normally"	"words"	"normally_hague"	"hague_no"	"no_words"	"∅_normally_hague"	"normally_hague_no"	"hague_no_words"	"no_words_,"	"ε"	"RB"	"NNP"	"VB"	"DT"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hague"	"waste"	"no"	"words"	"but"	"now"	"he"	"find"	"himself"	"unable"	"to"	"stop"	"their"	"flow"	"although"	"he"	"know"	"kodyke"	"be"	"aware_of"	"all"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"n't"	"anything"	"do"	"''"	"do_n't"	"n't_anything"	"anything_''"	"you_do_n't"	"do_n't_anything"	"n't_anything_''"	"anything_''_?"	"PRP"	"VBP"	"RB"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"are"	"you"	"going_to"	"do"	"with"	"feet"	"so"	"you"	"do"	"n't"	"waste"	"anything"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:05::"	"to"	"no"	"want"	"time"	"want_to"	"to_no"	"no_time"	"he_want_to"	"want_to_no"	"to_no_time"	"no_time_."	"PRP"	"VB"	"VB"	"VB"	"DT"	"NN"	"ε"	"0"	"his"	"long"	"nose"	"wiggle"	"at"	"the"	"smell"	"of"	"frizzle"	"bacon"	"and"	"heating"	"java"	"but"	"the"	"fire"	"low"	"and"	"he"	"to"	"waste"	"no"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:05::"	"was"	"in"	"time"	"being"	"time_was"	"was_in"	"in_being"	"less_time_was"	"time_was_in"	"was_in_being"	"in_being_evaluate"	"JJ"	"NN"	"VBD"	"VB"	"IN"	"VBG"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"the"	"point_of_view"	"of"	"applicant"	"less"	"time"	"was"	"waste"	"in"	"being"	"evaluate"	"and"	"they"	"get"	"a"	"meal"	"out"	"of"	"it"	"as_well_as"	"some"	"insight"	"into"	"their"	"performance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"probably"	"your"	"are"	"time"	"are_probably"	"probably_your"	"your_time"	"you_are_probably"	"are_probably_your"	"probably_your_time"	"your_time_''"	"PRP"	"VBP"	"RB"	"VB"	"PRP$"	"NN"	"ε"	"are"	"try"	"to"	"get_out"	"us"	"out"	"of"	"the"	"brothel"	"the"	"dustbin"	"the"	"kitchen_sink"	"and"	"the"	"tawdry"	"living_room"	"you"	"are"	"probably"	"your"	"time"	"person"	"tell"	"me"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"organic"	"."	"treat"	"∅"	"treat_organic"	"organic_."	"._∅"	"for_treat_organic"	"treat_organic_."	"organic_._∅"	"._∅_∅"	"IN"	"VB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"and"	"person"	"discuss"	"the"	"of"	"aerated"	"lagoon"	"for"	"treat"	"organic"	"waste"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
