"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"2:32:00::"	"she"	"."	"''"	"∅"	"''_she"	"she_."	"._∅"	"!_''_she"	"''_she_."	"she_._∅"	"._∅_∅"	"ε"	"ε"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"oh"	"you"	"she"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"service"	"that"	"the"	"taxpayers"	"the_service"	"service_that"	"that_taxpayers"	"∅_the_service"	"the_service_that"	"service_that_taxpayers"	"that_taxpayers_make"	"ε"	"DT"	"NNP"	"VB"	"IN"	"NNS"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"service"	"announce"	"that"	"taxpayers"	"make"	"such"	"claims"	"may"	"be"	"call_on"	"to"	"furnish"	"a"	"statement"	"from"	"the"	"recipient"	"organization"	"show"	"the"	"date"	"purpose"	"amount"	"and"	"particulars"	"of"	"the"	"contribution"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"been"	"by"	"has"	"thomas_p._phelan"	"has_been"	"been_by"	"by_thomas_p._phelan"	",_has_been"	"has_been_by"	"been_by_thomas_p._phelan"	"by_thomas_p._phelan_,"	"ε"	"VBZ"	"VBN"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"election"	"of"	"howard_l._taylor"	"to"	"membership"	"in"	"stock_exchange"	"effective"	"tuesday"	"has"	"been"	"announce"	"by"	"thomas_p._phelan"	"president"	"of"	"the"	"exchange"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"mrs._james_janssen"	"the"	"and"	"birth"	"and_mrs._james_janssen"	"mrs._james_janssen_the"	"the_birth"	"mr._and_mrs._james_janssen"	"and_mrs._james_janssen_the"	"mrs._james_janssen_the_birth"	"the_birth_of"	"NNP"	"CC"	"NNP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr."	"mrs._james_janssen"	"announce"	"the"	"birth"	"of"	"a"	"daughter"	"patricia_lynn_janssen"	"on"	"march"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"mrs._charles_marella"	"the"	"and"	"engagement"	"and_mrs._charles_marella"	"mrs._charles_marella_the"	"the_engagement"	"mr._and_mrs._charles_marella"	"and_mrs._charles_marella_the"	"mrs._charles_marella_the_engagement"	"the_engagement_of"	"NNP"	"CC"	"NNP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr."	"mrs._charles_marella"	"announce"	"the"	"engagement"	"of"	"their"	"daughter"	"miss_mary_ann_marella"	"to"	"mr._robert_l._orcutt"	"son"	"of"	"mr."	"and"	"mrs._donald_r._orcutt"	"of"	"drexel_hill"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"was"	"monday"	"it"	"by"	"it_was"	"was_monday"	"monday_by"	",_it_was"	"it_was_monday"	"was_monday_by"	"monday_by_charles_e._raymond"	"ε"	"PRP"	"VBD"	"VB"	"NNP"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"vincent_g._ierulli"	"has"	"been"	"appoint"	"assistant"	"district_attorney"	"it"	"was"	"announce"	"monday"	"by"	"charles_e._raymond"	"district_attorney"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"white_house"	":"	"the"	"∅"	"the_white_house"	"white_house_:"	":_∅"	"friday_the_white_house"	"the_white_house_:"	"white_house_:_∅"	":_∅_∅"	"NNP"	"DT"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"last"	"the"	"white_house"	"announce"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"presidency"	"the"	"the"	"result"	"the_presidency"	"presidency_the"	"the_result"	"for_the_presidency"	"the_presidency_the"	"presidency_the_result"	"the_result_of"	"IN"	"DT"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"the"	"first"	"time"	"in"	"years"	"a"	"candidate"	"for"	"the"	"presidency"	"announce"	"the"	"result"	"of"	"an"	"election"	"in_which"	"he"	"was"	"defeat"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"steward"	"that"	"the"	"after_all"	"the_steward"	"steward_that"	"that_after_all"	"ring_the_steward"	"the_steward_that"	"steward_that_after_all"	"that_after_all_juniors"	"NN"	"DT"	"NN"	"VB"	"IN"	"RB"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"before"	"the"	"juniors"	"the"	"ring"	"the"	"steward"	"announce"	"that"	"after_all"	"juniors"	"had"	"move"	"their"	"dogs"	"around"	"the"	"ring"	"and"	"set_up"	"them"	"up"	"they"	"could"	"relax"	"with"	"their"	"dogs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"has"	"that"	"but"	"five"	"but_has"	"has_that"	"that_five"	",_but_has"	"but_has_that"	"has_that_five"	"that_five_nuclear"	"ε"	"CC"	"VBZ"	"VB"	"IN"	"CD"	"JJ"	"0"	"but"	"where"	"the"	"core"	"of"	"nato"	"be"	"concerned"	"the"	"secretary_of_state"	"has"	"not_only"	"reiterate"	"the"	"united_states"	"profound"	"attachment"	"to"	"the"	"alliance"	"cornerstone"	"of"	"its"	"foreign_policy"	"but"	"has"	"that"	"five"	"nuclear"	"submarines"	"will"	"eventually"	"be"	"at"	"nato"	"disposal"	"in"	"european"	"waters"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
