"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"
"1:06:00::"	"marriage"	"."	"the"	"∅"	"the_marriage"	"marriage_."	"._∅"	"include_the_marriage"	"the_marriage_."	"marriage_._∅"	"._∅_∅"	"VB"	"DT"	"NN"	"NN"	"ε"	"ε"	"ε"	"on"	"our"	"own"	"western"	"frontier"	"for_example"	"could"	"quite"	"literally"	"depend_on"	"a"	"man"	"strength"	"and"	"ability"	"to"	"bring_home_the_bacon"	"and"	"the"	"dependent"	"wife"	"seldom"	"question"	"his"	"judgment"	"about"	"anything"	"include"	"the"	"marriage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"still"	"∅"	"show"	"∅_the"	"the_still"	"still_show"	"∅_∅_the"	"∅_the_still"	"the_still_show"	"still_show_sign"	"ε"	"ε"	"DT"	"NN"	"RB"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"bed"	"still"	"show"	"sign"	"of"	"where"	"person"	"had"	"lie"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"be"	"∅"	"empty"	"∅_the"	"the_be"	"be_empty"	"∅_∅_the"	"∅_the_be"	"the_be_empty"	"be_empty_now"	"ε"	"ε"	"DT"	"NN"	"VB"	"JJ"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"bed"	"be"	"empty"	"now"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"same"	"with"	"that"	"&"	"that_same"	"same_with"	"with_&"	"in_that_same"	"that_same_with"	"same_with_&"	"with_&_&"	"VB"	"IN"	"JJ"	"NN"	"IN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"wonder"	"whether"	"person"	"lie"	"in"	"that"	"same"	"bed"	"with"	"who"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"in"	"."	"stay"	"∅"	"stay_in"	"in_."	"._∅"	"she_stay_in"	"stay_in_."	"in_._∅"	"._∅_∅"	"PRP"	"VB"	"RB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mostly"	"she"	"in"	"bed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"beautiful"	"of"	"most"	"pansy"	"most_beautiful"	"beautiful_of"	"of_pansy"	"the_most_beautiful"	"most_beautiful_of"	"beautiful_of_pansy"	"of_pansy_i"	"RB"	"RB"	"JJ"	"NN"	"IN"	"NN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"beautiful"	"bed"	"of"	"pansy"	"i"	"see"	"be"	"in"	"a"	"south_dakota"	"yard"	"on"	"a"	"sizzling"	"day"	
"1:06:00::"	"the"	"."	"from"	"∅"	"from_the"	"the_."	"._∅"	"us_from_the"	"from_the_."	"the_._∅"	"._∅_∅"	"PRP"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"did"	"n't"	"have"	"time"	"to"	"speak"	"before"	"voice"	"was"	"screech"	"at"	"us"	"from"	"the"	"bed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"to"	"''"	"him"	"."	"him_to"	"to_''"	"''_."	"get_him_to"	"him_to_''"	"to_''_."	"''_._∅"	"VB"	"PRP"	"TO"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"say"	"i"	"get"	"to"	"bed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"in"	"until"	"afternoon"	"he"	"afternoon_in"	"in_until"	"until_he"	"every_afternoon_in"	"afternoon_in_until"	"in_until_he"	"until_he_be"	"JJ"	"NN"	"RB"	"NN"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"doctor"	"had"	"suggest"	"person"	"most"	"of"	"every"	"afternoon"	"in"	"bed"	"until"	"he"	"be"	"strong"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"his"	","	"in"	"could"	"in_his"	"his_,"	",_could"	",_in_his"	"in_his_,"	"his_,_could"	",_could_hear"	"ε"	"IN"	"PRP$"	"NN"	"ε"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"exchange"	"be"	"almost"	"invariable"	"person"	"in"	"his"	"bed"	"could"	"hear"	"every"	"word"	"of_it"	"0"	"0"	"0"	"0"	"0"	"0"	
