"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"
"5:00:00:present:02"	"of"	"space"	"use"	"."	"use_of"	"of_space"	"space_."	"the_use_of"	"use_of_space"	"of_space_."	"space_._∅"	"DT"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"problem"	"the"	"city"	"apartment"	"dweller"	"be"	"to"	"plan"	"the"	"use"	"of"	"existing"	"space"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:present(a):01"	"their"	"vocational"	"of"	"education"	"of_their"	"their_vocational"	"vocational_education"	"use_of_their"	"of_their_vocational"	"their_vocational_education"	"vocational_education_program"	"NN"	"IN"	"PRP$"	"JJ"	"JJ"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"few"	"state"	"make"	"use"	"of"	"their"	"existing"	"vocational"	"education"	"program"	"or"	"funds"	"for"	"the"	"purpose"	"of"	"attract"	"new"	"industry"	"0"	"0"	
"5:00:00:present(a):01"	"old"	"outlet"	"with"	"which"	"with_old"	"old_outlet"	"outlet_which"	"relationship_with_old"	"with_old_outlet"	"old_outlet_which"	"outlet_which_be"	"NN"	"IN"	"JJ"	"JJ"	"NN"	"WDT"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"can"	"you"	"cash_in_on"	"this"	"fast-growing"	"type"	"of"	"outlet"	"and"	"maintain"	"relationship"	"with"	"old"	"existing"	"outlet"	"which"	"be"	"still"	"important"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:present(a):01"	"alter"	"law"	"to"	"with"	"to_alter"	"alter_law"	"law_with"	"construe_to_alter"	"to_alter_law"	"alter_law_with"	"law_with_respect"	"VB"	"TO"	"VB"	"JJ"	"NN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nothing"	"in"	"the"	"act"	"be"	"construe"	"to"	"alter"	"existing"	"law"	"with"	"respect"	"to"	"the"	"ownership"	"and"	"control"	"of"	"water"	"0"	"0"	"0"	
"5:00:00:present(a):01"	"the"	"program"	","	"was"	",_the"	"the_program"	"program_was"	"1943_,_the"	",_the_program"	"the_program_was"	"program_was_still"	"CD"	"ε"	"DT"	"JJ"	"NN"	"VBD"	"RB"	"successful"	"rehabilitation"	"of"	"over"	"a"	"half"	"million"	"disabled"	"person"	"in"	"the"	"first"	"eleven"	"year"	"after"	"the"	"program"	"was"	"still"	"see"	"to"	"be"	"inadequate"	"to"	"cope_with"	"the"	"nation"	"backlog"	"of"	"an"	"estimated"	"two"	"million"	"disabled"	
"3:00:00::"	"world"	"and"	"the"	"visible"	"the_world"	"world_and"	"and_visible"	"of_the_world"	"the_world_and"	"world_and_visible"	"and_visible_yet"	"IN"	"DT"	"NN"	"JJ"	"CC"	"JJ"	"RB"	"0"	"0"	"she"	"be"	"the"	"sun"	"he"	"the"	"closest"	"planet"	"orbiting"	"around"	"her"	"the"	"rest"	"of"	"world"	"existing"	"and"	"visible"	"yet"	"removed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:present(a):01"	"the"	"oxidation"	"in"	"pond"	"in_the"	"the_oxidation"	"oxidation_pond"	"condition_in_the"	"in_the_oxidation"	"the_oxidation_pond"	"oxidation_pond_necessitate"	"NN"	"IN"	"DT"	"JJ"	"NN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"anaerobic"	"in"	"the"	"existing"	"oxidation"	"pond"	"necessitate"	"examination"	"of"	"method"	"for"	"supply"	"additional"	"oxygen"	"than"	"by"	"sodium_nitrate"	"0"	"0"	
"5:00:00:present(a):01"	"the"	"oxidation"	"from"	"pond"	"from_the"	"the_oxidation"	"oxidation_pond"	"collect_from_the"	"from_the_oxidation"	"the_oxidation_pond"	"oxidation_pond_to"	"VB"	"IN"	"DT"	"JJ"	"NN"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"grab_sample"	"were"	"from"	"the"	"existing"	"oxidation"	"pond"	"to"	"determine"	"its"	"operating"	"condition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:present(a):01"	"the"	"recreation"	"be"	"feature"	"be_the"	"the_recreation"	"recreation_feature"	"what_be_the"	"be_the_recreation"	"the_recreation_feature"	"recreation_feature_?"	"WP"	"VB"	"DT"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"the"	"existing"	"recreation"	"feature"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:present:02"	"already"	"at"	"interest"	"the"	"interest_already"	"already_at"	"at_the"	"recreation_interest_already"	"interest_already_at"	"already_at_the"	"at_the_site"	"NN"	"NN"	"RB"	"JJ"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"check"	"the"	"quantity"	"and"	"quality"	"all_of"	"the"	"recreation"	"interest"	"already"	"existing"	"at"	"the"	"site"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:present(a):01"	"the"	"plant"	"-"	"growth"	"-_the"	"the_plant"	"plant_growth"	"∅_-_the"	"-_the_plant"	"the_plant_growth"	"plant_growth_call_for"	"ε"	"ε"	"DT"	"JJ"	"NN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"existing"	"plant"	"growth"	"call_for"	"thorough"	"check"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
