"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"
"2:40:01::"	"to"	"an"	"propose"	"area"	"propose_to"	"to_an"	"an_area"	"now_propose_to"	"propose_to_an"	"to_an_area"	"an_area_in"	"RB"	"VB"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"national_park"	"now"	"propose"	"to"	"preserve"	"an"	"area"	"in"	"pottawatomie_county"	"northeast"	"kansas"	"as"	"a"	"prairie"	"national_park"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"to"	"the"	"wish"	"freedom"	"wish_to"	"to_the"	"the_freedom"	"we_wish_to"	"wish_to_the"	"to_the_freedom"	"the_freedom_of"	"PRP"	"VB"	"VB"	"VB"	"DT"	"NN"	"IN"	"statement"	"of"	"a"	"nineteenth-century"	"judge"	"with"	"how"	"congressman_martin"	"according_to"	"the"	"daily_labor_report"	"of"	"sept."	"defend"	"the"	"necessity"	"of"	"enact"	"anti-trust"	"legislation"	"in"	"the"	"field"	"of"	"labor"	"if"	"we"	"wish"	"to"	"prevent"	"monopolistic"	"fixing"	"of"	"wages"	"production"	"prices"	"and"	"if"	"we"	"wish"	"to"	"the"	"freedom"	"of"	"the"	"employer"	"and"	"his"	"employees"	"to"	"contract"	"on"	"wages"	"hours"	"and"	"conditions"	"of"	"employment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"is"	"."	"library"	"∅"	"library_is"	"is_."	"._∅"	"member_library_is"	"library_is_."	"is_._∅"	"._∅_∅"	"NN"	"NN"	"VBZ"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"within"	"a"	"system"	"however"	"the"	"autonomy"	"each"	"member"	"library"	"is"	"preserve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	"our"	"remain"	"security"	"remain_to"	"to_our"	"our_security"	"who_remain_to"	"remain_to_our"	"to_our_security"	"our_security_."	"WP"	"VB"	"TO"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"the"	"purpose"	"of"	"armed_forces"	"day"	"to"	"give"	"americans"	"an"	"opportunity"	"to"	"honor"	"men"	"the"	"armed_forces"	"those"	"who"	"have"	"make"	"the"	"supreme"	"sacrifice"	"those"	"who"	"remain"	"to"	"preserve"	"our"	"security"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"of"	"such"	"desirability"	"places"	"desirability_of"	"of_such"	"such_places"	"the_desirability_of"	"desirability_of_such"	"of_such_places"	"such_places_as"	"DT"	"NN"	"IN"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"preserve"	"such"	"places"	"as"	"the"	"cape"	"dunes"	"and"	"stone_harbor"	"sanctuary"	"become"	"more"	"apparent"	"every_year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"to"	"the"	"try"	"innocence"	"try_to"	"to_the"	"the_innocence"	"who_try_to"	"try_to_the"	"to_the_innocence"	"the_innocence_of"	"WP"	"VB"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"arnolphe"	"it"	"will"	"be"	"recall"	"be"	"a"	"of"	"mature"	"years"	"who"	"try"	"to"	"preserve"	"the"	"innocence"	"of"	"his"	"youthful"	"wife-to-be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"still"	"the"	"and"	"constitutional"	"and_still"	"still_the"	"the_constitutional"	"projects_and_still"	"and_still_the"	"still_the_constitutional"	"the_constitutional_requirement"	"NNS"	"CC"	"RB"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"can"	"religious"	"agencies"	"use"	"government"	"funds"	"peace_corps"	"personnel"	"in"	"their"	"projects"	"and"	"still"	"preserve"	"the"	"constitutional"	"requirement"	"on"	"of"	"church"	"and"	"state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"able_to"	"you"	"be"	"without"	"be_able_to"	"able_to_you"	"you_without"	"who_be_able_to"	"be_able_to_you"	"able_to_you_without"	"you_without_sin"	"WP"	"VB"	"JJ"	"VB"	"PRP"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"to"	"who"	"be"	"able_to"	"preserve"	"you"	"without"	"sin"	"and"	"to"	"set"	"you"	"before"	"the"	"presence"	"of"	"his"	"glory"	"without"	"blemish"	"in"	"gladness"	"to"	"the"	"only"	"god"	"our"	"savior"	"through"	"jesus_christ"	"our"	"lord"	"belong"	"glory"	"and"	"majesty"	"dominion"	"and"	"authority"	"before"	"all"	"time"	"and"	"now"	"and"	"forever"	
"1:26:00::"	"western"	"."	"a"	"∅"	"a_western"	"western_."	"._∅"	"be_a_western"	"a_western_."	"western_._∅"	"._∅_∅"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"short"	"time"	"ago"	"africa"	"be"	"a"	"western"	"preserve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"help"	"the"	","	"main"	",_help"	"help_the"	"the_main"	"life_,_help"	",_help_the"	"help_the_main"	"the_main_stream"	"NN"	"ε"	"VB"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"might"	"well"	"emerge"	"as"	"a"	"cultural"	"hero"	"who"	"the"	"force"	"of"	"his"	"creative"	"life"	"help"	"preserve"	"the"	"main"	"stream"	"of"	"tradition"	"to"	"which"	"the"	"surviving"	"idiom"	"of"	"current"	"experimentalism"	"may"	"be"	"eventually"	"add"	"and"	"integrate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
