"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"
"1:05:00::"	"their"	"."	"reach"	"∅"	"reach_their"	"their_."	"._∅"	"they_reach_their"	"reach_their_."	"their_._∅"	"._∅_∅"	"PRP"	"VB"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"neither"	"speak"	"they"	"reach"	"their"	"horse"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:05:00::"	"their"	","	"mount"	"ride"	"mount_their"	"their_,"	",_ride"	",_mount_their"	"mount_their_,"	"their_,_ride"	",_ride_through"	"ε"	"VB"	"PRP$"	"NN"	"ε"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"return"	"to"	"street"	"mount"	"their"	"horse"	"ride"	"through"	"the"	"rain"	"to"	"the"	"big"	"house"	"on"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:05:00::"	"the"	"was"	"after"	"steal"	"after_the"	"the_was"	"was_steal"	"barn_after_the"	"after_the_was"	"the_was_steal"	"was_steal_."	"NN"	"IN"	"DT"	"NN"	"VBD"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"thrust"	"envelope"	"back"	"in"	"the"	"bag"	"there"	"be"	"no"	"point"	"in"	"lock_up"	"it"	"up"	"the"	"armoire"	"now"	"it"	"be"	"like"	"lock"	"the"	"barn"	"after"	"the"	"horse"	"was"	"steal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:05:00::"	"'s"	"had"	"person"	"not"	"person_'s"	"'s_had"	"had_not"	"that_person_'s"	"person_'s_had"	"'s_had_not"	"had_not_been"	"IN"	"NNP"	"POS"	"NN"	"VBD"	"RB"	"VBN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"fact"	"person"	"horse"	"had"	"not"	"been"	"return"	"to"	"its"	"stall"	"could"	"indicate"	"that"	"person"	"information"	"had"	"be"	"wrong"	"but"	"person"	"did"	"n't"	"interpret"	"it"	"this"	"way"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:05:00::"	"two"	"in"	"were"	"the"	"were_two"	"two_in"	"in_the"	"there_were_two"	"were_two_in"	"two_in_the"	"in_the_barn"	"EX"	"VB"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"two"	"horse"	"in"	"the"	"barn"	"a"	"swaybacked"	"dun"	"and"	"person"	"buckskin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:05:00::"	"his"	"fit"	"whip"	"to"	"whip_his"	"his_fit"	"fit_to"	",_whip_his"	"whip_his_fit"	"his_fit_to"	"fit_to_kill"	"ε"	"VB"	"PRP$"	"NN"	"JJ"	"JJ"	"NN"	"which"	"be"	"so"	"near"	"that"	"it"	"seem"	"just"	"a"	"piece"	"up"	"the"	"road"	"now"	"stop"	"for"	"long"	"enough"	"to"	"count"	"to"	"twenty"	"and"	"in"	"that"	"brief"	"interval"	"a"	"redcoat"	"officer"	"come"	"tear"	"down"	"the"	"road"	"whip"	"his"	"horse"	"to"	"kill"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:05:00::"	"'s"	"wheel"	"person"	"to"	"person_'s"	"'s_wheel"	"wheel_to"	",_person_'s"	"person_'s_wheel"	"'s_wheel_to"	"wheel_to_the"	"ε"	"NNP"	"POS"	"NN"	"VB"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"first"	"person"	"horse"	"wheel"	"to"	"the"	"right"	"and"	"run"	"towards"	"the"	"building"	"while"	"person"	"follow"	"by"	"a"	"hail"	"of"	"bullet"	"race"	"towards"	"the"	"arroyo"	"of"	"location"	"immediately"	"in_front_of"	"him"	"just"	"reach"	"it"	"as"	"his"	"horse"	"fall"	
"1:05:00::"	"his"	"fall"	"as"	"."	"as_his"	"his_fall"	"fall_."	"it_as_his"	"as_his_fall"	"his_fall_."	"fall_._∅"	"PRP"	"IN"	"PRP$"	"NN"	"VB"	"ε"	"ε"	"0"	"0"	"with"	"the"	"first"	"report"	"person"	"horse"	"wheel"	"to"	"the"	"right"	"and"	"run"	"towards"	"the"	"building"	"while"	"person"	"follow"	"by"	"a"	"hail"	"of"	"bullet"	"race"	"towards"	"the"	"arroyo"	"of"	"location"	"immediately"	"in_front_of"	"him"	"just"	"reach"	"it"	"as"	"horse"	"fall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:05:00::"	"the"	"shy"	"∅"	"at"	"∅_the"	"the_shy"	"shy_at"	"∅_∅_the"	"∅_the_shy"	"the_shy_at"	"shy_at_the"	"ε"	"ε"	"DT"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"horse"	"shy"	"at"	"the"	"dreadful"	"thing"	"and"	"flare"	"its"	"nostrils"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:05:00::"	"'s"	"."	"person"	"∅"	"person_'s"	"'s_."	"._∅"	"onto_person_'s"	"person_'s_."	"'s_._∅"	"._∅_∅"	"IN"	"NNP"	"POS"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"day"	"the"	"child"	"had"	"to"	"get_up"	"onto"	"person"	"horse"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
