"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"
"2:38:00::"	"be"	"to"	"must"	"the"	"must_be"	"be_to"	"to_the"	"they_must_be"	"must_be_to"	"be_to_the"	"to_the_chairman_of_the_board"	"PRP"	"MD"	"VB"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"law"	"which"	"govern"	"home_rule"	"petitions"	"state"	"that"	"they"	"must"	"be"	"refer"	"to"	"the"	"chairman_of_the_board"	"of"	"canvassers"	"for"	"verification"	"of"	"the"	"signatures"	"within"	"days"	"and"	"mr._martinelli"	"happen"	"to"	"hold"	"that"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"truthfully"	"to"	"''"	"the"	"''_truthfully"	"truthfully_to"	"to_the"	"everybody_''_truthfully"	"''_truthfully_to"	"truthfully_to_the"	"to_the_woman"	"NN"	"ε"	"RB"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"within"	"the"	"first"	"five"	"minutes"	"of_this"	"interview"	"it"	"apparent"	"to"	"the"	"therapist"	"everybody"	"truthfully"	"refer"	"to"	"the"	"woman"	"husband"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"you"	"to"	"eighty-seventh_congress"	"the"	"eighty-seventh_congress_you"	"you_to"	"to_the"	"the_eighty-seventh_congress_you"	"eighty-seventh_congress_you_to"	"you_to_the"	"to_the_lack"	"DT"	"NNP"	"PRP"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"your"	"sept."	"editorial"	"appraisal"	"of"	"the"	"work"	"of"	"the"	"session"	"of"	"the"	"eighty-seventh_congress"	"you"	"refer"	"to"	"the"	"lack"	"of"	"consciousness"	"of"	"destiny"	"in"	"a"	"time"	"of"	"acute"	"national"	"and"	"world"	"peril"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	","	"to"	"elements"	"``"	"elements_,"	",_to"	"to_``"	"as_elements_,"	"elements_,_to"	",_to_``"	"to_``_all"	"IN"	"NNS"	"ε"	"VB"	"VB"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"norms"	"elements"	"refer"	"to"	"all"	"criteria"	"for"	"judge"	"the"	"character"	"or"	"conduct"	"of"	"both"	"individual"	"and"	"group_actions"	"in"	"any"	"social_system"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"you"	","	"are"	"sir"	"are_you"	"you_,"	",_sir"	"``_are_you"	"are_you_,"	"you_,_sir"	",_sir_''"	"ε"	"VBP"	"PRP"	"VB"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"refer"	"sir"	"ask"	"helva"	"politely"	"to"	"the"	"dark_age"	"discussions"	"of"	"the"	"number"	"of"	"angels"	"who"	"could"	"stand"	"on"	"the"	"head"	"of"	"a"	"pin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"i"	"you"	","	"to"	",_i"	"i_you"	"you_to"	"market_,_i"	",_i_you"	"i_you_to"	"you_to_an"	"NN"	"ε"	"PRP"	"VB"	"PRP"	"TO"	"DT"	"0"	"0"	"if"	"it"	"be"	"not"	"enough"	"that"	"all_of"	"our"	"internationalist"	"one"	"worlders"	"are"	"advocate"	"that"	"join"	"this"	"i"	"refer"	"you"	"to"	"an"	"article"	"in"	"the"	"new_york"	"times"	"magazine"	"section"	"nov."	"by"	"mr._eric_johnston"	"entitled"	"we"	"must"	"join"	"the"	"common_market"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"katanga_army"	"to"	"the"	"as"	"the_katanga_army"	"katanga_army_to"	"to_as"	"in_the_katanga_army"	"the_katanga_army_to"	"katanga_army_to_as"	"to_as_mercenaries"	"IN"	"DT"	"NNP"	"VB"	"VB"	"IN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"news"	"broadcasts"	"i"	"consistently"	"hear"	"foreign"	"volunteers"	"fight"	"in"	"the"	"katanga_army"	"refer"	"to"	"as"	"mercenaries"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"he"	"to"	"what"	"with"	"what_he"	"he_to"	"to_with"	"in_what_he"	"what_he_to"	"he_to_with"	"to_with_fastidious"	"RB"	"RB"	"PRP"	"VB"	"VB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"prepared"	"to"	"helpful"	"in"	"what"	"he"	"refer"	"to"	"with"	"fastidious"	"distaste"	"as"	"this"	"unfortunate"	"person"	"affair"	"which"	"would"	"not"	"he"	"say"	"more"	"than"	"once"	"have"	"ever"	"come_about"	"if"	"person"	"had"	"only"	"see"	"fit"	"to"	"consult"	"person"	"or"	"him"	"about"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"venice"	"to"	"in"	"her"	"in_venice"	"venice_to"	"to_her"	"cemetery_in_venice"	"in_venice_to"	"venice_to_her"	"to_her_as"	"NN"	"IN"	"NN"	"VB"	"VB"	"PRP"	"IN"	"with"	"person"	"was"	"crown"	"by"	"her"	"discovery"	"of"	"the"	"coincidence"	"that"	"person"	"epitaph"	"in"	"the"	"jewish"	"cemetery"	"venice"	"to"	"her"	"as"	"the"	"sulamite"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	","	"to"	"lecture"	"the"	"lecture_,"	",_to"	"to_the"	"his_lecture_,"	"lecture_,_to"	",_to_the"	"to_the_``"	"PRP$"	"NN"	"ε"	"VB"	"VB"	"DT"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"in"	"lecture"	"refer"	"to"	"the"	"startling"	"experience"	"which"	"almost"	"every"	"person"	"confess"	"in"	"daylight"	"that"	"particular"	"passage"	"of"	"conversation"	"and"	"action"	"have"	"occur"	"to"	"him"	"in"	"the"	"same"	"order"	"before"	"whether"	"dream"	"or"	"wake"	"a"	"suspicion"	"that"	"they"	"have"	"be"	"with"	"precisely"	"these"	"person"	"in"	"precisely"	"this"	"room"	"and"	"hear"	"precisely"	"this"	"dialogue"	"at"	"some"	"former"	"hour"	"they"	"know"	"not"	"when"	
