"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"
"2:32:03::"	"and"	"themselves"	"100"	"lucky"	"100_and"	"and_themselves"	"themselves_lucky"	"with_100_and"	"100_and_themselves"	"and_themselves_lucky"	"themselves_lucky_to"	"IN"	"CD"	"CC"	"VB"	"PRP"	"JJ"	"TO"	"want"	"shares"	"in"	"many"	"cases"	"end_up"	"with"	"and"	"customers"	"who"	"had"	"put_in"	"a"	"bid"	"to"	"buy"	"shares"	"find"	"with"	"and"	"count"	"lucky"	"to"	"get"	"that"	"many"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"each"	"top"	"front_tooth"	"top_,"	",_each"	"each_front_tooth"	"on_top_,"	"top_,_each"	",_each_front_tooth"	"each_front_tooth_as"	"IN"	"JJ"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"eyeteeth"	"third"	"from"	"middle"	"on"	"top"	"count"	"each"	"front_tooth"	"as"	"the"	"first"	"begin"	"to"	"protrude"	"like"	"fangs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"not"	"time"	"did"	"."	"did_not"	"not_time"	"time_."	"he_did_not"	"did_not_time"	"not_time_."	"time_._∅"	"PRP"	"VBD"	"RB"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"not"	"count"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"can"	"some"	"he"	"of"	"he_can"	"can_some"	"some_of"	"that_he_can"	"he_can_some"	"can_some_of"	"some_of_his"	"IN"	"PRP"	"MD"	"VB"	"DT"	"IN"	"PRP$"	"0"	"more_than"	"that"	"sam_rayburn"	"be"	"the"	"very"	"living"	"symbol"	"of"	"an"	"iron-clad"	"integrity"	"so"	"powerful"	"in"	"his"	"nature"	"so"	"constantly"	"demonstrate"	"he"	"can"	"count"	"some"	"of"	"his"	"best"	"friends"	"in"	"the"	"opposition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"a"	"miles"	"slight"	"miles_,"	",_a"	"a_slight"	"150_miles_,"	"miles_,_a"	",_a_slight"	"a_slight_deviation"	"CD"	"NNS"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"by"	"airline"	"from"	"concord"	"to"	"burlington"	"a"	"distance"	"of"	"about"	"miles"	"count"	"a"	"slight"	"deviation"	"for"	"the"	"stop"	"at"	"either"	"barre"	"or"	"montpelier"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"were"	"each_year"	"classes"	"."	"classes_were"	"were_each_year"	"each_year_."	"age-and-sex_classes_were"	"classes_were_each_year"	"were_each_year_."	"each_year_._∅"	"JJ"	"NNS"	"VBD"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"numbers"	"of"	"registered"	"persons"	"four"	"age-and-sex"	"classes"	"were"	"count"	"each_year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"and"	"back"	"day"	"the"	"day_and"	"and_back"	"back_the"	"the_day_and"	"day_and_back"	"and_back_the"	"back_the_change"	"DT"	"NN"	"CC"	"VB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"who"	"would"	"be"	"person"	"so"	"very"	"soon"	"now"	"her"	"first"	"sale"	"of"	"the"	"day"	"and"	"count"	"back"	"the"	"change"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"not"	"the"	","	"lower_class"	",_not"	"not_the"	"the_lower_class"	"location_,_not"	",_not_the"	"not_the_lower_class"	"the_lower_class_dive"	"NNP"	"ε"	"RB"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"no"	"less"	"than"	"six"	"seven"	"saloon"	"in"	"location"	"not"	"count"	"the"	"lower_class"	"dive"	"all"	"vie"	"for"	"the"	"trade"	"of"	"celebrate"	"miner"	"and"	"teamster"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"and"	"the"	"see"	"hand"	"see_and"	"and_the"	"the_hand"	"could_see_and"	"see_and_the"	"and_the_hand"	"the_hand_that"	"MD"	"VB"	"CC"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"manager"	"sit"	"behind"	"the"	"so"	"he"	"could"	"see"	"and"	"count"	"the"	"hand"	"that"	"go_up"	"and"	"the"	"director"	"write"	"the"	"number"	"on"	"the"	"blackboard"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"we"	"the"	"now"	"frequency"	"now_we"	"we_the"	"the_frequency"	"when_now_we"	"now_we_the"	"we_the_frequency"	"the_frequency_of"	"WRB"	"RB"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"we"	"count"	"the"	"frequency"	"of"	"the"	"item"	"in"	"the"	"two"	"language"	"family"	"appear"	"in"	"the"	"same"	"column"	"or"	"grade"	"or"	"one"	"column"	"or"	"grade"	"apart"	"or"	"two"	"or"	"three"	"or"	"four"	"we"	"find"	"these"	"difference"	"f"	"this"	"distribution"	"can"	"be"	"summarize"	"by"	"average"	"the"	"distance"	"in"	"grade"	"apart"	"f"	"which"	"divide"	"by"	"f"	"give"	"a"	"mean"	"of"	"grade"	"apart"	
