"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"2:35:05::"	"has"	"the"	"that"	"dallas"	"that_has"	"has_the"	"the_dallas"	"thing_that_has"	"that_has_the"	"has_the_dallas"	"the_dallas_investment"	"NN"	"WDT"	"VBZ"	"VB"	"DT"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"probably"	"the"	"thing"	"that"	"has"	"hit"	"the"	"dallas"	"investment"	"community"	"in"	"years"	"be"	"the"	"morton"	"foods_stock"	"issue"	"which"	"was"	"sell"	"to"	"the"	"public"	"during"	"the"	"past"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"super-condamine"	"mercer"	"the"	"."	"the_super-condamine"	"super-condamine_mercer"	"mercer_."	"when_the_super-condamine"	"the_super-condamine_mercer"	"super-condamine_mercer_."	"mercer_._∅"	"WRB"	"DT"	"NN"	"VB"	"NNP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"b"	"dikkat"	"had"	"turn_to"	"the"	"next"	"of"	"people"	"when"	"the"	"super-condamine"	"hit"	"mercer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"stab"	"him"	"painful"	"in"	"painful_stab"	"stab_him"	"him_in"	"a_painful_stab"	"painful_stab_him"	"stab_him_in"	"him_in_the"	"DT"	"JJ"	"NN"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"stab"	"hit"	"him"	"in"	"the"	"abdomen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"local_governments"	"a"	"and"	"price"	"and_local_governments"	"local_governments_a"	"a_price"	"state_and_local_governments"	"and_local_governments_a"	"local_governments_a_price"	"a_price_peak"	"NNP"	"CC"	"NN"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"other"	"tax-exempt"	"bonds"	"state"	"and"	"local_governments"	"hit"	"a"	"price"	"peak"	"on"	"february"	"according"	"to"	"standard"	"poor"	"average"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"had"	"."	"rankin"	"∅"	"rankin_had"	"had_."	"._∅"	"man_rankin_had"	"rankin_had_."	"had_._∅"	"._∅_∅"	"NN"	"NNP"	"VBD"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"curtiss"	"he"	"say"	"name"	"the"	"rankin"	"had"	"hit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	","	"his"	"wife"	"uncle"	"wife_,"	",_his"	"his_uncle"	"his_wife_,"	"wife_,_his"	",_his_uncle"	"his_uncle_with"	"PRP$"	"NN"	"ε"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"year-old"	"atlanta"	"man"	"was"	"arrest"	"sunday"	"after"	"break"	"into"	"home"	"of"	"relatives"	"in"	"search"	"of"	"his"	"wife"	"hit"	"his"	"uncle"	"with"	"a"	"rock"	"and"	"assault"	"two"	"police_officers"	"who"	"try"	"to"	"subdue"	"him"	"police"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"often"	"a"	"and"	"height"	"and_often"	"often_a"	"a_height"	",_and_often"	"and_often_a"	"often_a_height"	"a_height_in"	"ε"	"CC"	"RB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"vermont"	"sugar_maples"	"be"	"scarlet"	"from"	"sept."	"oct."	"and"	"often"	"hit"	"a"	"height"	"in"	"early"	"october"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"area"	"by"	"an"	"an"	"an_area"	"area_by"	"by_an"	"that_an_area"	"an_area_by"	"area_by_an"	"by_an_atomic"	"IN"	"DT"	"NN"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"top"	"scientists"	"have"	"that"	"an"	"area"	"hit"	"by"	"an"	"atomic"	"missile"	"of"	"massive"	"power"	"would"	"be"	"engulf"	"in"	"a"	"suffocating"	"fire"	"storm"	"which"	"would"	"persist"	"for"	"a"	"long_time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:12::"	"has"	"upon"	","	"the"	",_has"	"has_upon"	"upon_the"	"]_,_has"	",_has_upon"	"has_upon_the"	"upon_the_real"	"ε"	"ε"	"VBZ"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"seem"	"to"	"me"	"that"	"n._c."	"in"	"his"	"editorial"	"confrontation"	"mar."	"has"	"hit"	"upon"	"the"	"real"	"problem"	"that"	"bother"	"all_of"	"us"	"in"	"a"	"complex"	"world"	"how"	"do"	"we"	"retain"	"our"	"personal"	"relationship"	"with"	"those"	"who"	"suffer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"n._c."	"the"	"that"	"very"	"that_n._c."	"n._c._the"	"the_very"	"feel_that_n._c."	"that_n._c._the"	"n._c._the_very"	"the_very_core"	"VB"	"IN"	"NNP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"that"	"n._c."	"hit"	"the"	"very"	"core"	"of"	"our"	"existence"	"in"	"the"	"editorial"	"confrontation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
