"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"2:42:00::"	"job"	"in"	"full-banded"	"various"	"full-banded_job"	"job_in"	"in_various"	"complete_full-banded_job"	"full-banded_job_in"	"job_in_various"	"in_various_parts"	"JJ"	"JJ"	"NN"	"VB"	"IN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"charge"	"for"	"complete"	"full-banded"	"job"	"differ"	"in"	"various"	"parts"	"of"	"the"	"country"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"laws"	"from"	"numbering"	"each"	"numbering_laws"	"laws_from"	"from_each"	"state_numbering_laws"	"numbering_laws_from"	"laws_from_each"	"from_each_in"	"NNP"	"NN"	"NNS"	"VB"	"IN"	"DT"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"state"	"laws"	"differ"	"from"	"each"	"in"	"many"	"ways"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"''"	"from_that"	"confederation"	"of"	"confederation_''"	"''_from_that"	"from_that_of"	"``_confederation_''"	"confederation_''_from_that"	"''_from_that_of"	"from_that_of_the"	"ε"	"NNP"	"ε"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"constitution"	"of"	"southern"	"confederation"	"differ"	"from_that"	"of"	"the"	"federal_union"	"only"	"in"	"two"	"important"	"respects"	"it"	"openly"	"defiantly"	"recognize"	"slavery"	"an"	"institution"	"which"	"the"	"southerners"	"of"	"even_though"	"they"	"continue"	"it"	"find"	"so"	"impossible"	"to"	"reconcile"	"with"	"freedom"	"that"	"they"	"carefully"	"avoid"	"mention"	"the"	"word"	"in"	"the"	"federal_constitution"	
"2:42:00::"	"philosophic"	"radically"	"whose"	"from"	"whose_philosophic"	"philosophic_radically"	"radically_from"	",_whose_philosophic"	"whose_philosophic_radically"	"philosophic_radically_from"	"radically_from_his"	"ε"	"WP$"	"JJ"	"VB"	"RB"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"his"	"harvard"	"colleague"	"whose"	"philosophic"	"differ"	"radically"	"from"	"his"	"own"	"james"	"could"	"write"	"different"	"as"	"our"	"minds"	"be"	"yours"	"has"	"nourish"	"mine"	"as"	"no"	"social"	"influence"	"ever"	"has"	"and"	"in"	"converse"	"with"	"you"	"i"	"have"	"always"	"feel"	"that"	"my"	"life"	"was"	"being"	"live"	"importantly"	"0"	"0"	"0"	
"2:42:00::"	","	"from"	"soldier"	"most_of"	"soldier_,"	",_from"	"from_most_of"	"georgia_soldier_,"	"soldier_,_from"	",_from_most_of"	"from_most_of_his"	"NN"	"NN"	"ε"	"VB"	"IN"	"JJ"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"a"	"splendid"	"soldier"	"differ"	"from"	"most_of"	"his"	"comrade"	"in"	"the"	"rank"	"in"	"that"	"he"	"be"	"the"	"owner"	"of"	"a"	"large"	"plantation"	"well-educated"	"and"	"nearly"	"fifty"	"year"	"of_age"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"private_eye"	"from"	"mythological"	"his"	"mythological_private_eye"	"private_eye_from"	"from_his"	"the_mythological_private_eye"	"mythological_private_eye_from"	"private_eye_from_his"	"from_his_counterpart"	"DT"	"JJ"	"NN"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"private_eye"	"differ"	"from"	"his"	"counterpart"	"in"	"real"	"life"	"in"	"two"	"essential"	"way"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"word_class"	"in"	"if"	"their"	"if_word_class"	"word_class_in"	"in_their"	"∅_if_word_class"	"if_word_class_in"	"word_class_in_their"	"in_their_resistance"	"ε"	"IN"	"NN"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"word_class"	"differ"	"in"	"their"	"resistance"	"or"	"liability"	"to"	"stem"	"replacement"	"within"	"meaning"	"slot"	"it"	"be"	"conceivable"	"that"	"individual"	"meaning"	"also"	"differ"	"with"	"fair"	"consistence"	"trans"	"lingually"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"also"	"with"	"meaning"	"fair"	"meaning_also"	"also_with"	"with_fair"	"individual_meaning_also"	"meaning_also_with"	"also_with_fair"	"with_fair_consistence"	"JJ"	"NN"	"RB"	"VB"	"IN"	"JJ"	"NN"	"differ"	"in"	"their"	"resistance"	"or"	"liability"	"to"	"stem"	"replacement"	"within"	"meaning"	"slot"	"it"	"be"	"conceivable"	"that"	"individual"	"meaning"	"with"	"fair"	"consistence"	"trans"	"lingually"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"have"	"only"	"to"	"in"	"to_have"	"have_only"	"only_in"	"community_to_have"	"to_have_only"	"have_only_in"	"only_in_respect"	"NN"	"TO"	"VB"	"VB"	"RB"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"would"	"have"	"been"	"desirable"	"the"	"two"	"community"	"to"	"have"	"differ"	"only"	"in"	"respect"	"to"	"the"	"variable"	"being"	"investigate"	"the"	"degree"	"of"	"structure"	"in"	"teaching_method"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"communism"	"from"	"utopian"	"previous"	"utopian_communism"	"communism_from"	"from_previous"	"indicate_utopian_communism"	"utopian_communism_from"	"communism_from_previous"	"from_previous_conception"	"VB"	"JJ"	"NN"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"all"	"the"	"just"	"indicate"	"utopian"	"communism"	"differ"	"from"	"previous"	"conception"	"in"	"which"	"community"	"of"	"possession"	"living"	"play"	"a"	"role"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
