"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"
"2:41:00::"	"were"	"early"	"who"	"today"	"who_were"	"were_early"	"early_today"	",_who_were"	"who_were_early"	"were_early_today"	"early_today_in"	"ε"	"WP"	"VBD"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"year-old"	"adopted"	"son"	"of"	"a"	"washington"	"and"	"his"	"wife"	"who"	"were"	"murder"	"early"	"today"	"in"	"their"	"chesapeake"	"bay-front"	"home"	"has"	"been"	"send"	"to"	"spring_grove_state_hospital"	"for"	"detention"	
"1:04:00::"	"``"	"?"	"∅"	"∅"	"∅_``"	"``_?"	"?_∅"	"∅_∅_``"	"∅_``_?"	"``_?_∅"	"?_∅_∅"	"ε"	"ε"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"pick"	"."	"'ll"	"∅"	"'ll_pick"	"pick_."	"._∅"	"i_'ll_pick"	"'ll_pick_."	"pick_._∅"	"._∅_∅"	"PRP"	"MD"	"VB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"murder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"would"	":"	"go"	":_the"	"the_would"	"would_go"	"it_:_the"	":_the_would"	"the_would_go"	"would_go_unpunished"	"PRP"	"ε"	"DT"	"NN"	"MD"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"somehow"	"more"	"terrible"	"than"	"the"	"certainty"	"that"	"be"	"about"	"to"	"die"	"be"	"the"	"knowledge"	"that"	"would"	"probably"	"not"	"suffer"	"for"	"it"	"the"	"murder"	"would"	"go"	"unpunished"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"her"	"plan"	"."	"plan_to"	"to_her"	"her_."	"formed_plan_to"	"plan_to_her"	"to_her_."	"her_._∅"	"JJ"	"NN"	"TO"	"VB"	"PRP$"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"not"	"very"	"reasonable"	"to"	"believe"	"that"	"person"	"had"	"unprocurable"	"opium"	"and"	"come_back"	"to"	"location"	"with"	"a"	"formed"	"plan"	"to"	"murder"	"her"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"'s"	"and"	"person"	"opium"	"person_'s"	"'s_and"	"and_opium"	"between_person_'s"	"person_'s_and"	"'s_and_opium"	"and_opium_in"	"IN"	"NNP"	"POS"	"NN"	"CC"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"no"	"use"	"in"	"stand"	"there"	"in"	"the"	"try"	"to"	"find"	"a"	"link"	"between"	"person"	"murder"	"and"	"opium"	"in"	"a"	"cup"	"of"	"coffee"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"of"	"or"	"realm"	"attempted"	"realm_of"	"of_or"	"or_attempted"	"dark_realm_of"	"realm_of_or"	"of_or_attempted"	"or_attempted_murder"	"JJ"	"NN"	"IN"	"NN"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"she"	"start"	"back"	"for"	"the"	"house"	"see"	"a"	"light"	"in"	"the"	"office"	"open"	"the"	"door"	"and"	"surprise"	"a"	"domestic"	"little"	"scene"	"be"	"far"	"outside"	"the"	"realm"	"of"	"murder"	"or"	"attempted"	"murder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"attempted"	"."	"or"	"∅"	"or_attempted"	"attempted_."	"._∅"	"murder_or_attempted"	"or_attempted_."	"attempted_._∅"	"._∅_∅"	"NN"	"CC"	"JJ"	"NN"	"ε"	"ε"	"ε"	"back"	"for"	"the"	"house"	"see"	"a"	"light"	"in"	"the"	"office"	"open"	"the"	"door"	"and"	"surprise"	"a"	"domestic"	"little"	"scene"	"which"	"be"	"far"	"outside"	"the"	"dark"	"realm"	"of"	"murder"	"attempted"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"her"	"or"	"."	"or_to"	"to_her"	"her_."	"-_or_to"	"or_to_her"	"to_her_."	"her_._∅"	"ε"	"CC"	"TO"	"VB"	"PRP$"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"again"	"the"	"homely"	"everyday"	"detail"	"of"	"daily"	"living"	"refute"	"vicious"	"attempt"	"to"	"frighten"	"her"	"or"	"to"	"murder"	"her"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"two"	","	"first"	"the"	"first_two"	"two_,"	",_the"	"the_first_two"	"first_two_,"	"two_,_the"	",_the_warning"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"first"	"two"	"murder"	"the"	"warning"	"note"	"were"	"rarely"	"ignore"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"``"	"''"	","	"."	",_``"	"``_''"	"''_."	"scream_,_``"	",_``_''"	"``_''_."	"''_._∅"	"VB"	"ε"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"nigger"	"boy"	"flee"	"scream"	"murder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"not"	"at_all"	"be"	"."	"be_not"	"not_at_all"	"at_all_."	"it_be_not"	"be_not_at_all"	"not_at_all_."	"at_all_._∅"	"PRP"	"VB"	"RB"	"NN"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"not"	"murder"	"at_all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"and"	"."	","	"∅"	",_and"	"and_."	"._∅"	"rebellion_,_and"	",_and_."	"and_._∅"	"._∅_∅"	"NN"	"ε"	"CC"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"october"	"person"	"was"	"find"	"guilty"	"of"	"treason"	"against"	"the"	"state"	"of"	"incite"	"slave"	"rebellion"	"and"	"murder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
